recording,monkey,day,analysis,method,macro_f1,n_trials
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,matched_long,all_bands,0.184092754606872,186
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,matched_long,peak_frequency,0.2098947906884415,186
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,matched_long,peak_power,0.1793117056343428,186
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,matched_long,power_frequency,0.2858691777324216,186
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,matched_long,torus,0.2229786144125816,186
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,matched_long,torus_all_bands,0.22457085975939,186
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,matched_long,torus_pca,0.1887966971300304,186
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,matched_long,torus_power_frequency,0.2523536708434951,186
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,matched_short,all_bands,0.2127808185986137,186
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,matched_short,peak_frequency,0.1753480020397313,186
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,matched_short,peak_power,0.1852739989468479,186
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,matched_short,power_frequency,0.2191174834572647,186
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,matched_short,torus,0.2060447347473592,186
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,matched_short,torus_all_bands,0.2325989598087283,186
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,matched_short,torus_pca,0.1986378265764072,186
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,matched_short,torus_power_frequency,0.1952234632085087,186
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,short,all_bands,0.2259662857377129,198
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,short,peak_frequency,0.1714391903194569,198
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,short,peak_power,0.161540528610915,198
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,short,power_frequency,0.186020869546993,198
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,short,torus,0.1983241598436359,198
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,short,torus_all_bands,0.2512292415166597,198
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,short,torus_pca,0.1884603438098771,198
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,short,torus_power_frequency,0.2100203217181039,198
