recording,monkey,day,analysis,method,direction,f1
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,matched_short,peak_power,3,0.1967213114754098
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,matched_short,peak_power,4,0.1764705882352941
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,matched_short,peak_power,5,0.0
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,matched_short,peak_power,6,0.2127659574468085
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,matched_short,power_frequency,1,0.2619047619047619
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,matched_short,power_frequency,2,0.2413793103448276
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,matched_short,power_frequency,3,0.2142857142857142
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,matched_short,power_frequency,4,0.2285714285714285
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,matched_short,power_frequency,5,0.2222222222222222
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,matched_short,power_frequency,6,0.1463414634146341
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,matched_short,torus,1,0.1694915254237288
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,matched_short,torus,2,0.2816901408450704
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,matched_short,torus,3,0.0384615384615384
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,matched_short,torus,4,0.1269841269841269
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,matched_short,torus,5,0.3823529411764705
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,matched_short,torus,6,0.2372881355932203
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,matched_short,torus_all_bands,1,0.2769230769230769
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,matched_short,torus_all_bands,2,0.1935483870967742
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,matched_short,torus_all_bands,3,0.1481481481481481
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,matched_short,torus_all_bands,4,0.1290322580645161
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,matched_short,torus_all_bands,5,0.3428571428571428
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,matched_short,torus_all_bands,6,0.3050847457627119
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,matched_short,torus_pca,1,0.0
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,matched_short,torus_pca,2,0.3376623376623376
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,matched_short,torus_pca,3,0.1142857142857142
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,matched_short,torus_pca,4,0.0851063829787234
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,matched_short,torus_pca,5,0.3157894736842105
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,matched_short,torus_pca,6,0.3389830508474576
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,matched_short,torus_power_frequency,1,0.2898550724637681
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,matched_short,torus_power_frequency,2,0.2424242424242424
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,matched_short,torus_power_frequency,3,0.0754716981132075
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,matched_short,torus_power_frequency,4,0.0983606557377049
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,matched_short,torus_power_frequency,5,0.3142857142857143
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,matched_short,torus_power_frequency,6,0.1509433962264151
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,short,all_bands,1,0.35
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,short,all_bands,2,0.0816326530612244
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,short,all_bands,3,0.2465753424657534
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,short,all_bands,4,0.1935483870967742
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,short,all_bands,5,0.2153846153846154
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,short,all_bands,6,0.2686567164179104
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,short,peak_frequency,1,0.1518987341772152
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,short,peak_frequency,2,0.28125
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,short,peak_frequency,3,0.04
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,short,peak_frequency,4,0.1132075471698113
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,short,peak_frequency,5,0.3043478260869565
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,short,peak_frequency,6,0.1379310344827586
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,short,peak_power,1,0.3958333333333333
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,short,peak_power,2,0.0851063829787234
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,short,peak_power,3,0.131578947368421
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,short,peak_power,4,0.1558441558441558
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,short,peak_power,5,0.0784313725490196
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,short,peak_power,6,0.1224489795918367
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,short,power_frequency,1,0.2650602409638554
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,short,power_frequency,2,0.3
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,short,power_frequency,3,0.144927536231884
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,short,power_frequency,4,0.136986301369863
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,short,power_frequency,5,0.1739130434782608
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,short,power_frequency,6,0.0952380952380952
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,short,torus,1,0.1971830985915492
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,short,torus,2,0.3142857142857143
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,short,torus,3,0.0851063829787234
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,short,torus,4,0.1311475409836065
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,short,torus,5,0.2222222222222222
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,short,torus,6,0.24
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,short,torus_all_bands,1,0.2898550724637681
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,short,torus_all_bands,2,0.2857142857142857
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,short,torus_all_bands,3,0.1454545454545454
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,short,torus_all_bands,4,0.1587301587301587
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,short,torus_all_bands,5,0.2985074626865671
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,short,torus_all_bands,6,0.3291139240506329
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,short,torus_pca,1,0.0526315789473684
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,short,torus_pca,2,0.3043478260869565
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,short,torus_pca,3,0.1886792452830188
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,short,torus_pca,4,0.0983606557377049
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,short,torus_pca,5,0.2985074626865671
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,short,torus_pca,6,0.188235294117647
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,short,torus_power_frequency,1,0.2769230769230769
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,short,torus_power_frequency,2,0.303030303030303
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,short,torus_power_frequency,3,0.1403508771929824
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,short,torus_power_frequency,4,0.125
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,short,torus_power_frequency,5,0.273972602739726
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,short,torus_power_frequency,6,0.1408450704225352
