recording,monkey,analysis,embedding_fold,raw_trial_index,nfev,cost,mse,action
monkeyM_session-o080417003-14_lfp-1,M,matched_long,2,157,1200,53.06684044446074,0.18636864136511155,training_median_imputation
monkeyM_session-o080417003-14_lfp-1,M,matched_long,2,187,1200,123.1074282610879,0.9976638809080176,training_median_imputation
monkeyM_session-o080417003-14_lfp-1,M,matched_long,3,157,1200,53.06684044446074,0.18636864136511155,training_median_imputation
monkeyM_session-o080417003-14_lfp-1,M,matched_long,3,187,1200,123.1074282610879,0.9976638809080176,training_median_imputation
monkeyM_session-o080417003-14_lfp-1,M,matched_long,4,157,1200,53.06684044446074,0.18636864136511155,training_median_imputation
monkeyM_session-o080417003-14_lfp-1,M,matched_long,4,187,1200,123.1074282610879,0.9976638809080176,training_median_imputation
monkeyM_session-o080417003-14_lfp-4,M,matched_short,4,63,1200,44.926125179914834,0.15611867754204015,training_median_imputation
monkeyM_session-o080417003-14_lfp-4,M,matched_long,0,190,1200,77.45828255494362,0.37902006479621525,training_median_imputation
monkeyM_session-o080422011-21_lfp-2,M,short,1,84,1200,23.557815231505383,0.14398742558553337,training_median_imputation
monkeyM_session-o080422011-21_lfp-2,M,short,1,112,1200,36.01343233010023,0.15679675828096548,training_median_imputation
monkeyM_session-o080422011-21_lfp-2,M,short,3,30,1200,15.925966061497997,0.0968082716492898,training_median_imputation
monkeyM_session-o080422011-21_lfp-2,M,short,4,30,1200,15.21722617807281,0.09269283755564237,training_median_imputation
monkeyM_session-o080422011-21_lfp-2,M,matched_short,1,84,1200,23.557815231505383,0.14398742558553337,training_median_imputation
monkeyM_session-o080422011-21_lfp-2,M,matched_short,1,112,1200,36.01343233010023,0.15679675828096548,training_median_imputation
monkeyM_session-o080422011-21_lfp-2,M,matched_short,3,30,1200,15.925966061497997,0.0968082716492898,training_median_imputation
monkeyM_session-o080422011-21_lfp-2,M,matched_short,4,30,1200,15.21722617807281,0.09269283755564237,training_median_imputation
monkeyM_session-o080422011-21_lfp-2,M,matched_long,0,138,1200,35.69123898509356,0.1896608149508352,training_median_imputation
monkeyM_session-o080422011-21_lfp-2,M,matched_long,0,156,1200,22.949977512880206,0.1394593776548253,training_median_imputation
monkeyM_session-o080422011-21_lfp-2,M,matched_long,0,184,1200,43.97192810798162,0.12254643502950122,training_median_imputation
monkeyM_session-o080422011-21_lfp-2,M,matched_long,2,138,1200,35.69123898509356,0.1896608149508352,training_median_imputation
monkeyM_session-o080422011-21_lfp-2,M,matched_long,2,156,1200,22.949977512880206,0.1394593776548253,training_median_imputation
monkeyM_session-o080422011-21_lfp-2,M,matched_long,2,184,1200,43.97192810798162,0.12254643502950122,training_median_imputation
monkeyM_session-o080422011-21_lfp-2,M,matched_long,4,138,1200,35.69123898509356,0.1896608149508352,training_median_imputation
monkeyM_session-o080422011-21_lfp-2,M,matched_long,4,156,1200,22.949977512880206,0.1394593776548253,training_median_imputation
monkeyM_session-o080422011-21_lfp-2,M,matched_long,4,184,1200,43.97192810798162,0.12254643502950122,training_median_imputation
