analysis,monkey,method,direction,mean,std,count
matched_long,M,all_bands,1,0.17662962279292535,0.11306585626978814,108
matched_long,M,all_bands,2,0.1534557809586003,0.10574609389653641,108
matched_long,M,all_bands,3,0.15637169394528067,0.1093360027452982,108
matched_long,M,all_bands,4,0.20947192060720973,0.10779552532431472,108
matched_long,M,all_bands,5,0.1603742775554574,0.11006479606069186,108
matched_long,M,all_bands,6,0.1783508663146612,0.1148141123471052,108
matched_long,M,peak_frequency,1,0.15346583725849788,0.11159155774913329,108
matched_long,M,peak_frequency,2,0.17614706487136875,0.12281956001358851,108
matched_long,M,peak_frequency,3,0.15320485588775615,0.11143652802669145,108
matched_long,M,peak_frequency,4,0.1787060763987226,0.11555802516185683,108
matched_long,M,peak_frequency,5,0.145307808590999,0.11966531820975274,108
matched_long,M,peak_frequency,6,0.13913345844539482,0.11681674720204997,108
matched_long,M,peak_power,1,0.16168761791992978,0.11899982569193195,108
matched_long,M,peak_power,2,0.15182660787694222,0.10469332118974176,108
matched_long,M,peak_power,3,0.14970745420471165,0.11397189994683496,108
matched_long,M,peak_power,4,0.193058330628171,0.11531587319169831,108
matched_long,M,peak_power,5,0.15517171139736138,0.10820908887693262,108
matched_long,M,peak_power,6,0.15411137115491821,0.09582319250651042,108
matched_long,M,power_frequency,1,0.1780907601042923,0.12201830921980424,108
matched_long,M,power_frequency,2,0.16954678354521485,0.10895242378670693,108
matched_long,M,power_frequency,3,0.16242682410201134,0.10816835614940036,108
matched_long,M,power_frequency,4,0.20429843572523598,0.10757837765316883,108
matched_long,M,power_frequency,5,0.16903290833555182,0.10474519605852796,108
matched_long,M,power_frequency,6,0.1495581324640996,0.10824429909125664,108
matched_long,M,torus,1,0.13937064277564676,0.09191454500738147,108
matched_long,M,torus,2,0.16858680667384737,0.09296489016269963,108
matched_long,M,torus,3,0.1745285310059993,0.09408445618590358,108
matched_long,M,torus,4,0.17243966734906185,0.10297171902104416,108
matched_long,M,torus,5,0.15686060300955834,0.09524754380511134,108
matched_long,M,torus,6,0.17282398498583987,0.09630909798947794,108
matched_long,M,torus_all_bands,1,0.1669387705493182,0.099325171667886,108
matched_long,M,torus_all_bands,2,0.17604815204936347,0.09719893400224397,108
matched_long,M,torus_all_bands,3,0.17228862824186056,0.1013783661301924,108
matched_long,M,torus_all_bands,4,0.18861873243197258,0.1009954237312075,108
matched_long,M,torus_all_bands,5,0.16599619294414691,0.08818487462385739,108
matched_long,M,torus_all_bands,6,0.18938417383422473,0.10808435752348908,108
matched_long,M,torus_pca,1,0.1528901929737447,0.09110231815250562,108
matched_long,M,torus_pca,2,0.16744439091986438,0.1039887497355355,108
matched_long,M,torus_pca,3,0.1634501487623505,0.09729843357819506,108
matched_long,M,torus_pca,4,0.16379041703489503,0.09892687533445688,108
matched_long,M,torus_pca,5,0.15650148394046148,0.09574406328558038,108
matched_long,M,torus_pca,6,0.16944758964448428,0.09449797620876167,108
matched_long,M,torus_power_frequency,1,0.16349913729750898,0.0925251416386635,108
matched_long,M,torus_power_frequency,2,0.17634961484381334,0.08948502967903153,108
matched_long,M,torus_power_frequency,3,0.1829421868139446,0.09784106618221808,108
matched_long,M,torus_power_frequency,4,0.19868165500585988,0.1002769288001464,108
matched_long,M,torus_power_frequency,5,0.17030110070373247,0.09442677688736394,108
matched_long,M,torus_power_frequency,6,0.17797840320644487,0.11225042669921818,108
matched_long,T,all_bands,1,0.17011096459000685,0.08622416542236526,94
matched_long,T,all_bands,2,0.21622799495452616,0.11758949341318009,94
matched_long,T,all_bands,3,0.1564481928048725,0.09846084162789052,94
matched_long,T,all_bands,4,0.1759052337716746,0.0903263188567531,94
matched_long,T,all_bands,5,0.17685158973944226,0.10669127438731899,94
matched_long,T,all_bands,6,0.1784422996520358,0.10759896610164826,94
matched_long,T,peak_frequency,1,0.15520505421282138,0.0827675894927748,94
matched_long,T,peak_frequency,2,0.3189585310233626,0.12786707843405823,94
matched_long,T,peak_frequency,3,0.11839743773298234,0.08300146510008836,94
matched_long,T,peak_frequency,4,0.1739992900965364,0.1095217367294109,94
matched_long,T,peak_frequency,5,0.22936061205566854,0.1320152086371279,94
matched_long,T,peak_frequency,6,0.1350248082523432,0.09230242578578512,94
matched_long,T,peak_power,1,0.15374377487428495,0.10331737213887633,94
matched_long,T,peak_power,2,0.17018798679860742,0.111166482515368,94
matched_long,T,peak_power,3,0.12459648205864525,0.09266915317007672,94
matched_long,T,peak_power,4,0.14533221501559543,0.10680600605851855,94
matched_long,T,peak_power,5,0.1485061970881499,0.08927231069909178,94
matched_long,T,peak_power,6,0.16150621482409266,0.1123543122134364,94
matched_long,T,power_frequency,1,0.19603887292883593,0.10815591499872897,94
matched_long,T,power_frequency,2,0.31523990233902405,0.12386569274169715,94
matched_long,T,power_frequency,3,0.14465959429568023,0.1096255843243627,94
matched_long,T,power_frequency,4,0.19597899611706734,0.1109631553139949,94
matched_long,T,power_frequency,5,0.23038387227455373,0.13130368147470456,94
matched_long,T,power_frequency,6,0.16687053533746102,0.10151643150087769,94
matched_long,T,torus,1,0.16546321628733887,0.08786646350631042,94
matched_long,T,torus,2,0.22743626194687042,0.10789026523168103,94
matched_long,T,torus,3,0.16403881962070713,0.0919826457026251,94
matched_long,T,torus,4,0.1677721942601528,0.09103611494015092,94
matched_long,T,torus,5,0.1842851058325968,0.09977002039397728,94
matched_long,T,torus,6,0.18248437940936824,0.08645170395773473,94
matched_long,T,torus_all_bands,1,0.17659931098559278,0.08951368256787152,94
matched_long,T,torus_all_bands,2,0.24208125067662492,0.10439797068287264,94
matched_long,T,torus_all_bands,3,0.1670156968877461,0.09452927369544419,94
matched_long,T,torus_all_bands,4,0.17530727210458255,0.08916357576169844,94
matched_long,T,torus_all_bands,5,0.19034658924055406,0.09959961042080318,94
matched_long,T,torus_all_bands,6,0.18801256506867897,0.08376307358434308,94
matched_long,T,torus_pca,1,0.15150343188511053,0.09190898902976274,94
matched_long,T,torus_pca,2,0.1806484055602258,0.10773094919702057,94
matched_long,T,torus_pca,3,0.157868761706827,0.08949872219296906,94
matched_long,T,torus_pca,4,0.16142717504821233,0.10672035681786797,94
matched_long,T,torus_pca,5,0.181514536813227,0.10446658459708515,94
matched_long,T,torus_pca,6,0.15884641028168092,0.10178847494521581,94
matched_long,T,torus_power_frequency,1,0.18276375584998047,0.08366743473641058,94
matched_long,T,torus_power_frequency,2,0.2802913727135242,0.11075775866263994,94
matched_long,T,torus_power_frequency,3,0.16176700065412525,0.08938609974930199,94
matched_long,T,torus_power_frequency,4,0.18201802623354948,0.09070418743769412,94
matched_long,T,torus_power_frequency,5,0.2042314229680443,0.10396851686991507,94
matched_long,T,torus_power_frequency,6,0.1880715906548941,0.090339576406369,94
matched_short,M,all_bands,1,0.1867426485901729,0.10666440042934248,108
matched_short,M,all_bands,2,0.15565380459534467,0.10888231110844018,108
matched_short,M,all_bands,3,0.18482314991105586,0.10455987734487272,108
matched_short,M,all_bands,4,0.1922033628477337,0.11427081449105626,108
matched_short,M,all_bands,5,0.18242384719066956,0.10689057816421561,108
matched_short,M,all_bands,6,0.20607553107554996,0.10589016898989258,108
matched_short,M,peak_frequency,1,0.16961721170648225,0.11573829586979911,108
matched_short,M,peak_frequency,2,0.1514952928669512,0.11067301711954032,108
matched_short,M,peak_frequency,3,0.1522104539679835,0.10364198154284407,108
matched_short,M,peak_frequency,4,0.15379591666079714,0.11540335043704404,108
