monkey,recording,fit_error,animal_median_fit_error
M,monkeyM_session-o080925002-6_lfp-7,0.19828807253857036,0.19828807253857036
T,monkeyT_session-y070215011-16_lfp-1,0.20197417694941,0.20197417694941
