panel,monkey,enhanced,baseline,n_lfps,n_days,n_animals,mean_difference,ci_low,ci_high,day_mean_difference,statistic,p_raw,p_holm
D,M,torus,power_frequency,115,48,1,-0.013359749847299568,-0.025790186331038866,-0.002190256547593907,-0.011174589625583334,386.0,0.03796332543593195,0.2277799526155917
D,M,torus,all_bands,115,48,1,-0.012086462887852175,-0.021427314532420853,-0.001959236276701193,-0.011076903417666666,373.0,0.026875777911008925,0.18813044537706247
E,M,torus_power_frequency,power_frequency,115,48,1,0.0007982767312993242,-0.00961096237349502,0.01037315764732918,0.0022882205809791668,535.0,0.5933963803088957,1.0
E,M,torus_all_bands,all_bands,115,48,1,0.0014317620306080494,-0.007124645352555229,0.010976332756166897,0.0021444232050208344,575.0,0.8989257426266732,1.0
D,T,torus,power_frequency,95,30,1,-0.03286870542983887,-0.04431453844065167,-0.020099314988793915,-0.026064163622866673,58.0,0.00013739429414272308,0.0010991543531417847
D,T,torus,all_bands,95,30,1,-0.010955540734762218,-0.01919129330874616,-0.0028666625326612865,-0.013374454588533336,139.0,0.054921628907322884,0.2746081445366144
E,T,torus_power_frequency,power_frequency,95,30,1,-0.00522939541705648,-0.012879064175002265,0.003564886981236488,0.0009304571895333329,216.0,0.7456546742469072,1.0
E,T,torus_all_bands,all_bands,95,30,1,0.005134657781446544,-0.0021211308106040463,0.012452349142414557,0.004521084921066667,179.0,0.28008678182959557,1.0
