analysis,monkey,method,true_direction,predicted_direction,fraction
matched_long,M,power_frequency,3,4,0.19958800109865102
matched_long,M,power_frequency,3,5,0.1621919309650881
matched_long,M,power_frequency,3,6,0.14260751783440917
matched_long,M,power_frequency,4,1,0.15437238588622154
matched_long,M,power_frequency,4,2,0.15608765329955368
matched_long,M,power_frequency,4,3,0.187971438301817
matched_long,M,power_frequency,4,4,0.2264353490494194
matched_long,M,power_frequency,4,5,0.15557625323732308
matched_long,M,power_frequency,4,6,0.11955692022566532
matched_long,M,power_frequency,5,1,0.15057818464283498
matched_long,M,power_frequency,5,2,0.15787703990328414
matched_long,M,power_frequency,5,3,0.16641791726491723
matched_long,M,power_frequency,5,4,0.18408447689203347
matched_long,M,power_frequency,5,5,0.17933306569923438
matched_long,M,power_frequency,5,6,0.1617093155976958
matched_long,M,power_frequency,6,1,0.17646321814543095
matched_long,M,power_frequency,6,2,0.18596297590014643
matched_long,M,power_frequency,6,3,0.14834708452253606
matched_long,M,power_frequency,6,4,0.1673695015904418
matched_long,M,power_frequency,6,5,0.16748170760764372
matched_long,M,power_frequency,6,6,0.15437551223380103
matched_long,M,torus,1,1,0.1431081030835665
matched_long,M,torus,1,2,0.17304145520467176
matched_long,M,torus,1,3,0.16406005010285798
matched_long,M,torus,1,4,0.16815165774121266
matched_long,M,torus,1,5,0.17205069157656872
matched_long,M,torus,1,6,0.1795880422911224
matched_long,M,torus,2,1,0.18498735576514586
matched_long,M,torus,2,2,0.17262760755169976
matched_long,M,torus,2,3,0.16283623771655972
matched_long,M,torus,2,4,0.15795927948230168
matched_long,M,torus,2,5,0.16356648989820816
matched_long,M,torus,2,6,0.15802302958608477
matched_long,M,torus,3,1,0.16285887658954443
matched_long,M,torus,3,2,0.16567696700409232
matched_long,M,torus,3,3,0.18053376320376704
matched_long,M,torus,3,4,0.1861263840308037
matched_long,M,torus,3,5,0.1519099615333826
matched_long,M,torus,3,6,0.15289404763840989
matched_long,M,torus,4,1,0.17024642036339951
matched_long,M,torus,4,2,0.15523011515791663
matched_long,M,torus,4,3,0.1717099646083227
matched_long,M,torus,4,4,0.1804948259038234
matched_long,M,torus,4,5,0.1591733213803952
matched_long,M,torus,4,6,0.16314535258614254
matched_long,M,torus,5,1,0.15277772591994707
matched_long,M,torus,5,2,0.17761837878106268
matched_long,M,torus,5,3,0.16100504575252608
matched_long,M,torus,5,4,0.16572613706555817
matched_long,M,torus,5,5,0.16134139863336328
matched_long,M,torus,5,6,0.18153131384754267
matched_long,M,torus,6,1,0.17397732547384503
matched_long,M,torus,6,2,0.15439304945623217
matched_long,M,torus,6,3,0.15815890358865836
matched_long,M,torus,6,4,0.15944459594543867
matched_long,M,torus,6,5,0.17781699677694415
matched_long,M,torus,6,6,0.17620912875888162
matched_long,M,torus_all_bands,1,1,0.1728637029634885
matched_long,M,torus_all_bands,1,2,0.1694498775992953
matched_long,M,torus_all_bands,1,3,0.159923841218723
matched_long,M,torus_all_bands,1,4,0.1570446583782683
matched_long,M,torus_all_bands,1,5,0.1683905224745834
matched_long,M,torus_all_bands,1,6,0.17232739736564148
matched_long,M,torus_all_bands,2,1,0.18186679767805577
matched_long,M,torus_all_bands,2,2,0.17877735786230367
matched_long,M,torus_all_bands,2,3,0.1655132860368963
matched_long,M,torus_all_bands,2,4,0.1459875688535172
matched_long,M,torus_all_bands,2,5,0.16073477788232324
matched_long,M,torus_all_bands,2,6,0.1671202116869038
matched_long,M,torus_all_bands,3,1,0.16234325468377953
matched_long,M,torus_all_bands,3,2,0.1638055821901497
matched_long,M,torus_all_bands,3,3,0.17381496187108875
matched_long,M,torus_all_bands,3,4,0.2049086213728704
matched_long,M,torus_all_bands,3,5,0.15907696805506663
matched_long,M,torus_all_bands,3,6,0.136050611827045
matched_long,M,torus_all_bands,4,1,0.17038256508073618
matched_long,M,torus_all_bands,4,2,0.1419333827758575
matched_long,M,torus_all_bands,4,3,0.17732130839276655
matched_long,M,torus_all_bands,4,4,0.19585857511488936
matched_long,M,torus_all_bands,4,5,0.17368206612317022
matched_long,M,torus_all_bands,4,6,0.14082210251258018
matched_long,M,torus_all_bands,5,1,0.15486212557467602
matched_long,M,torus_all_bands,5,2,0.17829816203979362
matched_long,M,torus_all_bands,5,3,0.1475971112418862
matched_long,M,torus_all_bands,5,4,0.17437617796015506
matched_long,M,torus_all_bands,5,5,0.1706370526726406
matched_long,M,torus_all_bands,5,6,0.17422937051084852
matched_long,M,torus_all_bands,6,1,0.17703985261977043
matched_long,M,torus_all_bands,6,2,0.1592389297662493
matched_long,M,torus_all_bands,6,3,0.14673736712649824
matched_long,M,torus_all_bands,6,4,0.15420559364416309
matched_long,M,torus_all_bands,6,5,0.17226218202075547
matched_long,M,torus_all_bands,6,6,0.19051607482256358
matched_long,M,torus_pca,1,1,0.15989664123896016
matched_long,M,torus_pca,1,2,0.16029131839515362
matched_long,M,torus_pca,1,3,0.15620030197011872
matched_long,M,torus_pca,1,4,0.17256655523534778
matched_long,M,torus_pca,1,5,0.1618259330643086
matched_long,M,torus_pca,1,6,0.18921925009611115
matched_long,M,torus_pca,2,1,0.17360570453108345
matched_long,M,torus_pca,2,2,0.1718607343669906
matched_long,M,torus_pca,2,3,0.16018706970906013
matched_long,M,torus_pca,2,4,0.15562032219464006
matched_long,M,torus_pca,2,5,0.17112508104405422
matched_long,M,torus_pca,2,6,0.16760108815417157
matched_long,M,torus_pca,3,1,0.16427981057059998
matched_long,M,torus_pca,3,2,0.15101464681064602
matched_long,M,torus_pca,3,3,0.17071953538161214
matched_long,M,torus_pca,3,4,0.18717544269298492
matched_long,M,torus_pca,3,5,0.15969900590646613
matched_long,M,torus_pca,3,6,0.1671115586376908
matched_long,M,torus_pca,4,1,0.17214488949876264
matched_long,M,torus_pca,4,2,0.15538607593593798
matched_long,M,torus_pca,4,3,0.1672569170603096
matched_long,M,torus_pca,4,4,0.1738964988605315
matched_long,M,torus_pca,4,5,0.18280013716407612
matched_long,M,torus_pca,4,6,0.14851548148038216
matched_long,M,torus_pca,5,1,0.16605797178069867
matched_long,M,torus_pca,5,2,0.1540613289805073
matched_long,M,torus_pca,5,3,0.1764795645737538
matched_long,M,torus_pca,5,4,0.17599999251710863
matched_long,M,torus_pca,5,5,0.16855724682039577
matched_long,M,torus_pca,5,6,0.1588438953275358
matched_long,M,torus_pca,6,1,0.16967249421865052
matched_long,M,torus_pca,6,2,0.15913927211725706
matched_long,M,torus_pca,6,3,0.15394533859781911
matched_long,M,torus_pca,6,4,0.15540345622921822
matched_long,M,torus_pca,6,5,0.18403523092345367
matched_long,M,torus_pca,6,6,0.17780420791360138
matched_long,M,torus_power_frequency,1,1,0.16791837538006046
matched_long,M,torus_power_frequency,1,2,0.18062904602569108
