recording,monkey,day,method,permutation,macro_f1
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,peak_power,12,0.122829131652661
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,peak_frequency,12,0.0902065202374654
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,power_frequency,12,0.1042601212594469
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,all_bands,12,0.1331841551181174
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,torus,12,0.1868208623262531
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,peak_power,13,0.1750531130326526
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,peak_frequency,13,0.1514875531268974
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,power_frequency,13,0.1509798098320229
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,all_bands,13,0.1710072344473397
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,torus,13,0.1768099716375578
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,peak_power,14,0.1591184958832018
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,peak_frequency,14,0.1046836526220634
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,power_frequency,14,0.1354473176723816
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,all_bands,14,0.1539887731325008
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,torus,14,0.1543180133358591
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,peak_power,15,0.1709216093295996
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,peak_frequency,15,0.1283155776306461
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,power_frequency,15,0.1477133134594375
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,all_bands,15,0.1671830453935443
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,torus,15,0.1755947837426143
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,peak_power,16,0.1852549458694655
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,peak_frequency,16,0.095754721141718
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,power_frequency,16,0.1835897790382119
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,all_bands,16,0.0887433862433862
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,torus,16,0.1332222575161266
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,peak_power,17,0.1848148546424408
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,peak_frequency,17,0.1206499357439102
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,power_frequency,17,0.1823558568793244
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,all_bands,17,0.1256083035425539
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,torus,17,0.1284228406896581
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,peak_power,18,0.1581685542714939
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,peak_frequency,18,0.1578897556965456
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,power_frequency,18,0.1607342932932246
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,all_bands,18,0.149206086998475
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,torus,18,0.1661094364768211
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,peak_power,19,0.2239357864357864
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,peak_frequency,19,0.1768882290187669
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,power_frequency,19,0.1865424928571926
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,all_bands,19,0.1951287181539282
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,torus,19,0.1547860278863318
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,peak_power,20,0.1602710758118277
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,peak_frequency,20,0.1184248226813496
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,power_frequency,20,0.1266939750810718
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,all_bands,20,0.1332269699304819
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,torus,20,0.1539153038025218
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,peak_power,21,0.1878213350121015
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,peak_frequency,21,0.1393277893277893
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,power_frequency,21,0.2112633559022652
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,all_bands,21,0.1631217732516716
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,torus,21,0.1824932827147666
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,peak_power,22,0.1174247002184097
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,peak_frequency,22,0.2130297163910609
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,power_frequency,22,0.176272742230189
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,all_bands,22,0.1325351733710396
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,torus,22,0.1472079426798408
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,peak_power,23,0.1723086023740928
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,peak_frequency,23,0.1563185256797938
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,power_frequency,23,0.1726762750867878
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,all_bands,23,0.1869775904927438
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,torus,23,0.167080384342289
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,peak_power,24,0.155090034359484
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,peak_frequency,24,0.1004767938535955
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,power_frequency,24,0.141336464191646
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,all_bands,24,0.2277336907741519
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,torus,24,0.158122563786301
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,peak_power,25,0.1596651010498374
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,peak_frequency,25,0.1296532797516169
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,power_frequency,25,0.1587960658518149
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,all_bands,25,0.2150420168067227
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,torus,25,0.2141067004844812
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,peak_power,26,0.1354548948528598
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,peak_frequency,26,0.1272807202266309
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,power_frequency,26,0.1179856024566437
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,all_bands,26,0.1411016545479743
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,torus,26,0.1568126956442319
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,peak_power,27,0.1453043450921209
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,peak_frequency,27,0.1189083820662768
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,power_frequency,27,0.1350845634412817
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,all_bands,27,0.1494067660734327
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,torus,27,0.1358117190559773
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,peak_power,28,0.1636151051329622
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,peak_frequency,28,0.1154501822601034
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,power_frequency,28,0.1317788697443717
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,all_bands,28,0.124531187582035
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,torus,28,0.1442670203684214
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,peak_power,29,0.0748565160329866
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,peak_frequency,29,0.2026945997870751
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,power_frequency,29,0.1620280590868826
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,all_bands,29,0.1764721852981294
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,torus,29,0.1628280627774042
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,peak_power,30,0.170354052552195
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,peak_frequency,30,0.1496288496288496
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,power_frequency,30,0.1476303672459692
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,all_bands,30,0.1612164003468351
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,torus,30,0.2364792508623211
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,peak_power,31,0.1538674587061684
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,peak_frequency,31,0.1155174935471264
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,power_frequency,31,0.1366417553917553
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,all_bands,31,0.1934480482665714
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,torus,31,0.1364505148151764
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,peak_power,32,0.1017284676533021
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,peak_frequency,32,0.1324926923106779
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,power_frequency,32,0.135482087441091
