recording,monkey,day,analysis,method,true_direction,predicted_direction,fraction
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,matched_long,peak_frequency,3,6,0.125
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,matched_long,peak_frequency,4,1,0.0
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,matched_long,peak_frequency,4,2,0.4166666666666667
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,matched_long,peak_frequency,4,3,0.2916666666666667
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,matched_long,peak_frequency,4,4,0.08333333333333333
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,matched_long,peak_frequency,4,5,0.125
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,matched_long,peak_frequency,4,6,0.08333333333333333
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,matched_long,peak_frequency,5,1,0.20833333333333334
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,matched_long,peak_frequency,5,2,0.125
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,matched_long,peak_frequency,5,3,0.4166666666666667
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,matched_long,peak_frequency,5,4,0.041666666666666664
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,matched_long,peak_frequency,5,5,0.08333333333333333
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,matched_long,peak_frequency,5,6,0.125
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,matched_long,peak_frequency,6,1,0.125
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,matched_long,peak_frequency,6,2,0.25
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,matched_long,peak_frequency,6,3,0.375
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,matched_long,peak_frequency,6,4,0.125
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,matched_long,peak_frequency,6,5,0.08333333333333333
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,matched_long,peak_frequency,6,6,0.041666666666666664
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,matched_long,peak_power,1,1,0.125
