recording,monkey,day,analysis,method,macro_f1,n_trials
monkeyM_session-o080417003-14_lfp-1,M,2008-04-17,matched_short,torus_all_bands,0.22902868024819245,120
monkeyM_session-o080417003-14_lfp-1,M,2008-04-17,matched_short,torus_pca,0.18705055597650455,120
monkeyM_session-o080417003-14_lfp-1,M,2008-04-17,matched_short,torus_power_frequency,0.17175353491142964,120
monkeyM_session-o080417003-14_lfp-1,M,2008-04-17,short,all_bands,0.18305916305916306,126
monkeyM_session-o080417003-14_lfp-1,M,2008-04-17,short,peak_frequency,0.15288997724088205,126
monkeyM_session-o080417003-14_lfp-1,M,2008-04-17,short,peak_power,0.16908603177066847,126
monkeyM_session-o080417003-14_lfp-1,M,2008-04-17,short,power_frequency,0.17716943910228847,126
monkeyM_session-o080417003-14_lfp-1,M,2008-04-17,short,torus,0.22596807064371327,126
monkeyM_session-o080417003-14_lfp-1,M,2008-04-17,short,torus_all_bands,0.21295641817479596,126
monkeyM_session-o080417003-14_lfp-1,M,2008-04-17,short,torus_pca,0.19021471637750706,126
monkeyM_session-o080417003-14_lfp-1,M,2008-04-17,short,torus_power_frequency,0.22207172207172207,126
monkeyM_session-o080417003-14_lfp-4,M,2008-04-17,matched_long,all_bands,0.1464667417554751,120
monkeyM_session-o080417003-14_lfp-4,M,2008-04-17,matched_long,peak_frequency,0.15191781525114859,120
monkeyM_session-o080417003-14_lfp-4,M,2008-04-17,matched_long,peak_power,0.1526543542561849,120
monkeyM_session-o080417003-14_lfp-4,M,2008-04-17,matched_long,power_frequency,0.14519632978712263,120
monkeyM_session-o080417003-14_lfp-4,M,2008-04-17,matched_long,torus,0.1928579686801064,120
monkeyM_session-o080417003-14_lfp-4,M,2008-04-17,matched_long,torus_all_bands,0.15892114421526185,120
monkeyM_session-o080417003-14_lfp-4,M,2008-04-17,matched_long,torus_pca,0.21757962511681042,120
monkeyM_session-o080417003-14_lfp-4,M,2008-04-17,matched_long,torus_power_frequency,0.1665125879411594,120
monkeyM_session-o080417003-14_lfp-4,M,2008-04-17,matched_short,all_bands,0.0973591663177103,120
monkeyM_session-o080417003-14_lfp-4,M,2008-04-17,matched_short,peak_frequency,0.14000747457280627,120
monkeyM_session-o080417003-14_lfp-4,M,2008-04-17,matched_short,peak_power,0.18850747077373095,120
monkeyM_session-o080417003-14_lfp-4,M,2008-04-17,matched_short,power_frequency,0.1961593172119488,120
monkeyM_session-o080417003-14_lfp-4,M,2008-04-17,matched_short,torus,0.195873922628081,120
monkeyM_session-o080417003-14_lfp-4,M,2008-04-17,matched_short,torus_all_bands,0.17482364456539493,120
monkeyM_session-o080417003-14_lfp-4,M,2008-04-17,matched_short,torus_pca,0.1374854156379844,120
monkeyM_session-o080417003-14_lfp-4,M,2008-04-17,matched_short,torus_power_frequency,0.2070934595750251,120
monkeyM_session-o080417003-14_lfp-4,M,2008-04-17,short,all_bands,0.10610956503813647,126
monkeyM_session-o080417003-14_lfp-4,M,2008-04-17,short,peak_frequency,0.1183339021789464,126
monkeyM_session-o080417003-14_lfp-4,M,2008-04-17,short,peak_power,0.1979053713635396,126
monkeyM_session-o080417003-14_lfp-4,M,2008-04-17,short,power_frequency,0.16848965695135787,126
monkeyM_session-o080417003-14_lfp-4,M,2008-04-17,short,torus,0.18140371253336593,126
monkeyM_session-o080417003-14_lfp-4,M,2008-04-17,short,torus_all_bands,0.14814393332699968,126
monkeyM_session-o080417003-14_lfp-4,M,2008-04-17,short,torus_pca,0.14559169522775348,126
monkeyM_session-o080417003-14_lfp-4,M,2008-04-17,short,torus_power_frequency,0.21241221825392906,126
monkeyM_session-o080422011-21_lfp-2,M,2008-04-22,matched_long,all_bands,0.1064515307162366,120
monkeyM_session-o080422011-21_lfp-2,M,2008-04-22,matched_long,peak_frequency,0.19206752109276434,120
monkeyM_session-o080422011-21_lfp-2,M,2008-04-22,matched_long,peak_power,0.15201206839137874,120
monkeyM_session-o080422011-21_lfp-2,M,2008-04-22,matched_long,power_frequency,0.17340108947251806,120
monkeyM_session-o080422011-21_lfp-2,M,2008-04-22,matched_long,torus,0.22592442117605915,120
monkeyM_session-o080422011-21_lfp-2,M,2008-04-22,matched_long,torus_all_bands,0.17291234059526742,120
monkeyM_session-o080422011-21_lfp-2,M,2008-04-22,matched_long,torus_pca,0.2686038011695906,120
monkeyM_session-o080422011-21_lfp-2,M,2008-04-22,matched_long,torus_power_frequency,0.2709382032260815,120
monkeyM_session-o080422011-21_lfp-2,M,2008-04-22,matched_short,all_bands,0.16650859368882623,120
monkeyM_session-o080422011-21_lfp-2,M,2008-04-22,matched_short,peak_frequency,0.16071437817127474,120
monkeyM_session-o080422011-21_lfp-2,M,2008-04-22,matched_short,peak_power,0.15835889991920257,120
monkeyM_session-o080422011-21_lfp-2,M,2008-04-22,matched_short,power_frequency,0.20730766475447324,120
monkeyM_session-o080422011-21_lfp-2,M,2008-04-22,matched_short,torus,0.11451013153799532,120
monkeyM_session-o080422011-21_lfp-2,M,2008-04-22,matched_short,torus_all_bands,0.14522575759509557,120
monkeyM_session-o080422011-21_lfp-2,M,2008-04-22,matched_short,torus_pca,0.13064956314232876,120
monkeyM_session-o080422011-21_lfp-2,M,2008-04-22,matched_short,torus_power_frequency,0.12848788638262323,120
monkeyM_session-o080422011-21_lfp-2,M,2008-04-22,short,all_bands,0.16650859368882623,120
monkeyM_session-o080422011-21_lfp-2,M,2008-04-22,short,peak_frequency,0.16071437817127474,120
monkeyM_session-o080422011-21_lfp-2,M,2008-04-22,short,peak_power,0.15835889991920257,120
monkeyM_session-o080422011-21_lfp-2,M,2008-04-22,short,power_frequency,0.20730766475447324,120
monkeyM_session-o080422011-21_lfp-2,M,2008-04-22,short,torus,0.11451013153799532,120
monkeyM_session-o080422011-21_lfp-2,M,2008-04-22,short,torus_all_bands,0.14522575759509557,120
monkeyM_session-o080422011-21_lfp-2,M,2008-04-22,short,torus_pca,0.13064956314232876,120
monkeyM_session-o080422011-21_lfp-2,M,2008-04-22,short,torus_power_frequency,0.12848788638262323,120
monkeyM_session-o080423001-5_lfp-6,M,2008-04-23,matched_long,all_bands,0.1718646232439336,90
monkeyM_session-o080423001-5_lfp-6,M,2008-04-23,matched_long,peak_frequency,0.19052911065044534,90
monkeyM_session-o080423001-5_lfp-6,M,2008-04-23,matched_long,peak_power,0.19572939793652866,90
monkeyM_session-o080423001-5_lfp-6,M,2008-04-23,matched_long,power_frequency,0.2464065464895636,90
monkeyM_session-o080423001-5_lfp-6,M,2008-04-23,matched_long,torus,0.17301775548929252,90
monkeyM_session-o080423001-5_lfp-6,M,2008-04-23,matched_long,torus_all_bands,0.11080212581881103,90
monkeyM_session-o080423001-5_lfp-6,M,2008-04-23,matched_long,torus_pca,0.14544902442566512,90
monkeyM_session-o080423001-5_lfp-6,M,2008-04-23,matched_long,torus_power_frequency,0.18027820447175288,90
monkeyM_session-o080423001-5_lfp-6,M,2008-04-23,matched_short,all_bands,0.15948157021571926,90
monkeyM_session-o080423001-5_lfp-6,M,2008-04-23,matched_short,peak_frequency,0.14468389824728908,90
monkeyM_session-o080423001-5_lfp-6,M,2008-04-23,matched_short,peak_power,0.22041980801713837,90
