recording,monkey,day,analysis,method,direction,f1
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,matched_short,peak_frequency,1,0.17543859649122806
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,matched_short,peak_frequency,2,0.0
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,matched_short,peak_frequency,3,0.1111111111111111
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,matched_short,peak_frequency,4,0.21818181818181817
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,matched_short,peak_frequency,5,0.3333333333333333
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,matched_short,peak_frequency,6,0.10810810810810811
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,matched_short,peak_power,1,0.2711864406779661
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,matched_short,peak_power,2,0.3137254901960784
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,matched_short,peak_power,3,0.18867924528301888
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,matched_short,peak_power,4,0.0
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,matched_short,peak_power,5,0.16393442622950818
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,matched_short,peak_power,6,0.0
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,matched_short,power_frequency,1,0.18867924528301888
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,matched_short,power_frequency,2,0.13043478260869565
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,matched_short,power_frequency,3,0.15384615384615385
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,matched_short,power_frequency,4,0.15789473684210525
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,matched_short,power_frequency,5,0.2033898305084746
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,matched_short,power_frequency,6,0.0
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,matched_short,torus,1,0.0
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,matched_short,torus,2,0.041666666666666664
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,matched_short,torus,3,0.11764705882352941
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,matched_short,torus,4,0.125
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,matched_short,torus,5,0.2553191489361702
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,matched_short,torus,6,0.14545454545454545
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,matched_short,torus_all_bands,1,0.0975609756097561
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,matched_short,torus_all_bands,2,0.05
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,matched_short,torus_all_bands,3,0.14035087719298245
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,matched_short,torus_all_bands,4,0.2553191489361702
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,matched_short,torus_all_bands,5,0.24489795918367346
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,matched_short,torus_all_bands,6,0.1111111111111111
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,matched_short,torus_pca,1,0.05555555555555555
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,matched_short,torus_pca,2,0.17142857142857143
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,matched_short,torus_pca,3,0.04081632653061224
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,matched_short,torus_pca,4,0.17543859649122806
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,matched_short,torus_pca,5,0.21428571428571427
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,matched_short,torus_pca,6,0.2909090909090909
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,matched_short,torus_power_frequency,1,0.18604651162790697
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,matched_short,torus_power_frequency,2,0.0851063829787234
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,matched_short,torus_power_frequency,3,0.08
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,matched_short,torus_power_frequency,4,0.045454545454545456
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,matched_short,torus_power_frequency,5,0.3018867924528302
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,matched_short,torus_power_frequency,6,0.0784313725490196
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,short,all_bands,1,0.23076923076923078
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,short,all_bands,2,0.05714285714285714
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,short,all_bands,3,0.22641509433962265
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,short,all_bands,4,0.3076923076923077
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,short,all_bands,5,0.25925925925925924
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,short,all_bands,6,0.14285714285714285
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,short,peak_frequency,1,0.17543859649122806
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,short,peak_frequency,2,0.0
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,short,peak_frequency,3,0.1111111111111111
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,short,peak_frequency,4,0.21818181818181817
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,short,peak_frequency,5,0.3333333333333333
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,short,peak_frequency,6,0.10810810810810811
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,short,peak_power,1,0.2711864406779661
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,short,peak_power,2,0.3137254901960784
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,short,peak_power,3,0.18867924528301888
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,short,peak_power,4,0.0
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,short,peak_power,5,0.16393442622950818
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,short,peak_power,6,0.0
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,short,power_frequency,1,0.18867924528301888
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,short,power_frequency,2,0.13043478260869565
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,short,power_frequency,3,0.15384615384615385
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,short,power_frequency,4,0.15789473684210525
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,short,power_frequency,5,0.2033898305084746
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,short,power_frequency,6,0.0
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,short,torus,1,0.0
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,short,torus,2,0.041666666666666664
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,short,torus,3,0.11764705882352941
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,short,torus,4,0.125
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,short,torus,5,0.2553191489361702
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,short,torus,6,0.14545454545454545
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,short,torus_all_bands,1,0.0975609756097561
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,short,torus_all_bands,2,0.05
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,short,torus_all_bands,3,0.14035087719298245
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,short,torus_all_bands,4,0.2553191489361702
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,short,torus_all_bands,5,0.24489795918367346
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,short,torus_all_bands,6,0.1111111111111111
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,short,torus_pca,1,0.05555555555555555
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,short,torus_pca,2,0.17142857142857143
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,short,torus_pca,3,0.04081632653061224
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,short,torus_pca,4,0.17543859649122806
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,short,torus_pca,5,0.21428571428571427
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,short,torus_pca,6,0.2909090909090909
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,short,torus_power_frequency,1,0.18604651162790697
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,short,torus_power_frequency,2,0.0851063829787234
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,short,torus_power_frequency,3,0.08
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,short,torus_power_frequency,4,0.045454545454545456
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,short,torus_power_frequency,5,0.3018867924528302
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,short,torus_power_frequency,6,0.0784313725490196
monkeyM_session-o080416002-18_lfp-2,M,2008-04-16,matched_long,all_bands,1,0.2727272727272727
monkeyM_session-o080416002-18_lfp-2,M,2008-04-16,matched_long,all_bands,2,0.09523809523809523
monkeyM_session-o080416002-18_lfp-2,M,2008-04-16,matched_long,all_bands,3,0.09090909090909091
monkeyM_session-o080416002-18_lfp-2,M,2008-04-16,matched_long,all_bands,4,0.3050847457627119
monkeyM_session-o080416002-18_lfp-2,M,2008-04-16,matched_long,all_bands,5,0.24
monkeyM_session-o080416002-18_lfp-2,M,2008-04-16,matched_long,all_bands,6,0.2857142857142857
monkeyM_session-o080416002-18_lfp-2,M,2008-04-16,matched_long,peak_frequency,1,0.15
monkeyM_session-o080416002-18_lfp-2,M,2008-04-16,matched_long,peak_frequency,2,0.16326530612244897
monkeyM_session-o080416002-18_lfp-2,M,2008-04-16,matched_long,peak_frequency,3,0.13043478260869565
monkeyM_session-o080416002-18_lfp-2,M,2008-04-16,matched_long,peak_frequency,4,0.18518518518518517
monkeyM_session-o080416002-18_lfp-2,M,2008-04-16,matched_long,peak_frequency,5,0.16666666666666666
monkeyM_session-o080416002-18_lfp-2,M,2008-04-16,matched_long,peak_frequency,6,0.19607843137254902
monkeyM_session-o080416002-18_lfp-2,M,2008-04-16,matched_long,peak_power,1,0.05405405405405406
monkeyM_session-o080416002-18_lfp-2,M,2008-04-16,matched_long,peak_power,2,0.05405405405405406
monkeyM_session-o080416002-18_lfp-2,M,2008-04-16,matched_long,peak_power,3,0.3389830508474576
monkeyM_session-o080416002-18_lfp-2,M,2008-04-16,matched_long,peak_power,4,0.3142857142857143
monkeyM_session-o080416002-18_lfp-2,M,2008-04-16,matched_long,peak_power,5,0.21621621621621623
monkeyM_session-o080416002-18_lfp-2,M,2008-04-16,matched_long,peak_power,6,0.20833333333333334
monkeyM_session-o080416002-18_lfp-2,M,2008-04-16,matched_long,power_frequency,1,0.21052631578947367
monkeyM_session-o080416002-18_lfp-2,M,2008-04-16,matched_long,power_frequency,2,0.05263157894736842
monkeyM_session-o080416002-18_lfp-2,M,2008-04-16,matched_long,power_frequency,3,0.3103448275862069
monkeyM_session-o080416002-18_lfp-2,M,2008-04-16,matched_long,power_frequency,4,0.3225806451612903
monkeyM_session-o080416002-18_lfp-2,M,2008-04-16,matched_long,power_frequency,5,0.08888888888888889
monkeyM_session-o080416002-18_lfp-2,M,2008-04-16,matched_long,power_frequency,6,0.2127659574468085
monkeyM_session-o080416002-18_lfp-2,M,2008-04-16,matched_long,torus,1,0.0
monkeyM_session-o080416002-18_lfp-2,M,2008-04-16,matched_long,torus,2,0.2857142857142857
monkeyM_session-o080416002-18_lfp-2,M,2008-04-16,matched_long,torus,3,0.2553191489361702
monkeyM_session-o080416002-18_lfp-2,M,2008-04-16,matched_long,torus,4,0.16
monkeyM_session-o080416002-18_lfp-2,M,2008-04-16,matched_long,torus,5,0.1276595744680851
monkeyM_session-o080416002-18_lfp-2,M,2008-04-16,matched_long,torus,6,0.14285714285714285
