recording,day,difference,monkey,enhanced,baseline
monkeyM_session-o080808001-5_lfp-6,2008-08-08,0.04777994732443566,M,torus,power_frequency
monkeyM_session-o080808006-12_lfp-5,2008-08-08,-0.033173045308908036,M,torus,power_frequency
monkeyM_session-o080808006-12_lfp-6,2008-08-08,-0.06233650196788958,M,torus,power_frequency
monkeyM_session-o080828001-6_lfp-5,2008-08-28,0.06957297467914256,M,torus,power_frequency
monkeyM_session-o080828001-6_lfp-6,2008-08-28,-0.019687067171679673,M,torus,power_frequency
monkeyM_session-o080828007-12_lfp-5,2008-08-28,-0.014372337600559032,M,torus,power_frequency
monkeyM_session-o080829001-5_lfp-5,2008-08-29,0.024750708290154688,M,torus,power_frequency
monkeyM_session-o080904001-7_lfp-5,2008-09-04,-0.013396898521271822,M,torus,power_frequency
monkeyM_session-o080904001-7_lfp-6,2008-09-04,0.03244555716956554,M,torus,power_frequency
monkeyM_session-o080904008-14_lfp-5,2008-09-04,-0.07888250293057376,M,torus,power_frequency
monkeyM_session-o080904008-14_lfp-6,2008-09-04,0.06278889278889281,M,torus,power_frequency
monkeyM_session-o080905001-6_lfp-5,2008-09-05,0.014923024143506658,M,torus,power_frequency
monkeyM_session-o080910001-5_lfp-5,2008-09-10,0.06162766542023509,M,torus,power_frequency
monkeyM_session-o080910001-5_lfp-7,2008-09-10,0.02970864135115267,M,torus,power_frequency
monkeyM_session-o080910006-11_lfp-5,2008-09-10,-0.043952237444102274,M,torus,power_frequency
monkeyM_session-o080910006-11_lfp-7,2008-09-10,-0.062007208944219794,M,torus,power_frequency
monkeyM_session-o080911001-5_lfp-5,2008-09-11,-0.039172633266850415,M,torus,power_frequency
monkeyM_session-o080911001-5_lfp-6,2008-09-11,0.012158888054028733,M,torus,power_frequency
monkeyM_session-o080911006-11_lfp-5,2008-09-11,-0.08845020286674704,M,torus,power_frequency
monkeyM_session-o080911006-11_lfp-6,2008-09-11,0.011047890587532527,M,torus,power_frequency
monkeyM_session-o080917001-8_lfp-5,2008-09-17,-0.001632176308151878,M,torus,power_frequency
monkeyM_session-o080917001-8_lfp-6,2008-09-17,-0.028563097158922635,M,torus,power_frequency
monkeyM_session-o080918001-5_lfp-5,2008-09-18,-0.03547211097950939,M,torus,power_frequency
monkeyM_session-o080918001-5_lfp-6,2008-09-18,-0.07785089760896216,M,torus,power_frequency
monkeyM_session-o080918006-11_lfp-5,2008-09-18,-0.07893348634888947,M,torus,power_frequency
monkeyM_session-o080919001-6_lfp-5,2008-09-19,0.01652072925763473,M,torus,power_frequency
monkeyM_session-o080919001-6_lfp-7,2008-09-19,0.04318437653457105,M,torus,power_frequency
monkeyM_session-o080919007-12_lfp-5,2008-09-19,0.023427378176140323,M,torus,power_frequency
monkeyM_session-o080919007-12_lfp-7,2008-09-19,-0.023283518138655243,M,torus,power_frequency
monkeyM_session-o080925002-6_lfp-6,2008-09-25,-0.05779121755604577,M,torus,power_frequency
monkeyM_session-o080925002-6_lfp-7,2008-09-25,0.044636727244961566,M,torus,power_frequency
monkeyM_session-o080925007-12_lfp-6,2008-09-25,-0.02542689750983207,M,torus,power_frequency
monkeyM_session-o080925007-12_lfp-7,2008-09-25,-0.017820655095226845,M,torus,power_frequency
monkeyM_session-o080926001-6_lfp-5,2008-09-26,0.004359197480720792,M,torus,power_frequency
monkeyM_session-o080926007-11_lfp-5,2008-09-26,-0.009605871295296109,M,torus,power_frequency
monkeyM_session-o080926007-11_lfp-6,2008-09-26,-0.010998752378062693,M,torus,power_frequency
monkeyM_session-o080930001-5_lfp-1,2008-09-30,0.019994857048394765,M,torus,power_frequency
monkeyM_session-o081001001-12_lfp-1,2008-10-01,-0.1339208649652509,M,torus,power_frequency
monkeyM_session-o081001001-12_lfp-3,2008-10-01,-0.006935144907476487,M,torus,power_frequency
monkeyM_session-o081001013-26_lfp-1,2008-10-01,-0.1816010129174755,M,torus,power_frequency
monkeyM_session-o081001013-26_lfp-3,2008-10-01,-0.09608847559171568,M,torus,power_frequency
monkeyM_session-o081002010-22_lfp-2,2008-10-02,-0.015675143690835114,M,torus,power_frequency
monkeyM_session-o081003003-14_lfp-1,2008-10-03,-0.05157063278881699,M,torus,power_frequency
monkeyM_session-o081003003-14_lfp-2,2008-10-03,0.08237593342696038,M,torus,power_frequency
monkeyM_session-o081003015-26_lfp-1,2008-10-03,-0.01674132490141056,M,torus,power_frequency
monkeyM_session-o081003015-26_lfp-2,2008-10-03,-0.053423733129615486,M,torus,power_frequency
monkeyM_session-o081008001-15_lfp-1,2008-10-08,-0.0062871433414726785,M,torus,power_frequency
monkeyM_session-o081008001-15_lfp-2,2008-10-08,0.015084962287908815,M,torus,power_frequency
monkeyM_session-o081028001-12_lfp-4,2008-10-28,-0.03960192331896187,M,torus,power_frequency
