method,dimensions,n_trials,macro_f1,macro_f1_ci_low,macro_f1_ci_high,accuracy,accuracy_ci_low,accuracy_ci_high,null_f1_low,null_f1_median,null_f1_high,permutation_p
peak_power,1,198,0.161540528610915,0.1161324074511594,0.2083556009317232,0.1868686868686868,0.1414141414141414,0.2373737373737373,0.0970562773643341,0.1358814094387005,0.1837944838831958,
peak_frequency,1,198,0.1714391903194569,0.1230102588063531,0.2189849802645538,0.1868686868686868,0.1363636363636363,0.2373737373737373,0.1008517691595854,0.1401352829522649,0.1886405788543163,
power_frequency,2,198,0.186020869546993,0.1359070173975577,0.2377179289077259,0.1919191919191919,0.1414141414141414,0.2474747474747475,0.0981523814940858,0.1455670255965231,0.1982420502295219,
all_bands,5,198,0.2259662857377129,0.1694062137067388,0.2817671544657079,0.2373737373737373,0.1818181818181818,0.2929292929292929,0.1020444230596976,0.1558744550493309,0.2176586518754215,
geometry,14,198,0.2279214439950145,0.1760383475794237,0.2805144865868539,0.2474747474747475,0.1919191919191919,0.303030303030303,0.1029028431944005,0.158475070491234,0.2247045294111257,0.0169830169830169
