row_index,original_trial_number,direction,R2
0,159,1,1.2963854781958573
1,16,1,1.2863872376060526
2,566,1,1.3687853090469226
3,673,1,1.4987483772986123
4,263,1,1.5595738670152557
5,389,1,1.0053994502768155
6,684,1,1.6522896043802369
7,437,1,1.1677125116071485
8,56,1,1.3859547323200063
9,82,1,1.38729612727963
10,517,1,1.0202227204735832
11,124,1,1.114667714662167
12,526,1,1.505613926804108
13,382,1,1.166549620180789
14,80,1,1.4162620213752484
15,366,1,1.1421706545218009
16,156,1,1.3687372641967577
17,690,1,0.9352736246319509
18,265,1,1.3904775065237869
19,445,1,1.6895489159299903
20,462,1,1.2743709830990804
21,152,1,1.232197232114436
22,188,1,1.785124927041471
23,195,1,1.1493596888247963
24,205,1,1.5111213874656038
25,262,1,1.112052750226711
26,571,1,1.424022767395906
27,601,1,1.135818530755805
28,349,1,1.1964506213756392
29,236,1,1.3289655639511309
30,569,1,1.7556358731368051
31,276,1,1.5602868339828555
32,40,1,1.3599423545676863
33,98,2,1.291771659687711
34,260,2,1.1842436689326037
35,622,2,0.9309231173840774
36,198,2,1.4176677561908069
37,628,2,1.810205138199482
38,647,2,1.2025548462289015
39,10,2,1.7049894578310676
40,412,2,1.514949914462191
41,670,2,1.3297200689680546
42,150,2,1.390710593067653
43,521,2,1.523765335183271
44,131,2,1.2453672139209748
45,579,2,1.1642241068254493
46,419,2,1.8249960421529872
47,580,2,1.358781891702879
48,428,2,1.3005205503706354
49,543,2,1.1783444287427065
50,387,2,1.652100482287081
51,158,2,1.4769268715231838
52,275,2,1.4263014432797738
53,254,2,1.1966487056366897
54,220,2,1.106177557511889
55,589,2,1.2480261843894132
56,530,2,1.4490234055087885
57,531,2,1.4504806960723342
58,91,2,1.4036593913111126
59,96,2,1.5338580145640364
60,197,2,1.6758187913836886
61,281,2,1.4024418109359515
62,401,2,1.380910937590955
63,34,2,1.5637612694914875
64,479,2,1.479258123578659
65,117,2,1.5921526777357813
66,663,3,1.735489363922348
67,14,3,1.2379847786117524
68,540,3,1.1424432523265309
69,128,3,
70,420,3,1.1505067842288408
71,503,3,1.39942298092939
72,636,3,1.3780837621610194
73,307,3,1.4631702471025778
74,612,3,1.0253196822691286
75,609,3,1.4588984905083795
76,46,3,1.089063914842
77,615,3,1.3182717181026848
78,510,3,1.2555360512824791
79,43,3,1.3699758474029191
80,147,3,1.463562641221524
81,406,3,1.5957467755917456
82,200,3,1.2964215442791212
83,48,3,1.4101069209067292
84,177,3,1.2759905291379128
85,319,3,1.210756971403956
86,137,3,1.3160983877889372
87,309,3,1.1626743907860362
88,416,3,1.5358426392814233
89,669,3,1.256116051144287
90,572,3,1.1323574442269144
91,477,3,1.2796452682627826
92,323,3,1.3299741450480995
93,196,3,1.40620741131849
94,494,3,1.2589436093596524
95,51,3,1.5748944086645649
96,432,3,1.2739263971327104
97,144,3,1.1418478215676455
98,216,3,1.1390123988038852
99,312,4,1.3288668123138678
100,400,4,1.6093895137749097
101,333,4,1.2270318188278015
102,459,4,1.2835529428397678
103,606,4,1.1832041264738773
104,86,4,1.252521331450308
105,242,4,1.3110078402267138
106,248,4,1.518104613180496
107,89,4,1.3688537627163595
108,691,4,1.3707300268193046
109,94,4,1.171668483883855
110,17,4,1.517812526349492
111,109,4,1.5326821246610929
112,695,4,1.061751021638547
113,116,4,1.2499375825244277
114,361,4,1.2607029519404704
115,283,4,1.4655677297002574
116,511,4,1.4420171201197796
117,206,4,2.0465845923372914
118,520,4,1.4181649629632378
119,119,4,1.5733430410568694
120,85,4,1.3259245394462882
121,199,4,1.0524066838337198
122,536,4,1.422932694698654
123,339,4,1.2494938102746194
124,701,4,1.255785732382655
125,704,4,1.0737799056215012
126,592,4,1.2614246195027268
127,440,4,1.1787983620285536
128,388,4,1.1105558177771349
129,121,4,1.472112368998294
130,291,4,1.1905286163792397
131,573,4,1.1332771238839283
132,705,5,1.52909871264833
133,45,5,1.0578640183880152
134,410,5,0.9701321186693664
135,142,5,1.2635079951058814
136,706,5,0.9397512660384856
137,328,5,1.4720073425728315
138,143,5,1.1640158362417636
139,44,5,1.3342762490314173
140,164,5,1.0805581999902865
141,560,5,1.1773879003482877
142,194,5,1.0746629150402245
143,243,5,1.0399575121989442
144,403,5,1.1714464532497528
145,568,5,1.030900976721736
146,581,5,1.9594123851280925
147,63,5,1.3281879997017492
148,294,5,1.7548354692136776
149,367,5,1.0936379558642528
150,436,5,1.366141616588444
151,241,5,1.1849714371665805
152,457,5,1.26769979296236
153,36,5,1.24164459657657
154,485,5,1.0592467409373123
155,700,5,1.4003707539046646
156,6,5,1.3573345343677043
157,157,5,1.4629758640715045
158,476,5,1.2792074451414213
159,271,5,1.2069774367650543
160,399,5,1.0397082033728025
161,300,5,1.2425657768625666
162,446,5,1.2496722910295297
163,542,5,1.3050092488617135
164,693,5,1.0119913733629051
165,258,6,1.237699828298487
166,550,6,1.105611290096192
167,100,6,1.2798179602980178
168,129,6,1.2483038755794813
169,186,6,2.050330663749552
170,650,6,1.6703430057782092
171,438,6,1.3506401865597804
172,290,6,1.2835688492465769
173,289,6,1.1764691894006214
