row_index,original_trial_number,direction,R1
0,159,1,3.5492607518664143
1,16,1,3.479786623314635
2,566,1,6.155125084455721
3,673,1,4.391951370795728
4,263,1,5.853977273337933
5,389,1,2.447008931423807
6,684,1,4.267771911943735
7,437,1,3.5506192985807914
8,56,1,4.130035437988722
9,82,1,4.395932091106213
10,517,1,4.5232890146754094
11,124,1,3.1452967900301343
12,526,1,3.769658304797903
13,382,1,3.2803681286776083
14,80,1,4.9862312897666206
15,366,1,3.943740954054361
16,156,1,5.283209652136311
17,690,1,3.017107591907943
18,265,1,3.505844377988731
19,445,1,3.2962623356667726
20,462,1,4.087924240634141
21,152,1,3.402211744434303
22,188,1,4.356214697475985
23,195,1,2.771188343639438
24,205,1,2.942086898261827
25,262,1,3.2018263477546944
26,571,1,3.7162633247791046
27,601,1,3.134294622545015
28,349,1,3.6570793009552007
29,236,1,3.16183529049368
30,569,1,6.498906152172921
31,276,1,4.672473692090985
32,40,1,3.7937699881678704
33,98,2,4.0562398208049935
34,260,2,3.9953775291268623
35,622,2,2.5600535608715576
36,198,2,3.567621031587516
37,628,2,4.0391592652064965
38,647,2,3.6946680022418303
39,10,2,4.401213194497237
40,412,2,4.326778372066697
41,670,2,4.100922656180374
42,150,2,4.235753721224731
43,521,2,4.850625147200376
44,131,2,3.647399802539301
45,579,2,3.2477030996423544
46,419,2,4.765094959601797
47,580,2,3.5258161940954347
48,428,2,4.261298963767636
49,543,2,4.05118711841986
50,387,2,3.659670035887765
51,158,2,3.983030294324811
52,275,2,3.636135189372142
53,254,2,4.966253601619344
54,220,2,3.223342668346199
55,589,2,4.422726184650805
56,530,2,3.795551159563795
57,531,2,4.407099287508726
58,91,2,3.8343091391806494
59,96,2,3.704352422675682
60,197,2,6.3025330743285535
61,281,2,3.839100964346448
62,401,2,4.062541078006026
63,34,2,4.29577240666284
64,479,2,4.240828762551521
65,117,2,3.829074079443158
66,663,3,6.47569419934022
67,14,3,3.7117412040180255
68,540,3,4.038996615458417
69,128,3,
70,420,3,3.351100002620685
71,503,3,4.064116532888532
72,636,3,4.477049340562913
73,307,3,3.887727743599786
74,612,3,4.0163195416600965
75,609,3,5.084321778904226
