method,direction,f1,ci_low,ci_high,n_true
power_frequency,1,0.2650602409638554,0.1518987341772152,0.3855421686746988,33
power_frequency,2,0.3,0.1538461538461538,0.4406779661016949,33
power_frequency,3,0.144927536231884,0.0327736647276573,0.2571428571428571,33
power_frequency,4,0.136986301369863,0.0307575757575757,0.2409638554216867,33
power_frequency,5,0.1739130434782608,0.0624759615384615,0.2941176470588235,33
power_frequency,6,0.0952380952380952,0.0,0.2272727272727272,33
geometry,1,0.1639344262295081,0.0392156862745098,0.2898667601683029,33
geometry,2,0.2926829268292683,0.1728395061728395,0.4001123595505612,33
geometry,3,0.2539682539682539,0.109090909090909,0.3934426229508196,33
geometry,4,0.0,0.0,0.0,33
geometry,5,0.4415584415584415,0.3170410783055199,0.5679012345679012,33
geometry,6,0.2153846153846154,0.09375,0.3478260869565217,33
