recording,outer_fold,family,max_absolute_difference,rms_difference
monkeyT_session-y070316009-12_lfp-8,0,ar,8.67626870915952e-08,1.2461427514649786e-08
monkeyT_session-y070316009-12_lfp-8,0,embedding,0.0,0.0
monkeyT_session-y070316009-12_lfp-8,1,ar,1.782575510025355e-08,3.376735540848464e-09
monkeyT_session-y070316009-12_lfp-8,1,embedding,0.0,0.0
monkeyT_session-y070316009-12_lfp-8,2,ar,4.2176831319996895e-08,6.612886760236451e-09
monkeyT_session-y070316009-12_lfp-8,2,embedding,0.0,0.0
monkeyT_session-y070316009-12_lfp-8,3,ar,8.466397789785862e-08,1.7915073570941786e-08
monkeyT_session-y070316009-12_lfp-8,3,embedding,0.0,0.0
monkeyT_session-y070316009-12_lfp-8,4,ar,8.12280825920669e-08,1.1050018717785254e-08
monkeyT_session-y070316009-12_lfp-8,4,embedding,0.0,0.0
