recording,outer_fold,inner_fold,p,pole_index,real,imaginary,magnitude,frequency_hz
monkeyT_session-y070316009-12_lfp-8,0,0,1,0,0.9905287351041197,0.0,0.9905287351041197,0.0
monkeyT_session-y070316009-12_lfp-8,0,1,1,0,0.9898865166378816,0.0,0.9898865166378816,0.0
monkeyT_session-y070316009-12_lfp-8,0,2,1,0,0.9898902615640336,0.0,0.9898902615640336,0.0
monkeyT_session-y070316009-12_lfp-8,0,0,2,0,0.982920870402221,0.1457451140090356,0.9936674875076504,23.42840199666406
monkeyT_session-y070316009-12_lfp-8,0,0,2,1,0.982920870402221,-0.1457451140090356,0.9936674875076504,-23.42840199666406
monkeyT_session-y070316009-12_lfp-8,0,1,2,0,0.98264560277888,0.1486420414275771,0.9938243492390524,23.8937763630538
monkeyT_session-y070316009-12_lfp-8,0,1,2,1,0.98264560277888,-0.1486420414275771,0.9938243492390524,-23.8937763630538
monkeyT_session-y070316009-12_lfp-8,0,2,2,0,0.982388929675532,0.1480680608098558,0.9934848563420724,23.80900966200537
monkeyT_session-y070316009-12_lfp-8,0,2,2,1,0.982388929675532,-0.1480680608098558,0.9934848563420724,-23.80900966200537
monkeyT_session-y070316009-12_lfp-8,0,0,3,0,0.9685846331035428,0.2178201122117858,0.9927747945875134,35.20585943611348
monkeyT_session-y070316009-12_lfp-8,0,0,3,1,0.9685846331035428,-0.2178201122117858,0.9927747945875134,-35.20585943611348
monkeyT_session-y070316009-12_lfp-8,0,0,3,2,0.9917792864130464,0.0,0.9917792864130464,0.0
monkeyT_session-y070316009-12_lfp-8,0,1,3,0,0.9690957836757852,0.2164340776924196,0.992970466793828,34.97114109673888
monkeyT_session-y070316009-12_lfp-8,0,1,3,1,0.9690957836757852,-0.2164340776924196,0.992970466793828,-34.97114109673888
monkeyT_session-y070316009-12_lfp-8,0,1,3,2,0.9904755932079972,0.0,0.9904755932079972,0.0
monkeyT_session-y070316009-12_lfp-8,0,2,3,0,0.9684112406197772,0.2192554873548411,0.9929215979592472,35.4364269957448
monkeyT_session-y070316009-12_lfp-8,0,2,3,1,0.9684112406197772,-0.2192554873548411,0.9929215979592472,-35.4364269957448
monkeyT_session-y070316009-12_lfp-8,0,2,3,2,0.991046822894154,0.0,0.991046822894154,0.0
monkeyT_session-y070316009-12_lfp-8,0,0,4,0,0.95470420558058,0.2844007456763299,0.9961645969891216,46.07912064993341
monkeyT_session-y070316009-12_lfp-8,0,0,4,1,0.95470420558058,-0.2844007456763299,0.9961645969891216,-46.07912064993341
monkeyT_session-y070316009-12_lfp-8,0,0,4,2,0.991115712719122,0.109883498576118,0.9971884171299128,17.573498661195288
monkeyT_session-y070316009-12_lfp-8,0,0,4,3,0.991115712719122,-0.109883498576118,0.9971884171299128,-17.573498661195288
monkeyT_session-y070316009-12_lfp-8,0,1,4,0,0.9549949054517092,0.2847844951742532,0.9965527974625192,46.12460225785357
monkeyT_session-y070316009-12_lfp-8,0,1,4,1,0.9549949054517092,-0.2847844951742532,0.9965527974625192,-46.12460225785357
monkeyT_session-y070316009-12_lfp-8,0,1,4,2,0.9908632564234224,0.1140191657827529,0.9974018062425112,18.233847278165698
monkeyT_session-y070316009-12_lfp-8,0,1,4,3,0.9908632564234224,-0.1140191657827529,0.9974018062425112,-18.233847278165698
monkeyT_session-y070316009-12_lfp-8,0,2,4,0,0.9546680952321231,0.2856187491183279,0.996478420188841,46.26720701343751
monkeyT_session-y070316009-12_lfp-8,0,2,4,1,0.9546680952321231,-0.2856187491183279,0.996478420188841,-46.26720701343751
monkeyT_session-y070316009-12_lfp-8,0,2,4,2,0.9907778393591078,0.1119039472531605,0.9970773392149378,17.89998477966172
monkeyT_session-y070316009-12_lfp-8,0,2,4,3,0.9907778393591078,-0.1119039472531605,0.9970773392149378,-17.89998477966172
monkeyT_session-y070316009-12_lfp-8,0,0,5,0,0.9478765510589148,0.3098792836061388,0.9972437648115918,50.28770958064961
monkeyT_session-y070316009-12_lfp-8,0,0,5,1,0.9478765510589148,-0.3098792836061388,0.9972437648115918,-50.28770958064961
monkeyT_session-y070316009-12_lfp-8,0,0,5,2,0.993420735543252,0.0,0.993420735543252,0.0
monkeyT_session-y070316009-12_lfp-8,0,0,5,3,0.9833116290588404,0.1535826197108202,0.9952333298878152,24.659045704260457
