method,dimensions,n_trials,macro_f1,ci_low,ci_high,accuracy
relevant_band,1,198,0.13912082584828278,0.1045354764004428,0.17662899131753998,0.19696969696969696
geometry_relevant_band,15,198,0.22737806963207932,0.17478031865993054,0.2825348551181899,0.24242424242424243
average_psd,1,198,0.16887602478984087,0.1209275960931326,0.21586967665357384,0.20707070707070707
geometry_average_psd,15,198,0.23270807672461846,0.17718172447726255,0.28915284074593134,0.24242424242424243
all_bands,5,198,0.22596628573771294,0.16940621370673886,0.2817671544657079,0.23737373737373738
geometry,14,198,0.22792144399501457,0.1760383475794237,0.28051448658685396,0.2474747474747475
