row_index,raw_trial_index,original_trial_number,direction,heldout_fold_zero_based,delay,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13
0,5,159,1,1,short,3.5492607518664143,1.2963854781958573,0.010501197421359746,0.01112818507138456,0.9089068825910931,-0.43682728431404333,0.7865929709147368,-0.4364096948812504,0.5561308462310044,0.6174717886292025,0.5562796707749084,0.7070363537677571,0.000297244985989098,-0.707177139121602
1,6,16,1,4,short,3.479786623314635,1.2863872376060526,0.007933269909148118,0.009127739395632665,0.8785425101214575,-0.4385292084218126,0.7820819565881229,-0.4427639851435886,0.5532121519782092,0.6231705217359655,0.5528243986502074,0.708271450973832,-0.002512771103392486,-0.7059357178361247
2,12,566,1,4,short,6.155125084455721,1.3687853090469226,0.0077782543602024695,0.007705230329004426,0.9311740890688259,-0.4281846875372312,0.8043544888728944,-0.4119122838526043,0.5683671591672259,0.5940717470631695,0.5692429461323969,0.7025785690859214,0.009623698423084609,-0.7115411011950333
3,20,673,1,2,short,4.391951370795728,1.4987483772986123,0.008847432911092822,0.008839218141202374,0.9412955465587044,-0.4253354342551808,0.7960090063376101,-0.430650008935757,0.5638527329648755,0.605272638199851,0.5618853343651471,0.7079264537330116,-0.0038334417959573486,-0.706275754099629
4,28,263,1,3,short,5.853977273337933,1.5595738670152555,0.009136415317248726,0.006384337776374867,0.9251012145748988,-0.4250703458725079,0.7978836350107231,-0.4274305862264675,0.5649133561583706,0.6028083523408929,0.5634669381445053,0.7072397762383791,-0.0019481607051256566,-0.7069710769021279
5,9,389,1,4,short,2.447008931423807,1.0053994502768155,0.011709314156857005,0.011584023665483617,0.8603238866396761,-0.44094828349855497,0.7788900063779997,-0.4459764222962438,0.5511567821826399,0.6271527969612509,0.5503685771533092,0.7083719451910528,-0.0031188504548301244,-0.7058324589008955
6,2,684,1,0,short,4.2677719119437345,1.6522896043802369,0.007549207958528418,0.0083254152038175,0.9008097165991903,-0.42925074676880565,0.7965109649545522,-0.42580990959064213,0.5629240226429634,0.6046201127657749,0.5635166936041612,0.7063004609441277,0.00219133435827365,-0.7079087913875932
7,31,437,1,3,short,3.5506192985807914,1.1677125116071485,0.007316978386940514,0.008275864964664467,0.9008097165991903,-0.4316101068183214,0.7905515522391567,-0.43444327471436023,0.5602457246410879,0.6123897304953997,0.5577665694581866,0.7069918271901448,-0.0026572986342573712,-0.7072167242439258
8,15,56,1,3,short,4.130035437988722,1.3859547323200063,0.006316826807148104,0.006735785152436332,0.902834008097166,-0.4250100731527082,0.7971983150169493,-0.4287671678812016,0.5639379807485458,0.6037130820969943,0.5634753485062151,0.7080539468063025,-0.002315391777823389,-0.706154549212092
9,13,82,1,4,short,4.395932091106213,1.38729612727963,0.010673748788598803,0.010071547922195943,0.9230769230769231,-0.4277846790566694,0.7994643627356772,-0.4217309581712255,0.565477125838116,0.6007045569504866,0.565145693969956,0.7051495504630532,0.003281459211576937,-0.7090510161527145
10,30,517,1,0,short,4.5232890146754094,1.0202227204735832,0.006830391623307663,0.0074464259288468905,0.9089068825910931,-0.4212804202576831,0.8043862401980477,-0.41890999521085515,0.5680359642155517,0.5941034043464863,0.5695404184968998,0.7070063301450833,0.0019802838089804375,-0.7072044454122284
11,26,124,1,2,short,3.1452967900301343,1.114667714662167,0.011535539508060211,0.011799984085898683,0.8825910931174089,-0.4324300744466464,0.7915325103467786,-0.43183389836625224,0.5592739903683164,0.6111266601924322,0.5601221374839097,0.7072600896498885,0.0007001900957818996,-0.7069530927312374
12,29,526,1,3,short,3.769658304797903,1.505613926804108,0.009419271615171431,0.0088276834519787,0.9048582995951417,-0.42986005706685376,0.7916917827681871,-0.4341018917671413,0.5617661681365637,0.6109072200996857,0.5578630125463027,0.7068515428826928,-0.004060729910219635,-0.7073502716454931
13,7,382,1,2,short,3.2803681286776083,1.166549620180789,0.005652859870384409,0.01422863858924162,0.8481781376518218,-0.4271712541676341,0.7948938934105806,-0.4308925827064319,0.5635755640512604,0.6067390673761541,0.5605803133573444,0.7070412316245456,-0.003376734825739608,-0.7071642627033428
14,32,80,1,2,short,4.9862312897666206,1.4162620213752484,0.013451479015165047,0.008652039811515109,0.9251012145748988,-0.4282893932764137,0.797456110180314,-0.4250081739719889,0.5638694342658995,0.603374070986721,0.5639068997286394,0.7061299148935527,0.0018662253331939993,-0.708079840480881
15,27,366,1,1,short,3.9437409540543613,1.1421706545218007,0.009388179620078544,0.008915337232049932,0.8825910931174089,-0.4264504632344526,0.7984586604072961,-0.4249750228280565,0.5636850701076666,0.6020474899258267,0.5655068183600679,0.7073889624137741,0.0016085691150521941,-0.7068226569377685
16,21,156,1,1,short,5.283209652136311,1.3687372641967575,0.009045944997158507,0.007555428530275043,0.9352226720647774,-0.42733009522871174,0.7966963426628568,-0.4273920065928329,0.5670332036394407,0.6043713771534868,0.5596504127113555,0.7041749325857979,-0.0031899945494915927,-0.7100193576604525
17,33,690,1,1,short,3.017107591907943,0.9352736246319507,0.011476233145950884,0.01196361950805173,0.8967611336032388,-0.4317559216855774,0.7983335484792851,-0.4198218306161682,0.5618007410962433,0.6021472665020149,0.5672729473083158,0.7056675927043479,0.009067238643851033,-0.7084850272166845
18,18,265,1,0,short,3.505844377988731,1.3904775065237869,0.007067688166590852,0.011588643617622582,0.8866396761133604,-0.43620258319158794,0.7863558160468499,-0.4374606690735507,0.5562172245980043,0.6177732572436685,0.5558584367400043,0.7073540170787744,-0.0008562732280485985,-0.7068589401844472
19,11,445,1,1,short,3.2962623356667726,1.6895489159299903,0.011708300486432191,0.010469244361651427,0.8987854251012146,-0.44802247730744765,0.7740468647615826,-0.44735591085852633,0.5467515594828067,0.6331276852390523,0.5479161125454868,0.7073461613880551,0.0008861921935445216,-0.7068667644139026
20,4,462,1,2,short,4.087924240634141,1.2743709830990804,0.0063997148300124354,0.008045579559579304,0.8967611336032388,-0.43078256928659253,0.7923945013903654,-0.43189967835731996,0.5604965001364315,0.6100084688416607,0.5601190420582609,0.7072977105389593,-0.0007887380851256676,-0.7069153602508433
21,14,152,1,3,short,3.402211744434303,1.232197232114436,0.00891215271264221,0.009622069717728526,0.8785425101214575,-0.43025365937847826,0.7917922720743084,-0.4335282995086167,0.5596681667873112,0.6107882465132289,0.5600975459741147,0.7082748983808186,-0.0016479698721396374,-0.7059348075558689
22,25,188,1,0,short,4.356214697475985,1.785124927041471,0.010398026108187757,0.008239322759070236,0.9230769230769231,-0.43524185360902784,0.7907678750358593,-0.43040759365774317,0.5593741290818894,0.612110960650148,0.5589461115043477,0.7054538344788093,0.002517868786178823,-0.7087514005318933
23,17,195,1,1,short,2.771188343639438,1.1493596888247963,0.005901090178200391,0.011050167199647047,0.8623481781376519,-0.43397631935562525,0.7923362889165873,-0.4287980404624476,0.5594871556960991,0.6100740966034615,0.5610558967380694,0.7061435242566723,0.0035779769927614946,-0.7080596876189224
24,16,205,1,4,short,2.942086898261827,1.5111213874656038,0.009964935421199767,0.01356557081558181,0.8765182186234818,-0.4443508844256304,0.7758733451012727,-0.4478535964704553,0.5491401603922706,0.6308842151578812,0.5481151259625806,0.7078116809960905,-0.0023789548095025648,-0.7063971721485747
25,24,262,1,0,short,3.2018263477546944,1.112052750226711,0.006275565806528565,0.012192706222217875,0.8360323886639676,-0.43170393871599244,0.7956719096615178,-0.4248975423236668,0.56088535452211,0.6057044020840414,0.5643844402343325,0.7064271571646334,0.005328177137398915,-0.7077656972110805
26,1,571,1,0,short,3.7162633247791046,1.424022767395906,0.00734335113240792,0.009988076626317838,0.9068825910931174,-0.4297965709101748,0.7935959791658532,-0.4306742730714779,0.5618823067631696,0.608444060975023,0.5604320636890093,0.7067978360042952,-0.0011164748153043302,-0.7074147104094122
27,0,601,1,3,short,3.134294622545015,1.135818530755805,0.008243871865792474,0.013400758276457743,0.8522267206477733,-0.43664580754605203,0.7863614013813718,-0.43700822094095787,0.5595282908140133,0.6177581752145936,0.5525422415836498,0.7044632925363854,-0.0032532096551683154,-0.709732968161783
28,8,349,1,1,short,3.6570793009552007,1.1964506213756392,0.008280355413207739,0.012191725101216739,0.8502024291497976,-0.428469810825662,0.7942392539238646,-0.43081043248450274,0.561591605717159,0.6076037581382862,0.5616338144060186,0.7078336595550148,-0.0012963883268339027,-0.7063779652411744
29,3,236,1,0,short,3.16183529049368,1.3289655639511309,0.00898347964113643,0.011758158754084392,0.8785425101214575,-0.4326215815698983,0.7900757516650617,-0.4343027443970939,0.5591744406522761,0.6130076739564868,0.5581626434935177,0.7072216852452801,-0.001377788570592453,-0.7069905159317773
30,23,569,1,4,short,6.498906152172921,1.7556358731368051,0.012277828013710274,0.00805664806821785,0.9331983805668016,-0.42368170597406685,0.7984870941473202,-0.4276823266199727,0.5692426656203666,0.6019800025932405,0.5599846998939005,0.7045967638730141,-0.006199754673449909,-0.7095808363968585
