recording,monkey,day,analysis,method,direction,f1
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,matched_long,all_bands,1,0.0784313725490196
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,matched_long,all_bands,2,0.1612903225806451
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,matched_long,all_bands,3,0.28125
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,matched_long,all_bands,4,0.2181818181818181
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,matched_long,all_bands,5,0.303030303030303
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,matched_long,all_bands,6,0.08
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,matched_long,peak_frequency,1,0.2368421052631578
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,matched_long,peak_frequency,2,0.3466666666666667
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,matched_long,peak_frequency,3,0.048780487804878
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,matched_long,peak_frequency,4,0.1379310344827586
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,matched_long,peak_frequency,5,0.1587301587301587
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,matched_long,peak_frequency,6,0.0
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,matched_long,peak_power,1,0.1132075471698113
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,matched_long,peak_power,2,0.0666666666666666
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,matched_long,peak_power,3,0.2222222222222222
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,matched_long,peak_power,4,0.0416666666666666
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,matched_long,peak_power,5,0.2461538461538461
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,matched_long,peak_power,6,0.2
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,matched_long,power_frequency,1,0.1714285714285714
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,matched_long,power_frequency,2,0.1967213114754098
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,matched_long,power_frequency,3,0.1904761904761904
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,matched_long,power_frequency,4,0.1176470588235294
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,matched_long,power_frequency,5,0.1724137931034483
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,matched_long,power_frequency,6,0.0888888888888888
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,matched_long,torus,1,0.1875
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,matched_long,torus,2,0.135593220338983
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,matched_long,torus,3,0.24
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,matched_long,torus,4,0.1851851851851851
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,matched_long,torus,5,0.25
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,matched_long,torus,6,0.2105263157894736
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,matched_long,torus_all_bands,1,0.1587301587301587
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,matched_long,torus_all_bands,2,0.1379310344827586
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,matched_long,torus_all_bands,3,0.3
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,matched_long,torus_all_bands,4,0.24
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,matched_long,torus_all_bands,5,0.2295081967213114
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,matched_long,torus_all_bands,6,0.2142857142857142
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,matched_long,torus_pca,1,0.2105263157894736
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,matched_long,torus_pca,2,0.1785714285714285
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,matched_long,torus_pca,3,0.15
