trial_index,original_trial_number,TC_sample,SC_sample,GO_sample,source_condition_index,source_trial_index
162,446,2880,3763,4500,5,14
163,542,2884,3762,4500,5,10
164,693,2884,3763,4500,5,6
165,258,2884,3763,4500,6,21
166,550,2884,3763,4500,6,16
167,100,2881,3760,4500,6,2
168,129,2884,3763,4500,6,9
169,186,2885,3763,4500,6,17
170,650,2875,3763,4500,6,18
171,438,2884,3763,4500,6,7
172,290,2883,3762,4500,6,24
173,289,2876,3763,4500,6,13
174,67,2880,3759,4500,6,30
175,458,2884,3763,4500,6,5
176,90,2884,3763,4500,6,11
177,77,2885,3763,4500,6,29
178,292,2879,3762,4500,6,3
179,649,2884,3763,4500,6,14
180,524,2875,3763,4500,6,15
181,105,2885,3763,4500,6,8
182,372,2884,3763,4500,6,26
183,617,2884,3762,4500,6,6
184,527,2884,3763,4500,6,27
185,555,2875,3762,4500,6,10
186,342,2884,3763,4500,6,33
187,211,2884,3763,4500,6,31
188,539,2884,3763,4500,6,23
189,24,2875,3763,4500,6,20
190,538,2879,3762,4500,6,12
191,642,2884,3763,4500,6,19
192,379,2875,3763,4500,6,28
193,483,2881,3760,4500,6,1
194,9,2875,3763,4500,6,32
195,113,2868,3753,4500,6,25
196,187,2877,3762,4500,6,4
197,376,2884,3762,4500,6,22
