analysis_set,analysis_label,monkey,source_monkey,session_id,lfp_uid,lfp_id,feature_role,feature_label,feature_set,relevant_band,relevant_band_label,f1
full_6_direction_lfps,Full 6-direction LFPs,M+T,M,o080425013-21,monkeyM_session-o080425013-21_lfp-1,1,average_psd,Average PSD,average_psd,beta,Beta (13-30 Hz),0.1164926279799854
full_6_direction_lfps,Full 6-direction LFPs,M+T,M,o080425013-21,monkeyM_session-o080425013-21_lfp-1,1,relevant_band,Relevant band,beta,beta,Beta (13-30 Hz),0.0954280802478146
full_6_direction_lfps,Full 6-direction LFPs,M+T,M,o080429002-7,monkeyM_session-o080429002-7_lfp-2,2,torus_features,Torus features,torus_nonlinear_15,beta,Beta (13-30 Hz),0.1678704395442877
full_6_direction_lfps,Full 6-direction LFPs,M+T,M,o080429002-7,monkeyM_session-o080429002-7_lfp-2,2,average_psd,Average PSD,average_psd,beta,Beta (13-30 Hz),0.2180206994571379
full_6_direction_lfps,Full 6-direction LFPs,M+T,M,o080429002-7,monkeyM_session-o080429002-7_lfp-2,2,relevant_band,Relevant band,beta,beta,Beta (13-30 Hz),0.1749504863421526
full_6_direction_lfps,Full 6-direction LFPs,M+T,M,o080430002-12,monkeyM_session-o080430002-12_lfp-1,1,torus_features,Torus features,torus_nonlinear_15,beta,Beta (13-30 Hz),0.1970221840881933
full_6_direction_lfps,Full 6-direction LFPs,M+T,M,o080430002-12,monkeyM_session-o080430002-12_lfp-1,1,average_psd,Average PSD,average_psd,beta,Beta (13-30 Hz),0.1386854145533027
full_6_direction_lfps,Full 6-direction LFPs,M+T,M,o080430002-12,monkeyM_session-o080430002-12_lfp-1,1,relevant_band,Relevant band,beta,beta,Beta (13-30 Hz),0.1247933134408576
full_6_direction_lfps,Full 6-direction LFPs,M+T,M,o080430013-23,monkeyM_session-o080430013-23_lfp-1,1,torus_features,Torus features,torus_nonlinear_15,beta,Beta (13-30 Hz),0.1690640906278527
full_6_direction_lfps,Full 6-direction LFPs,M+T,M,o080430013-23,monkeyM_session-o080430013-23_lfp-1,1,average_psd,Average PSD,average_psd,beta,Beta (13-30 Hz),0.1746030581889674
full_6_direction_lfps,Full 6-direction LFPs,M+T,M,o080430013-23,monkeyM_session-o080430013-23_lfp-1,1,relevant_band,Relevant band,beta,beta,Beta (13-30 Hz),0.1716889044993128
full_6_direction_lfps,Full 6-direction LFPs,M+T,M,o080430013-23,monkeyM_session-o080430013-23_lfp-2,2,torus_features,Torus features,torus_nonlinear_15,beta,Beta (13-30 Hz),0.1910011681046677
full_6_direction_lfps,Full 6-direction LFPs,M+T,M,o080430013-23,monkeyM_session-o080430013-23_lfp-2,2,average_psd,Average PSD,average_psd,beta,Beta (13-30 Hz),0.1128743206648132
full_6_direction_lfps,Full 6-direction LFPs,M+T,M,o080430013-23,monkeyM_session-o080430013-23_lfp-2,2,relevant_band,Relevant band,beta,beta,Beta (13-30 Hz),0.1159808038922191
full_6_direction_lfps,Full 6-direction LFPs,M+T,M,o080501001-6,monkeyM_session-o080501001-6_lfp-1,1,torus_features,Torus features,torus_nonlinear_15,beta,Beta (13-30 Hz),0.1822223053037887
full_6_direction_lfps,Full 6-direction LFPs,M+T,M,o080501001-6,monkeyM_session-o080501001-6_lfp-1,1,average_psd,Average PSD,average_psd,beta,Beta (13-30 Hz),0.1928709691867586
full_6_direction_lfps,Full 6-direction LFPs,M+T,M,o080501001-6,monkeyM_session-o080501001-6_lfp-1,1,relevant_band,Relevant band,beta,beta,Beta (13-30 Hz),0.1864023695602642
full_6_direction_lfps,Full 6-direction LFPs,M+T,M,o080506002-22,monkeyM_session-o080506002-22_lfp-1,1,torus_features,Torus features,torus_nonlinear_15,beta,Beta (13-30 Hz),0.2013852662685907
full_6_direction_lfps,Full 6-direction LFPs,M+T,M,o080506002-22,monkeyM_session-o080506002-22_lfp-1,1,average_psd,Average PSD,average_psd,beta,Beta (13-30 Hz),0.1126868845988294
full_6_direction_lfps,Full 6-direction LFPs,M+T,M,o080506002-22,monkeyM_session-o080506002-22_lfp-1,1,relevant_band,Relevant band,beta,beta,Beta (13-30 Hz),0.1438564813540733
