analysis_epoch,target,lfp_uid,monkey,session_id,lfp_id,feature_set,feature_label,source_relevant_band,status,accuracy,f1,n_classes,n_trials_balanced,per_class_n,torus_tau,torus_tau_ms,torus_embedding_dim,torus_param_source,torus_param_id,torus_fit_success_fraction,cache_path
movement,direction,monkeyM_session-o080416002-18_lfp-2,M,o080416002-18,2,average_psd,Average PSD,beta,ok,0.2152777777777778,0.16155307341748018,6,288,48,52,52.0,9,pertrace_unsupervised_movement_signal,pertrace_tau52_embed9,0.9965397923875432,nonlinear_refit/monkeyM_session-o080416002-18_lfp-2_movement_tau52_embed9_pts300_nfev1200.npz
movement,direction,monkeyM_session-o080416002-18_lfp-2,M,o080416002-18,2,all_band_power,All band power,beta,ok,0.2222222222222222,0.21498150389426,6,288,48,52,52.0,9,pertrace_unsupervised_movement_signal,pertrace_tau52_embed9,0.9965397923875432,nonlinear_refit/monkeyM_session-o080416002-18_lfp-2_movement_tau52_embed9_pts300_nfev1200.npz
movement,direction,monkeyM_session-o080416002-18_lfp-2,M,o080416002-18,2,torus_features,Torus features,beta,ok,0.18055555555555555,0.17789183385743512,6,288,48,52,52.0,9,pertrace_unsupervised_movement_signal,pertrace_tau52_embed9,0.9965397923875432,nonlinear_refit/monkeyM_session-o080416002-18_lfp-2_movement_tau52_embed9_pts300_nfev1200.npz
movement,direction,monkeyM_session-o080416002-18_lfp-2,M,o080416002-18,2,torus_plus_relevant_band,Torus + Relevant band,beta,ok,0.19791666666666666,0.1954872422016111,6,288,48,52,52.0,9,pertrace_unsupervised_movement_signal,pertrace_tau52_embed9,0.9965397923875432,nonlinear_refit/monkeyM_session-o080416002-18_lfp-2_movement_tau52_embed9_pts300_nfev1200.npz
movement,direction,monkeyM_session-o080416002-18_lfp-2,M,o080416002-18,2,torus_plus_average_psd,Torus + Average PSD,beta,ok,0.1909722222222222,0.18805385753416504,6,288,48,52,52.0,9,pertrace_unsupervised_movement_signal,pertrace_tau52_embed9,0.9965397923875432,nonlinear_refit/monkeyM_session-o080416002-18_lfp-2_movement_tau52_embed9_pts300_nfev1200.npz
movement,direction,monkeyM_session-o080416002-18_lfp-2,M,o080416002-18,2,torus_plus_all_band_power,Torus + All band power,beta,ok,0.1736111111111111,0.1716314982449809,6,288,48,52,52.0,9,pertrace_unsupervised_movement_signal,pertrace_tau52_embed9,0.9965397923875432,nonlinear_refit/monkeyM_session-o080416002-18_lfp-2_movement_tau52_embed9_pts300_nfev1200.npz
movement,direction,monkeyM_session-o080417003-14_lfp-1,M,o080417003-14,1,delta,Delta (2-4 Hz),beta,ok,0.17479674796747968,0.1505796043363383,6,246,41,10,10.0,7,pertrace_unsupervised_movement_signal,pertrace_tau10_embed7,0.9806949806949808,nonlinear_refit/monkeyM_session-o080417003-14_lfp-1_movement_tau10_embed7_pts300_nfev1200.npz
movement,direction,monkeyM_session-o080417003-14_lfp-1,M,o080417003-14,1,theta,Theta (4-8 Hz),beta,ok,0.15853658536585366,0.1381147997051575,6,246,41,10,10.0,7,pertrace_unsupervised_movement_signal,pertrace_tau10_embed7,0.9806949806949808,nonlinear_refit/monkeyM_session-o080417003-14_lfp-1_movement_tau10_embed7_pts300_nfev1200.npz
movement,direction,monkeyM_session-o080417003-14_lfp-1,M,o080417003-14,1,alpha,Alpha (8-13 Hz),beta,ok,0.17073170731707318,0.15009819970590071,6,246,41,10,10.0,7,pertrace_unsupervised_movement_signal,pertrace_tau10_embed7,0.9806949806949808,nonlinear_refit/monkeyM_session-o080417003-14_lfp-1_movement_tau10_embed7_pts300_nfev1200.npz
movement,direction,monkeyM_session-o080417003-14_lfp-1,M,o080417003-14,1,relevant_band,Relevant band (13-30 Hz),beta,ok,0.14634146341463414,0.13847799187530724,6,246,41,10,10.0,7,pertrace_unsupervised_movement_signal,pertrace_tau10_embed7,0.9806949806949808,nonlinear_refit/monkeyM_session-o080417003-14_lfp-1_movement_tau10_embed7_pts300_nfev1200.npz
