analysis_level,analysis_label,monkey,session_id,lfp_uid,lfp_id,feature_role,feature_label,feature_set,selected_band,selected_band_label,f1
full_6_direction_lfps,Full 6-direction LFPs,M,o080422011-21,monkeyM_session-o080422011-21_lfp-2,2,average_psd,Average PSD,average_psd,delta,Delta (2-4 Hz),0.15924768976430068
full_6_direction_lfps,Full 6-direction LFPs,M,o080422011-21,monkeyM_session-o080422011-21_lfp-2,2,best_single_band,Best single band,delta,delta,Delta (2-4 Hz),0.11297571848260209
full_6_direction_lfps,Full 6-direction LFPs,M,o080423001-5,monkeyM_session-o080423001-5_lfp-6,6,torus_features,Torus features,torus_nonlinear_15,delta,Delta (2-4 Hz),0.19920955982002495
full_6_direction_lfps,Full 6-direction LFPs,M,o080423001-5,monkeyM_session-o080423001-5_lfp-6,6,average_psd,Average PSD,average_psd,delta,Delta (2-4 Hz),0.12449341037600647
full_6_direction_lfps,Full 6-direction LFPs,M,o080423001-5,monkeyM_session-o080423001-5_lfp-6,6,best_single_band,Best single band,delta,delta,Delta (2-4 Hz),0.16687892211148025
full_6_direction_lfps,Full 6-direction LFPs,M,o080423001-5,monkeyM_session-o080423001-5_lfp-8,8,torus_features,Torus features,torus_nonlinear_15,delta,Delta (2-4 Hz),0.17555202988995647
full_6_direction_lfps,Full 6-direction LFPs,M,o080423001-5,monkeyM_session-o080423001-5_lfp-8,8,average_psd,Average PSD,average_psd,delta,Delta (2-4 Hz),0.1522153615001332
full_6_direction_lfps,Full 6-direction LFPs,M,o080423001-5,monkeyM_session-o080423001-5_lfp-8,8,best_single_band,Best single band,delta,delta,Delta (2-4 Hz),0.14049630049124437
full_6_direction_lfps,Full 6-direction LFPs,M,o080424002-11,monkeyM_session-o080424002-11_lfp-1,1,torus_features,Torus features,torus_nonlinear_15,delta,Delta (2-4 Hz),0.17630417032318077
full_6_direction_lfps,Full 6-direction LFPs,M,o080424002-11,monkeyM_session-o080424002-11_lfp-1,1,average_psd,Average PSD,average_psd,delta,Delta (2-4 Hz),0.13313181981463454
full_6_direction_lfps,Full 6-direction LFPs,M,o080424002-11,monkeyM_session-o080424002-11_lfp-1,1,best_single_band,Best single band,delta,delta,Delta (2-4 Hz),0.11270534199362768
full_6_direction_lfps,Full 6-direction LFPs,M,o080424012-22,monkeyM_session-o080424012-22_lfp-1,1,torus_features,Torus features,torus_nonlinear_15,delta,Delta (2-4 Hz),0.1526642088210783
full_6_direction_lfps,Full 6-direction LFPs,M,o080424012-22,monkeyM_session-o080424012-22_lfp-1,1,average_psd,Average PSD,average_psd,delta,Delta (2-4 Hz),0.14044635398018857
full_6_direction_lfps,Full 6-direction LFPs,M,o080424012-22,monkeyM_session-o080424012-22_lfp-1,1,best_single_band,Best single band,delta,delta,Delta (2-4 Hz),0.1562029959997686
full_6_direction_lfps,Full 6-direction LFPs,M,o080425003-12,monkeyM_session-o080425003-12_lfp-1,1,torus_features,Torus features,torus_nonlinear_15,delta,Delta (2-4 Hz),0.15327320219733262
full_6_direction_lfps,Full 6-direction LFPs,M,o080425003-12,monkeyM_session-o080425003-12_lfp-1,1,average_psd,Average PSD,average_psd,delta,Delta (2-4 Hz),0.1416245313288629
full_6_direction_lfps,Full 6-direction LFPs,M,o080425003-12,monkeyM_session-o080425003-12_lfp-1,1,best_single_band,Best single band,delta,delta,Delta (2-4 Hz),0.15332912169666948
full_6_direction_lfps,Full 6-direction LFPs,M,o080425013-21,monkeyM_session-o080425013-21_lfp-1,1,torus_features,Torus features,torus_nonlinear_15,delta,Delta (2-4 Hz),0.11313497822931784
full_6_direction_lfps,Full 6-direction LFPs,M,o080425013-21,monkeyM_session-o080425013-21_lfp-1,1,average_psd,Average PSD,average_psd,delta,Delta (2-4 Hz),0.1164926279799854
full_6_direction_lfps,Full 6-direction LFPs,M,o080425013-21,monkeyM_session-o080425013-21_lfp-1,1,best_single_band,Best single band,delta,delta,Delta (2-4 Hz),0.10862579519125837
full_6_direction_lfps,Full 6-direction LFPs,M,o080429002-7,monkeyM_session-o080429002-7_lfp-2,2,torus_features,Torus features,torus_nonlinear_15,delta,Delta (2-4 Hz),0.16787043954428774
full_6_direction_lfps,Full 6-direction LFPs,M,o080429002-7,monkeyM_session-o080429002-7_lfp-2,2,average_psd,Average PSD,average_psd,delta,Delta (2-4 Hz),0.2180206994571379
full_6_direction_lfps,Full 6-direction LFPs,M,o080429002-7,monkeyM_session-o080429002-7_lfp-2,2,best_single_band,Best single band,delta,delta,Delta (2-4 Hz),0.1546814952925281
full_6_direction_lfps,Full 6-direction LFPs,M,o080430002-12,monkeyM_session-o080430002-12_lfp-1,1,torus_features,Torus features,torus_nonlinear_15,delta,Delta (2-4 Hz),0.19702218408819336
full_6_direction_lfps,Full 6-direction LFPs,M,o080430002-12,monkeyM_session-o080430002-12_lfp-1,1,average_psd,Average PSD,average_psd,delta,Delta (2-4 Hz),0.1386854145533027
full_6_direction_lfps,Full 6-direction LFPs,M,o080430002-12,monkeyM_session-o080430002-12_lfp-1,1,best_single_band,Best single band,delta,delta,Delta (2-4 Hz),0.1376022255841097
full_6_direction_lfps,Full 6-direction LFPs,M,o080430013-23,monkeyM_session-o080430013-23_lfp-1,1,torus_features,Torus features,torus_nonlinear_15,delta,Delta (2-4 Hz),0.16906409062785274
full_6_direction_lfps,Full 6-direction LFPs,M,o080430013-23,monkeyM_session-o080430013-23_lfp-1,1,average_psd,Average PSD,average_psd,delta,Delta (2-4 Hz),0.17460305818896746
full_6_direction_lfps,Full 6-direction LFPs,M,o080430013-23,monkeyM_session-o080430013-23_lfp-1,1,best_single_band,Best single band,delta,delta,Delta (2-4 Hz),0.15693317854423347
full_6_direction_lfps,Full 6-direction LFPs,M,o080430013-23,monkeyM_session-o080430013-23_lfp-2,2,torus_features,Torus features,torus_nonlinear_15,delta,Delta (2-4 Hz),0.19100116810466772
full_6_direction_lfps,Full 6-direction LFPs,M,o080430013-23,monkeyM_session-o080430013-23_lfp-2,2,average_psd,Average PSD,average_psd,delta,Delta (2-4 Hz),0.11287432066481327
full_6_direction_lfps,Full 6-direction LFPs,M,o080430013-23,monkeyM_session-o080430013-23_lfp-2,2,best_single_band,Best single band,delta,delta,Delta (2-4 Hz),0.12541407821840359
full_6_direction_lfps,Full 6-direction LFPs,M,o080501001-6,monkeyM_session-o080501001-6_lfp-1,1,torus_features,Torus features,torus_nonlinear_15,delta,Delta (2-4 Hz),0.18222230530378872
full_6_direction_lfps,Full 6-direction LFPs,M,o080501001-6,monkeyM_session-o080501001-6_lfp-1,1,average_psd,Average PSD,average_psd,delta,Delta (2-4 Hz),0.19287096918675864
full_6_direction_lfps,Full 6-direction LFPs,M,o080501001-6,monkeyM_session-o080501001-6_lfp-1,1,best_single_band,Best single band,delta,delta,Delta (2-4 Hz),0.14536732811242614
full_6_direction_lfps,Full 6-direction LFPs,M,o080506002-22,monkeyM_session-o080506002-22_lfp-1,1,torus_features,Torus features,torus_nonlinear_15,delta,Delta (2-4 Hz),0.20138526626859074
full_6_direction_lfps,Full 6-direction LFPs,M,o080506002-22,monkeyM_session-o080506002-22_lfp-1,1,average_psd,Average PSD,average_psd,delta,Delta (2-4 Hz),0.11268688459882943
full_6_direction_lfps,Full 6-direction LFPs,M,o080506002-22,monkeyM_session-o080506002-22_lfp-1,1,best_single_band,Best single band,delta,delta,Delta (2-4 Hz),0.18890567041797482
full_6_direction_lfps,Full 6-direction LFPs,M,o080506002-22,monkeyM_session-o080506002-22_lfp-2,2,torus_features,Torus features,torus_nonlinear_15,delta,Delta (2-4 Hz),0.14346776404897374
full_6_direction_lfps,Full 6-direction LFPs,M,o080506002-22,monkeyM_session-o080506002-22_lfp-2,2,average_psd,Average PSD,average_psd,delta,Delta (2-4 Hz),0.18087681118432297
full_6_direction_lfps,Full 6-direction LFPs,M,o080506002-22,monkeyM_session-o080506002-22_lfp-2,2,best_single_band,Best single band,delta,delta,Delta (2-4 Hz),0.14549525690280904
full_6_direction_lfps,Full 6-direction LFPs,M,o080507002-11,monkeyM_session-o080507002-11_lfp-1,1,torus_features,Torus features,torus_nonlinear_15,delta,Delta (2-4 Hz),0.17531910793664698
full_6_direction_lfps,Full 6-direction LFPs,M,o080507002-11,monkeyM_session-o080507002-11_lfp-1,1,average_psd,Average PSD,average_psd,delta,Delta (2-4 Hz),0.155599327406181
full_6_direction_lfps,Full 6-direction LFPs,M,o080507002-11,monkeyM_session-o080507002-11_lfp-1,1,best_single_band,Best single band,delta,delta,Delta (2-4 Hz),0.16087583134628955
full_6_direction_lfps,Full 6-direction LFPs,M,o080507012-23,monkeyM_session-o080507012-23_lfp-1,1,torus_features,Torus features,torus_nonlinear_15,delta,Delta (2-4 Hz),0.21680655371900695
full_6_direction_lfps,Full 6-direction LFPs,M,o080507012-23,monkeyM_session-o080507012-23_lfp-1,1,average_psd,Average PSD,average_psd,delta,Delta (2-4 Hz),0.15398078414490413
full_6_direction_lfps,Full 6-direction LFPs,M,o080507012-23,monkeyM_session-o080507012-23_lfp-1,1,best_single_band,Best single band,delta,delta,Delta (2-4 Hz),0.14383685132915208
