lfp_uid,monkey,session_id,lfp_id,source_cell_id,twodir,source_pair_index,n_trials,n_samples,sampling_rate_hz,go_sample_zero_based,n_directions,n_delay_types,has_all_6_directions,has_short_and_long,converted_path,direction_1_count,direction_2_count,direction_3_count,direction_4_count,direction_5_count,direction_6_count,short_delay_count,long_delay_count,unknown_delay_count
monkeyM_session-o080723006-11_lfp-5,M,o080723006-11,5,Spi7-1,,343,292,6801,1000,4500,6,2,True,True,lfp_converted_data/monkeyM_session-o080723006-11_lfp-5.npz,48,48,50,48,49,49,147,145,0
monkeyM_session-o080723012-14_lfp-6,M,o080723012-14,6,Spi5-1,2,345,97,6801,1000,4500,2,2,False,True,lfp_converted_data/monkeyM_session-o080723012-14_lfp-6.npz,0,49,0,0,48,0,49,48,0
monkeyM_session-o080723012-14_lfp-5,M,o080723012-14,5,Spi7-1,2,347,97,6801,1000,4500,2,2,False,True,lfp_converted_data/monkeyM_session-o080723012-14_lfp-5.npz,0,49,0,0,48,0,49,48,0
monkeyM_session-o080724001-3_lfp-5,M,o080724001-3,5,Spi7-1,1,348,109,6801,1000,4500,2,2,False,True,lfp_converted_data/monkeyM_session-o080724001-3_lfp-5.npz,54,0,0,55,0,0,55,54,0
monkeyM_session-o080724004-9_lfp-7,M,o080724004-9,7,Spi5-2,,350,241,6801,1000,4500,6,2,True,True,lfp_converted_data/monkeyM_session-o080724004-9_lfp-7.npz,39,41,40,40,41,40,120,121,0
monkeyM_session-o080724004-9_lfp-5,M,o080724004-9,5,Spi7-1,,351,241,6801,1000,4500,6,2,True,True,lfp_converted_data/monkeyM_session-o080724004-9_lfp-5.npz,39,41,40,40,41,40,120,121,0
monkeyM_session-o080731001-2_lfp-6,M,o080731001-2,6,Spi5-1,1,353,60,6801,1000,4500,2,2,False,True,lfp_converted_data/monkeyM_session-o080731001-2_lfp-6.npz,30,0,0,30,0,0,30,30,0
monkeyM_session-o080731001-2_lfp-5,M,o080731001-2,5,Spi7-1,1,355,60,6801,1000,4500,2,2,False,True,lfp_converted_data/monkeyM_session-o080731001-2_lfp-5.npz,30,0,0,30,0,0,30,30,0
monkeyM_session-o080731003-10_lfp-6,M,o080731003-10,6,Spi5-1,,356,247,6801,1000,4500,6,2,True,True,lfp_converted_data/monkeyM_session-o080731003-10_lfp-6.npz,42,42,41,36,43,43,129,118,0
monkeyM_session-o080731011-18_lfp-6,M,o080731011-18,6,Spi5-1,,358,207,6801,1000,4500,6,2,True,True,lfp_converted_data/monkeyM_session-o080731011-18_lfp-6.npz,36,35,34,33,34,35,106,101,0
monkeyM_session-o080801001-7_lfp-6,M,o080801001-7,6,Spi5-1,,360,275,6801,1000,4500,6,2,True,True,lfp_converted_data/monkeyM_session-o080801001-7_lfp-6.npz,47,47,44,45,48,44,137,138,0
monkeyM_session-o080801001-7_lfp-5,M,o080801001-7,5,Spi8-1,,363,275,6801,1000,4500,6,2,True,True,lfp_converted_data/monkeyM_session-o080801001-7_lfp-5.npz,47,47,44,45,48,44,137,138,0
monkeyM_session-o080801008-10_lfp-7,M,o080801008-10,7,Spi5-1,,364,122,6801,1000,4500,6,2,True,True,lfp_converted_data/monkeyM_session-o080801008-10_lfp-7.npz,23,21,23,19,17,19,62,60,0
monkeyM_session-o080801008-10_lfp-5,M,o080801008-10,5,Spi8-1,,365,122,6801,1000,4500,6,2,True,True,lfp_converted_data/monkeyM_session-o080801008-10_lfp-5.npz,23,21,23,19,17,19,62,60,0
monkeyM_session-o080801011-14_lfp-7,M,o080801011-14,7,Spi5-1,,366,147,6801,1000,4500,6,2,True,True,lfp_converted_data/monkeyM_session-o080801011-14_lfp-7.npz,24,26,24,24,24,25,76,71,0
monkeyM_session-o080806001-5_lfp-7,M,o080806001-5,7,Spi5-1,,368,169,6801,1000,4500,6,2,True,True,lfp_converted_data/monkeyM_session-o080806001-5_lfp-7.npz,25,29,29,29,28,29,84,85,0
monkeyM_session-o080807001-3_lfp-5,M,o080807001-3,5,Spi6-2,1,371,105,6801,1000,4500,2,2,False,True,lfp_converted_data/monkeyM_session-o080807001-3_lfp-5.npz,51,0,0,54,0,0,52,53,0
monkeyM_session-o080807004-6_lfp-5,M,o080807004-6,5,Spi7-1,2,373,132,6801,1000,4500,2,2,False,True,lfp_converted_data/monkeyM_session-o080807004-6_lfp-5.npz,0,65,0,0,67,0,65,67,0
monkeyM_session-o080808001-5_lfp-6,M,o080808001-5,6,Spi5-1,,375,209,6801,1000,4500,6,2,True,True,lfp_converted_data/monkeyM_session-o080808001-5_lfp-6.npz,35,35,34,35,34,36,106,103,0
monkeyM_session-o080808001-5_lfp-5,M,o080808001-5,5,Spi7-1,,377,209,6801,1000,4500,6,2,True,True,lfp_converted_data/monkeyM_session-o080808001-5_lfp-5.npz,35,35,34,35,34,36,106,103,0
monkeyM_session-o080808006-12_lfp-6,M,o080808006-12,6,Spi5-1,,378,280,6801,1000,4500,6,2,True,True,lfp_converted_data/monkeyM_session-o080808006-12_lfp-6.npz,47,46,47,46,47,47,140,140,0
monkeyM_session-o080808006-12_lfp-5,M,o080808006-12,5,Spi7-1,,381,280,6801,1000,4500,6,2,True,True,lfp_converted_data/monkeyM_session-o080808006-12_lfp-5.npz,47,46,47,46,47,47,140,140,0
