lfp_uid,monkey,session_id,lfp_id,freq_hz,band,median_residual_log_psd,prominence,bootstrap_support,included_for_order,exclusion_reason
monkeyM_session-o080408001-4_lfp-1,M,o080408001-4,1,47.0,low_gamma,-0.08282581935304875,0.06820341090649074,0.7416666666666667,True,
monkeyM_session-o080410001-7_lfp-1,M,o080410001-7,1,33.0,low_gamma,0.825692916921922,1.1374639630084795,1.0,True,
monkeyM_session-o080410001-7_lfp-2,M,o080410001-7,2,33.0,low_gamma,0.7640019521466895,1.032961521907899,0.9833333333333333,True,
monkeyM_session-o080410008-13_lfp-1,M,o080410008-13,1,34.0,low_gamma,0.7042447433409735,0.933141358648813,1.0,True,
monkeyM_session-o080410008-13_lfp-2,M,o080410008-13,2,34.0,low_gamma,0.622980557204267,0.8569363065716825,0.9916666666666667,True,
monkeyM_session-o080410017-23_lfp-1,M,o080410017-23,1,34.0,low_gamma,0.8041009949293074,1.0843866512589413,1.0,True,
monkeyM_session-o080410017-23_lfp-2,M,o080410017-23,2,34.0,low_gamma,0.8127487913234462,1.0447304816075156,1.0,True,
monkeyM_session-o080411001-6_lfp-2,M,o080411001-6,2,4.0,theta,0.25961620227886495,0.09789073003684323,0.9833333333333333,True,
monkeyM_session-o080411001-6_lfp-2,M,o080411001-6,2,17.0,beta,0.11488033064019798,0.09047677340522714,0.7083333333333334,True,
monkeyM_session-o080411001-6_lfp-2,M,o080411001-6,2,37.0,low_gamma,0.4048299962606912,0.6135326050191467,1.0,True,
monkeyM_session-o080411001-6_lfp-4,M,o080411001-6,4,4.0,theta,0.1630135794271443,0.09852109872506692,0.8666666666666667,True,
monkeyM_session-o080411001-6_lfp-4,M,o080411001-6,4,25.0,beta,0.2693907955351721,0.07212745772261314,0.7833333333333333,True,
monkeyM_session-o080411001-6_lfp-4,M,o080411001-6,4,36.0,low_gamma,0.3335592318248275,0.4954781454516589,0.9833333333333333,True,
monkeyM_session-o080411007-14_lfp-1,M,o080411007-14,1,5.0,theta,0.2116123336068476,0.06082006417993491,0.7333333333333333,True,
monkeyM_session-o080411007-14_lfp-1,M,o080411007-14,1,18.0,beta,0.1315806932519988,0.12481858661221884,0.8833333333333333,True,
monkeyM_session-o080411007-14_lfp-1,M,o080411007-14,1,22.0,beta,0.09458233796260074,0.0394836364545436,0.55,True,
monkeyM_session-o080411007-14_lfp-1,M,o080411007-14,1,36.0,low_gamma,0.47363011119405074,0.6784194040651319,1.0,True,
monkeyM_session-o080415001-7_lfp-1,M,o080415001-7,1,17.0,beta,0.546586346583571,0.799681629631749,1.0,True,
monkeyM_session-o080415001-7_lfp-1,M,o080415001-7,1,29.0,beta,0.3688116058131734,0.17811661134046985,0.9833333333333333,True,
monkeyM_session-o080415001-7_lfp-1,M,o080415001-7,1,44.0,low_gamma,-0.0750401300614677,0.10439517815130195,0.8,True,
monkeyM_session-o080415008-14_lfp-1,M,o080415008-14,1,17.0,beta,0.5310869191041498,0.7142108737100967,1.0,True,
monkeyM_session-o080415008-14_lfp-1,M,o080415008-14,1,29.0,beta,0.33822472228381956,0.12436682090664597,0.9583333333333334,True,
monkeyM_session-o080416002-18_lfp-1,M,o080416002-18,1,5.0,theta,0.3947513530178262,0.5012792412443943,1.0,True,
