lfp_uid,monkey,session_id,lfp_id,epoch,target,feature_set,status,accuracy,f1,n_classes,n_trials_balanced,per_class_n
monkeyM_session-o080403001-7_lfp-2,M,o080403001-7,2,movement,delay,torus_geometry_15,ok,0.5204081632653061,0.5199583116206358,2,98,49
monkeyM_session-o080403001-7_lfp-2,M,o080403001-7,2,movement,condition,torus_geometry_15,ok,0.19791666666666666,0.1982261886727119,4,96,24
monkeyM_session-o080403001-7_lfp-2,M,o080403001-7,2,post_go,direction,torus_geometry_15,ok,0.43,0.42994299429942995,2,100,50
monkeyM_session-o080403001-7_lfp-2,M,o080403001-7,2,post_go,delay,torus_geometry_15,ok,0.4897959183673469,0.4889445139758031,2,98,49
monkeyM_session-o080403001-7_lfp-2,M,o080403001-7,2,post_go,condition,torus_geometry_15,ok,0.2916666666666667,0.29352245862884163,4,96,24
monkeyM_session-o080403009-14_lfp-1,M,o080403009-14,1,pre_go,direction,torus_geometry_15,ok,0.543859649122807,0.5432973805855161,2,114,57
monkeyM_session-o080403009-14_lfp-1,M,o080403009-14,1,pre_go,delay,torus_geometry_15,ok,0.8035714285714286,0.8033205619412516,2,112,56
monkeyM_session-o080403009-14_lfp-1,M,o080403009-14,1,pre_go,condition,torus_geometry_15,ok,0.3888888888888889,0.38814465408805027,4,108,27
monkeyM_session-o080403009-14_lfp-1,M,o080403009-14,1,peri_go,direction,torus_geometry_15,ok,0.5087719298245614,0.5086206896551724,2,114,57
monkeyM_session-o080403009-14_lfp-1,M,o080403009-14,1,peri_go,delay,torus_geometry_15,ok,0.44642857142857145,0.44642857142857145,2,112,56
monkeyM_session-o080403009-14_lfp-1,M,o080403009-14,1,peri_go,condition,torus_geometry_15,ok,0.26851851851851855,0.2700665061346176,4,108,27
monkeyM_session-o080403009-14_lfp-1,M,o080403009-14,1,movement,direction,torus_geometry_15,ok,0.5350877192982456,0.5347655347655348,2,114,57
monkeyM_session-o080403009-14_lfp-1,M,o080403009-14,1,movement,delay,torus_geometry_15,ok,0.5089285714285714,0.5085759872357399,2,112,56
monkeyM_session-o080403009-14_lfp-1,M,o080403009-14,1,movement,condition,torus_geometry_15,ok,0.25,0.2527136422899135,4,108,27
monkeyM_session-o080403009-14_lfp-1,M,o080403009-14,1,post_go,direction,torus_geometry_15,ok,0.5087719298245614,0.5074074074074074,2,114,57
monkeyM_session-o080403009-14_lfp-1,M,o080403009-14,1,post_go,delay,torus_geometry_15,ok,0.5267857142857143,0.526747986924978,2,112,56
monkeyM_session-o080403009-14_lfp-1,M,o080403009-14,1,post_go,condition,torus_geometry_15,ok,0.32407407407407407,0.3248914431673052,4,108,27
monkeyM_session-o080403009-14_lfp-2,M,o080403009-14,2,pre_go,direction,torus_geometry_15,ok,0.39473684210526316,0.39244612651579514,2,114,57
monkeyM_session-o080403009-14_lfp-2,M,o080403009-14,2,pre_go,delay,torus_geometry_15,ok,0.7767857142857143,0.7767679183608387,2,112,56
monkeyM_session-o080403009-14_lfp-2,M,o080403009-14,2,pre_go,condition,torus_geometry_15,ok,0.2777777777777778,0.2806638733854109,4,108,27
monkeyM_session-o080403009-14_lfp-2,M,o080403009-14,2,peri_go,direction,torus_geometry_15,ok,0.5087719298245614,0.5087719298245614,2,114,57
monkeyM_session-o080403009-14_lfp-2,M,o080403009-14,2,peri_go,delay,torus_geometry_15,ok,0.5,0.4998405103668262,2,112,56
monkeyM_session-o080403009-14_lfp-2,M,o080403009-14,2,peri_go,condition,torus_geometry_15,ok,0.19444444444444445,0.19563198675104987,4,108,27
monkeyM_session-o080403009-14_lfp-2,M,o080403009-14,2,movement,direction,torus_geometry_15,ok,0.5263157894736842,0.5239715434580885,2,114,57
monkeyM_session-o080403009-14_lfp-2,M,o080403009-14,2,movement,delay,torus_geometry_15,ok,0.45535714285714285,0.45322128851540616,2,112,56
monkeyM_session-o080403009-14_lfp-2,M,o080403009-14,2,movement,condition,torus_geometry_15,ok,0.32407407407407407,0.3190177776477926,4,108,27
monkeyM_session-o080403009-14_lfp-2,M,o080403009-14,2,post_go,direction,torus_geometry_15,ok,0.39473684210526316,0.3943173943173943,2,114,57
monkeyM_session-o080403009-14_lfp-2,M,o080403009-14,2,post_go,delay,torus_geometry_15,ok,0.48214285714285715,0.48214285714285715,2,112,56
monkeyM_session-o080403009-14_lfp-2,M,o080403009-14,2,post_go,condition,torus_geometry_15,ok,0.1574074074074074,0.15669460563077584,4,108,27
monkeyM_session-o080403015-20_lfp-1,M,o080403015-20,1,pre_go,direction,torus_geometry_15,ok,0.5875,0.5869191049913942,2,80,40
monkeyM_session-o080403015-20_lfp-1,M,o080403015-20,1,pre_go,delay,torus_geometry_15,ok,0.75,0.7493734335839599,2,80,40
monkeyM_session-o080403015-20_lfp-1,M,o080403015-20,1,pre_go,condition,torus_geometry_15,ok,0.45,0.43725839378013287,4,80,20
monkeyM_session-o080403015-20_lfp-1,M,o080403015-20,1,peri_go,direction,torus_geometry_15,ok,0.5625,0.5624316299421784,2,80,40
