lfp_uid,monkey,session_id,lfp_id,epoch,target,feature_set,status,accuracy,f1,n_classes,n_trials_balanced,per_class_n,torus_fit_success_fraction,torus_tau,torus_tau_ms,torus_embedding_dim,torus_param_source,torus_param_id
monkeyM_session-o080403001-7_lfp-2,M,o080403001-7,2,movement,direction,low_gamma,ok,0.57,0.5696126513862476,2,100,50,1.0,13,13.0,9,pertrace_unsupervised_movement_signal,pertrace_tau13_embed9
monkeyM_session-o080403001-7_lfp-2,M,o080403001-7,2,movement,direction,average_psd,ok,0.54,0.5392628205128205,2,100,50,1.0,13,13.0,9,pertrace_unsupervised_movement_signal,pertrace_tau13_embed9
monkeyM_session-o080403001-7_lfp-2,M,o080403001-7,2,movement,direction,all_band_power,ok,0.62,0.6186270574066639,2,100,50,1.0,13,13.0,9,pertrace_unsupervised_movement_signal,pertrace_tau13_embed9
monkeyM_session-o080403001-7_lfp-2,M,o080403001-7,2,movement,direction,torus_nonlinear_15,ok,0.5,0.49979991996798717,2,100,50,1.0,13,13.0,9,pertrace_unsupervised_movement_signal,pertrace_tau13_embed9
monkeyM_session-o080403009-14_lfp-1,M,o080403009-14,1,movement,direction,delta,ok,0.4649122807017544,0.4638809652301288,2,114,57,0.9914529914529915,15,15.0,7,pertrace_unsupervised_movement_signal,pertrace_tau15_embed7
monkeyM_session-o080403009-14_lfp-1,M,o080403009-14,1,movement,direction,theta,ok,0.5701754385964912,0.5693470048569886,2,114,57,0.9914529914529915,15,15.0,7,pertrace_unsupervised_movement_signal,pertrace_tau15_embed7
monkeyM_session-o080403009-14_lfp-1,M,o080403009-14,1,movement,direction,alpha,ok,0.543859649122807,0.5432973805855161,2,114,57,0.9914529914529915,15,15.0,7,pertrace_unsupervised_movement_signal,pertrace_tau15_embed7
monkeyM_session-o080403009-14_lfp-1,M,o080403009-14,1,movement,direction,beta,ok,0.45614035087719296,0.4478125,2,114,57,0.9914529914529915,15,15.0,7,pertrace_unsupervised_movement_signal,pertrace_tau15_embed7
monkeyM_session-o080403009-14_lfp-1,M,o080403009-14,1,movement,direction,low_gamma,ok,0.41228070175438597,0.41187341187341187,2,114,57,0.9914529914529915,15,15.0,7,pertrace_unsupervised_movement_signal,pertrace_tau15_embed7
monkeyM_session-o080403009-14_lfp-1,M,o080403009-14,1,movement,direction,average_psd,ok,0.47368421052631576,0.47368421052631576,2,114,57,0.9914529914529915,15,15.0,7,pertrace_unsupervised_movement_signal,pertrace_tau15_embed7
monkeyM_session-o080403009-14_lfp-1,M,o080403009-14,1,movement,direction,all_band_power,ok,0.5701754385964912,0.5698775698775699,2,114,57,0.9914529914529915,15,15.0,7,pertrace_unsupervised_movement_signal,pertrace_tau15_embed7
monkeyM_session-o080403009-14_lfp-1,M,o080403009-14,1,movement,direction,torus_nonlinear_15,ok,0.5175438596491229,0.5175067333589842,2,114,57,0.9914529914529915,15,15.0,7,pertrace_unsupervised_movement_signal,pertrace_tau15_embed7
monkeyM_session-o080403009-14_lfp-2,M,o080403009-14,2,movement,direction,delta,ok,0.3684210526315789,0.3666666666666667,2,114,57,1.0,8,8.0,9,pertrace_unsupervised_movement_signal,pertrace_tau8_embed9
monkeyM_session-o080403009-14_lfp-2,M,o080403009-14,2,movement,direction,theta,ok,0.49122807017543857,0.48100470957613817,2,114,57,1.0,8,8.0,9,pertrace_unsupervised_movement_signal,pertrace_tau8_embed9
monkeyM_session-o080403009-14_lfp-2,M,o080403009-14,2,movement,direction,alpha,ok,0.5789473684210527,0.5788177339901477,2,114,57,1.0,8,8.0,9,pertrace_unsupervised_movement_signal,pertrace_tau8_embed9
monkeyM_session-o080403009-14_lfp-2,M,o080403009-14,2,movement,direction,beta,ok,0.47368421052631576,0.465625,2,114,57,1.0,8,8.0,9,pertrace_unsupervised_movement_signal,pertrace_tau8_embed9
monkeyM_session-o080403009-14_lfp-2,M,o080403009-14,2,movement,direction,low_gamma,ok,0.42105263157894735,0.42105263157894735,2,114,57,1.0,8,8.0,9,pertrace_unsupervised_movement_signal,pertrace_tau8_embed9
monkeyM_session-o080403009-14_lfp-2,M,o080403009-14,2,movement,direction,average_psd,ok,0.5,0.4934123333593202,2,114,57,1.0,8,8.0,9,pertrace_unsupervised_movement_signal,pertrace_tau8_embed9
monkeyM_session-o080403009-14_lfp-2,M,o080403009-14,2,movement,direction,all_band_power,ok,0.4824561403508772,0.47921022067363533,2,114,57,1.0,8,8.0,9,pertrace_unsupervised_movement_signal,pertrace_tau8_embed9
monkeyM_session-o080403009-14_lfp-2,M,o080403009-14,2,movement,direction,torus_nonlinear_15,ok,0.4824561403508772,0.48241631396691037,2,114,57,1.0,8,8.0,9,pertrace_unsupervised_movement_signal,pertrace_tau8_embed9
monkeyM_session-o080403015-20_lfp-1,M,o080403015-20,1,movement,direction,delta,ok,0.375,0.37460913070669166,2,80,40,1.0,17,17.0,7,pertrace_unsupervised_movement_signal,pertrace_tau17_embed7
monkeyM_session-o080403015-20_lfp-1,M,o080403015-20,1,movement,direction,theta,ok,0.5875,0.5874355368026254,2,80,40,1.0,17,17.0,7,pertrace_unsupervised_movement_signal,pertrace_tau17_embed7
monkeyM_session-o080403015-20_lfp-1,M,o080403015-20,1,movement,direction,alpha,ok,0.5375,0.5374277230817315,2,80,40,1.0,17,17.0,7,pertrace_unsupervised_movement_signal,pertrace_tau17_embed7
monkeyM_session-o080403015-20_lfp-1,M,o080403015-20,1,movement,direction,beta,ok,0.475,0.475,2,80,40,1.0,17,17.0,7,pertrace_unsupervised_movement_signal,pertrace_tau17_embed7
monkeyM_session-o080403015-20_lfp-1,M,o080403015-20,1,movement,direction,low_gamma,ok,0.5625,0.5607843137254902,2,80,40,1.0,17,17.0,7,pertrace_unsupervised_movement_signal,pertrace_tau17_embed7
monkeyM_session-o080403015-20_lfp-1,M,o080403015-20,1,movement,direction,average_psd,ok,0.45,0.44688874921433064,2,80,40,1.0,17,17.0,7,pertrace_unsupervised_movement_signal,pertrace_tau17_embed7
monkeyM_session-o080403015-20_lfp-1,M,o080403015-20,1,movement,direction,all_band_power,ok,0.4875,0.48677828195900485,2,80,40,1.0,17,17.0,7,pertrace_unsupervised_movement_signal,pertrace_tau17_embed7
monkeyM_session-o080403015-20_lfp-1,M,o080403015-20,1,movement,direction,torus_nonlinear_15,ok,0.6,0.5997498436522827,2,80,40,1.0,17,17.0,7,pertrace_unsupervised_movement_signal,pertrace_tau17_embed7
monkeyM_session-o080403015-20_lfp-2,M,o080403015-20,2,movement,direction,delta,ok,0.5375,0.5368486934751995,2,80,40,1.0,14,14.0,9,pertrace_unsupervised_movement_signal,pertrace_tau14_embed9
monkeyM_session-o080403015-20_lfp-2,M,o080403015-20,2,movement,direction,theta,ok,0.5375,0.5368486934751995,2,80,40,1.0,14,14.0,9,pertrace_unsupervised_movement_signal,pertrace_tau14_embed9
monkeyM_session-o080403015-20_lfp-2,M,o080403015-20,2,movement,direction,alpha,ok,0.525,0.5247029393370857,2,80,40,1.0,14,14.0,9,pertrace_unsupervised_movement_signal,pertrace_tau14_embed9
monkeyM_session-o080403015-20_lfp-2,M,o080403015-20,2,movement,direction,beta,ok,0.5125,0.5124238162212846,2,80,40,1.0,14,14.0,9,pertrace_unsupervised_movement_signal,pertrace_tau14_embed9
monkeyM_session-o080403015-20_lfp-2,M,o080403015-20,2,movement,direction,low_gamma,ok,0.55,0.549718574108818,2,80,40,1.0,14,14.0,9,pertrace_unsupervised_movement_signal,pertrace_tau14_embed9
monkeyM_session-o080403015-20_lfp-2,M,o080403015-20,2,movement,direction,average_psd,ok,0.425,0.42174732872407295,2,80,40,1.0,14,14.0,9,pertrace_unsupervised_movement_signal,pertrace_tau14_embed9
monkeyM_session-o080403015-20_lfp-2,M,o080403015-20,2,movement,direction,all_band_power,ok,0.5,0.497171590194846,2,80,40,1.0,14,14.0,9,pertrace_unsupervised_movement_signal,pertrace_tau14_embed9
monkeyM_session-o080403015-20_lfp-2,M,o080403015-20,2,movement,direction,torus_nonlinear_15,ok,0.6125,0.6119543107494915,2,80,40,1.0,14,14.0,9,pertrace_unsupervised_movement_signal,pertrace_tau14_embed9
monkeyM_session-o080404002-6_lfp-1,M,o080404002-6,1,movement,direction,delta,ok,0.5813953488372093,0.5811688311688312,2,86,43,1.0,16,16.0,7,pertrace_unsupervised_movement_signal,pertrace_tau16_embed7
monkeyM_session-o080404002-6_lfp-1,M,o080404002-6,1,movement,direction,theta,ok,0.4069767441860465,0.40689655172413797,2,86,43,1.0,16,16.0,7,pertrace_unsupervised_movement_signal,pertrace_tau16_embed7
monkeyM_session-o080404002-6_lfp-1,M,o080404002-6,1,movement,direction,alpha,ok,0.4418604651162791,0.44065040650406506,2,86,43,1.0,16,16.0,7,pertrace_unsupervised_movement_signal,pertrace_tau16_embed7
monkeyM_session-o080404002-6_lfp-1,M,o080404002-6,1,movement,direction,beta,ok,0.686046511627907,0.6856640043319344,2,86,43,1.0,16,16.0,7,pertrace_unsupervised_movement_signal,pertrace_tau16_embed7
monkeyM_session-o080404002-6_lfp-1,M,o080404002-6,1,movement,direction,low_gamma,ok,0.6046511627906976,0.6046511627906976,2,86,43,1.0,16,16.0,7,pertrace_unsupervised_movement_signal,pertrace_tau16_embed7
monkeyM_session-o080404002-6_lfp-1,M,o080404002-6,1,movement,direction,average_psd,ok,0.5581395348837209,0.5579004329004329,2,86,43,1.0,16,16.0,7,pertrace_unsupervised_movement_signal,pertrace_tau16_embed7
monkeyM_session-o080404002-6_lfp-1,M,o080404002-6,1,movement,direction,all_band_power,ok,0.6511627906976745,0.6511627906976745,2,86,43,1.0,16,16.0,7,pertrace_unsupervised_movement_signal,pertrace_tau16_embed7
monkeyM_session-o080404002-6_lfp-1,M,o080404002-6,1,movement,direction,torus_nonlinear_15,ok,0.6046511627906976,0.6044372294372294,2,86,43,1.0,16,16.0,7,pertrace_unsupervised_movement_signal,pertrace_tau16_embed7
monkeyM_session-o080404002-6_lfp-2,M,o080404002-6,2,movement,direction,delta,ok,0.46511627906976744,0.4648268398268398,2,86,43,1.0,14,14.0,7,pertrace_unsupervised_movement_signal,pertrace_tau14_embed7
monkeyM_session-o080404002-6_lfp-2,M,o080404002-6,2,movement,direction,theta,ok,0.6162790697674418,0.6158115608501422,2,86,43,1.0,14,14.0,7,pertrace_unsupervised_movement_signal,pertrace_tau14_embed7
monkeyM_session-o080404002-6_lfp-2,M,o080404002-6,2,movement,direction,alpha,ok,0.5465116279069767,0.5449735449735449,2,86,43,1.0,14,14.0,7,pertrace_unsupervised_movement_signal,pertrace_tau14_embed7
monkeyM_session-o080404002-6_lfp-2,M,o080404002-6,2,movement,direction,beta,ok,0.686046511627907,0.6856640043319344,2,86,43,1.0,14,14.0,7,pertrace_unsupervised_movement_signal,pertrace_tau14_embed7
monkeyM_session-o080404002-6_lfp-2,M,o080404002-6,2,movement,direction,low_gamma,ok,0.4418604651162791,0.4391304347826087,2,86,43,1.0,14,14.0,7,pertrace_unsupervised_movement_signal,pertrace_tau14_embed7
monkeyM_session-o080404002-6_lfp-2,M,o080404002-6,2,movement,direction,average_psd,ok,0.7093023255813954,0.7089481521591986,2,86,43,1.0,14,14.0,7,pertrace_unsupervised_movement_signal,pertrace_tau14_embed7
monkeyM_session-o080404002-6_lfp-2,M,o080404002-6,2,movement,direction,all_band_power,ok,0.6627906976744186,0.6627450980392157,2,86,43,1.0,14,14.0,7,pertrace_unsupervised_movement_signal,pertrace_tau14_embed7
monkeyM_session-o080404002-6_lfp-2,M,o080404002-6,2,movement,direction,torus_nonlinear_15,ok,0.5697674418604651,0.5668980536273309,2,86,43,1.0,14,14.0,7,pertrace_unsupervised_movement_signal,pertrace_tau14_embed7
monkeyM_session-o080404007-12_lfp-1,M,o080404007-12,1,movement,direction,delta,ok,0.5480769230769231,0.5470299323510333,2,104,52,0.9904761904761905,14,14.0,7,pertrace_unsupervised_movement_signal,pertrace_tau14_embed7
monkeyM_session-o080404007-12_lfp-1,M,o080404007-12,1,movement,direction,theta,ok,0.4230769230769231,0.4222222222222222,2,104,52,0.9904761904761905,14,14.0,7,pertrace_unsupervised_movement_signal,pertrace_tau14_embed7
monkeyM_session-o080404007-12_lfp-1,M,o080404007-12,1,movement,direction,alpha,ok,0.4423076923076923,0.4421013688494266,2,104,52,0.9904761904761905,14,14.0,7,pertrace_unsupervised_movement_signal,pertrace_tau14_embed7
monkeyM_session-o080404007-12_lfp-1,M,o080404007-12,1,movement,direction,beta,ok,0.6153846153846154,0.6148148148148148,2,104,52,0.9904761904761905,14,14.0,7,pertrace_unsupervised_movement_signal,pertrace_tau14_embed7
monkeyM_session-o080404007-12_lfp-1,M,o080404007-12,1,movement,direction,low_gamma,ok,0.5384615384615384,0.5384615384615384,2,104,52,0.9904761904761905,14,14.0,7,pertrace_unsupervised_movement_signal,pertrace_tau14_embed7
monkeyM_session-o080404007-12_lfp-1,M,o080404007-12,1,movement,direction,average_psd,ok,0.5865384615384616,0.5865002311604253,2,104,52,0.9904761904761905,14,14.0,7,pertrace_unsupervised_movement_signal,pertrace_tau14_embed7
monkeyM_session-o080404007-12_lfp-1,M,o080404007-12,1,movement,direction,all_band_power,ok,0.6730769230769231,0.6730769230769231,2,104,52,0.9904761904761905,14,14.0,7,pertrace_unsupervised_movement_signal,pertrace_tau14_embed7
monkeyM_session-o080404007-12_lfp-1,M,o080404007-12,1,movement,direction,torus_nonlinear_15,ok,0.49038461538461536,0.4899602109743684,2,104,52,0.9904761904761905,14,14.0,7,pertrace_unsupervised_movement_signal,pertrace_tau14_embed7
monkeyM_session-o080404013-18_lfp-1,M,o080404013-18,1,movement,direction,delta,ok,0.47619047619047616,0.475,2,84,42,1.0,15,15.0,9,pertrace_unsupervised_movement_signal,pertrace_tau15_embed9
monkeyM_session-o080404013-18_lfp-1,M,o080404013-18,1,movement,direction,theta,ok,0.5714285714285714,0.5714285714285714,2,84,42,1.0,15,15.0,9,pertrace_unsupervised_movement_signal,pertrace_tau15_embed9
monkeyM_session-o080404013-18_lfp-1,M,o080404013-18,1,movement,direction,alpha,ok,0.5238095238095238,0.5194508009153318,2,84,42,1.0,15,15.0,9,pertrace_unsupervised_movement_signal,pertrace_tau15_embed9
