lfp_uid,monkey,session_id,lfp_id,epoch,target,feature_set,status,accuracy,f1,n_classes,n_trials_balanced,per_class_n,torus_tau,torus_tau_ms,torus_embedding_dim,torus_param_source,torus_param_id
monkeyM_session-o080403001-7_lfp-1,M,o080403001-7,1,peri_go,delay,torus_geometry_15,ok,0.46938775510204084,0.46850229453483516,2,98,49,13,13.0,9,pertrace_unsupervised_movement_signal,pertrace_tau13_embed9
monkeyM_session-o080403001-7_lfp-1,M,o080403001-7,1,peri_go,condition,torus_geometry_15,ok,0.3125,0.31254137871614884,4,96,24,13,13.0,9,pertrace_unsupervised_movement_signal,pertrace_tau13_embed9
monkeyM_session-o080403001-7_lfp-1,M,o080403001-7,1,movement,direction,torus_geometry_15,ok,0.43,0.4285714285714286,2,100,50,13,13.0,9,pertrace_unsupervised_movement_signal,pertrace_tau13_embed9
monkeyM_session-o080403001-7_lfp-1,M,o080403001-7,1,movement,delay,torus_geometry_15,ok,0.3979591836734694,0.39789649067999583,2,98,49,13,13.0,9,pertrace_unsupervised_movement_signal,pertrace_tau13_embed9
monkeyM_session-o080403001-7_lfp-1,M,o080403001-7,1,movement,condition,torus_geometry_15,ok,0.25,0.24455882352941177,4,96,24,13,13.0,9,pertrace_unsupervised_movement_signal,pertrace_tau13_embed9
monkeyM_session-o080403001-7_lfp-1,M,o080403001-7,1,post_go,direction,torus_geometry_15,ok,0.49,0.4858352656517794,2,100,50,13,13.0,9,pertrace_unsupervised_movement_signal,pertrace_tau13_embed9
monkeyM_session-o080403001-7_lfp-1,M,o080403001-7,1,post_go,delay,torus_geometry_15,ok,0.5,0.4999479329376237,2,98,49,13,13.0,9,pertrace_unsupervised_movement_signal,pertrace_tau13_embed9
monkeyM_session-o080403001-7_lfp-1,M,o080403001-7,1,post_go,condition,torus_geometry_15,ok,0.3958333333333333,0.38928811706332517,4,96,24,13,13.0,9,pertrace_unsupervised_movement_signal,pertrace_tau13_embed9
monkeyM_session-o080403001-7_lfp-2,M,o080403001-7,2,pre_go,direction,torus_geometry_15,ok,0.46,0.45804897631473307,2,100,50,13,13.0,9,pertrace_unsupervised_movement_signal,pertrace_tau13_embed9
monkeyM_session-o080403001-7_lfp-2,M,o080403001-7,2,pre_go,delay,torus_geometry_15,ok,0.6020408163265306,0.6019993751952515,2,98,49,13,13.0,9,pertrace_unsupervised_movement_signal,pertrace_tau13_embed9
monkeyM_session-o080403001-7_lfp-2,M,o080403001-7,2,pre_go,condition,torus_geometry_15,ok,0.28125,0.2813181294719553,4,96,24,13,13.0,9,pertrace_unsupervised_movement_signal,pertrace_tau13_embed9
monkeyM_session-o080403001-7_lfp-2,M,o080403001-7,2,peri_go,direction,torus_geometry_15,ok,0.45,0.4499449944994499,2,100,50,13,13.0,9,pertrace_unsupervised_movement_signal,pertrace_tau13_embed9
monkeyM_session-o080403001-7_lfp-2,M,o080403001-7,2,peri_go,delay,torus_geometry_15,ok,0.45918367346938777,0.457772210042802,2,98,49,13,13.0,9,pertrace_unsupervised_movement_signal,pertrace_tau13_embed9
monkeyM_session-o080403001-7_lfp-2,M,o080403001-7,2,peri_go,condition,torus_geometry_15,ok,0.23958333333333334,0.2371214402150773,4,96,24,13,13.0,9,pertrace_unsupervised_movement_signal,pertrace_tau13_embed9
