lfp_uid,monkey,session_id,lfp_id,epoch,target,feature_set,status,accuracy,f1,n_classes,n_trials_balanced,per_class_n,torus_fit_success_fraction
monkeyM_session-o080403009-14_lfp-2,M,o080403009-14,2,movement,direction,low_gamma,ok,0.42105263157894735,0.42105263157894735,2,114,57,0.9829059829059829
monkeyM_session-o080403009-14_lfp-2,M,o080403009-14,2,movement,direction,average_psd,ok,0.5,0.4934123333593202,2,114,57,0.9829059829059829
monkeyM_session-o080403009-14_lfp-2,M,o080403009-14,2,movement,direction,all_band_power,ok,0.4824561403508772,0.47921022067363533,2,114,57,0.9829059829059829
monkeyM_session-o080403009-14_lfp-2,M,o080403009-14,2,movement,direction,torus_nonlinear_15,ok,0.5087719298245614,0.5081664098613251,2,114,57,0.9829059829059829
monkeyM_session-o080403015-20_lfp-1,M,o080403015-20,1,movement,direction,delta,ok,0.375,0.37460913070669166,2,80,40,0.9876543209876543
monkeyM_session-o080403015-20_lfp-1,M,o080403015-20,1,movement,direction,theta,ok,0.5875,0.5874355368026254,2,80,40,0.9876543209876543
monkeyM_session-o080403015-20_lfp-1,M,o080403015-20,1,movement,direction,alpha,ok,0.5375,0.5374277230817315,2,80,40,0.9876543209876543
monkeyM_session-o080403015-20_lfp-1,M,o080403015-20,1,movement,direction,beta,ok,0.475,0.475,2,80,40,0.9876543209876543
monkeyM_session-o080403015-20_lfp-1,M,o080403015-20,1,movement,direction,low_gamma,ok,0.5625,0.5607843137254902,2,80,40,0.9876543209876543
monkeyM_session-o080403015-20_lfp-1,M,o080403015-20,1,movement,direction,average_psd,ok,0.45,0.44688874921433064,2,80,40,0.9876543209876543
monkeyM_session-o080403015-20_lfp-1,M,o080403015-20,1,movement,direction,all_band_power,ok,0.4875,0.48677828195900485,2,80,40,0.9876543209876543
monkeyM_session-o080403015-20_lfp-1,M,o080403015-20,1,movement,direction,torus_nonlinear_15,ok,0.5375,0.5356862745098039,2,80,40,0.9876543209876543
monkeyM_session-o080403015-20_lfp-2,M,o080403015-20,2,movement,direction,delta,ok,0.5375,0.5368486934751995,2,80,40,1.0
monkeyM_session-o080403015-20_lfp-2,M,o080403015-20,2,movement,direction,theta,ok,0.5375,0.5368486934751995,2,80,40,1.0
monkeyM_session-o080403015-20_lfp-2,M,o080403015-20,2,movement,direction,alpha,ok,0.525,0.5247029393370857,2,80,40,1.0
monkeyM_session-o080403015-20_lfp-2,M,o080403015-20,2,movement,direction,beta,ok,0.5125,0.5124238162212846,2,80,40,1.0
monkeyM_session-o080403015-20_lfp-2,M,o080403015-20,2,movement,direction,low_gamma,ok,0.55,0.549718574108818,2,80,40,1.0
monkeyM_session-o080403015-20_lfp-2,M,o080403015-20,2,movement,direction,average_psd,ok,0.425,0.42174732872407295,2,80,40,1.0
monkeyM_session-o080403015-20_lfp-2,M,o080403015-20,2,movement,direction,all_band_power,ok,0.5,0.497171590194846,2,80,40,1.0
monkeyM_session-o080403015-20_lfp-2,M,o080403015-20,2,movement,direction,torus_nonlinear_15,ok,0.5125,0.5124238162212846,2,80,40,1.0
