lfp_uid,epoch,n_trials,n_samples_per_epoch
monkeyM_session-o080528001-5_lfp-1,movement,86,1000
monkeyM_session-o080528006-15_lfp-2,movement,242,1000
monkeyM_session-o080528006-15_lfp-4,movement,242,1000
monkeyM_session-o080528016-25_lfp-2,movement,192,1000
monkeyM_session-o080528016-25_lfp-4,movement,192,1000
monkeyM_session-o080710002-4_lfp-5,movement,96,1000
monkeyM_session-o080710002-4_lfp-6,movement,96,1000
monkeyM_session-o080710006-11_lfp-5,movement,239,1000
monkeyM_session-o080710006-11_lfp-6,movement,239,1000
monkeyM_session-o080710012-14_lfp-5,movement,120,1000
monkeyM_session-o080711002-7_lfp-6,movement,234,1000
monkeyM_session-o080711002-7_lfp-8,movement,234,1000
monkeyM_session-o080711008-12_lfp-5,movement,198,1000
monkeyM_session-o080718002-4_lfp-5,movement,104,1000
monkeyM_session-o080718002-4_lfp-6,movement,104,1000
monkeyM_session-o080718005-9_lfp-5,movement,191,1000
monkeyM_session-o080718005-9_lfp-8,movement,191,1000
monkeyM_session-o080722004-9_lfp-5,movement,193,1000
monkeyM_session-o080723001-3_lfp-5,movement,99,1000
monkeyM_session-o080723001-3_lfp-6,movement,99,1000
monkeyM_session-o080723006-11_lfp-5,movement,292,1000
monkeyM_session-o080723006-11_lfp-7,movement,292,1000
monkeyM_session-o080723012-14_lfp-5,movement,97,1000
monkeyM_session-o080723012-14_lfp-6,movement,97,1000
monkeyM_session-o080724001-3_lfp-5,movement,109,1000
monkeyM_session-o080724004-9_lfp-5,movement,241,1000
monkeyM_session-o080724004-9_lfp-7,movement,241,1000
monkeyM_session-o080731001-2_lfp-5,movement,60,1000
monkeyM_session-o080731001-2_lfp-6,movement,60,1000
monkeyM_session-o080731003-10_lfp-6,movement,247,1000
monkeyM_session-o080731011-18_lfp-6,movement,207,1000
monkeyM_session-o080801001-7_lfp-5,movement,275,1000
monkeyM_session-o080801001-7_lfp-6,movement,275,1000
monkeyM_session-o080801008-10_lfp-5,movement,122,1000
