target,epoch,feature_set,mean_accuracy,std_accuracy,mean_f1,std_f1,n_lfps,mean_balanced_trials
condition,movement,all_band_power,0.18216320114034662,0.10369943073701268,0.17191957086516993,0.10509087736579516,341,188.0234604105572
condition,movement,alpha,0.13996118888545866,0.08873536558661645,0.11742986785224359,0.08568022176652759,341,188.0234604105572
condition,movement,average_psd,0.14816505849407702,0.09269940151399053,0.12710208482622656,0.09146536779937499,341,188.0234604105572
condition,movement,beta,0.15062282722658268,0.09285697440415534,0.12656493838807276,0.08991071648546825,341,188.0234604105572
condition,movement,delta,0.15278795237951645,0.09312631138669084,0.12990028914321775,0.08927091685362969,341,188.0234604105572
condition,movement,low_gamma,0.1478096337846096,0.0928678988375964,0.12553952150672626,0.08969367456971276,341,188.0234604105572
condition,movement,theta,0.1505102148346528,0.09322967864414741,0.12711105218924093,0.08895583868775844,341,188.0234604105572
condition,movement,torus_geometry_15,0.15847814684388528,0.09469905296932458,0.1552050213883073,0.09525238897138626,341,188.0234604105572
condition,peri_go,all_band_power,0.19136743653702576,0.111971828982673,0.1822819508118222,0.11376399428399356,341,188.04692082111438
condition,peri_go,alpha,0.14363555025032182,0.08887506390513406,0.12070937948282257,0.08697167304438977,341,188.04692082111438
condition,peri_go,average_psd,0.1552295032264687,0.10035732845597141,0.13260456370674054,0.09844207762976098,341,188.04692082111438
condition,peri_go,beta,0.14993320546229247,0.10062761543598957,0.12754309551700102,0.09663089780305972,341,188.04692082111438
condition,peri_go,delta,0.15955599649938756,0.10056246887531563,0.135819261271315,0.09735296468571004,341,188.04692082111438
condition,peri_go,low_gamma,0.14995464920526166,0.097816903949315,0.12839114860351536,0.09434043649109314,341,188.04692082111438
condition,peri_go,theta,0.15258291477750816,0.09562878371130737,0.12968959864153554,0.09088132198372993,341,188.04692082111438
condition,peri_go,torus_geometry_15,0.16646506567808209,0.10126668330186553,0.16272487010829184,0.10201656279172044,341,188.04692082111438
condition,post_go,all_band_power,0.1760231244124993,0.09879004383636884,0.1657958652964823,0.1001172126077267,341,188.04692082111438
condition,post_go,alpha,0.13975196695319325,0.08981990743083505,0.11768244771875778,0.0864547301788174,341,188.04692082111438
condition,post_go,average_psd,0.1467112823167157,0.08879048538841587,0.12538041228326538,0.08605857932006751,341,188.04692082111438
condition,post_go,beta,0.14858620130051803,0.08813338051467048,0.1249605767960456,0.08601000652198916,341,188.04692082111438
condition,post_go,delta,0.14865983542381372,0.09033953950072969,0.12548511205193807,0.08677241828583587,341,188.04692082111438
condition,post_go,low_gamma,0.1477393382293733,0.09177924260282626,0.12472695053824934,0.08901481939703057,341,188.04692082111438
condition,post_go,theta,0.14668840480228773,0.09232416441003136,0.12255401923798918,0.08882856263446438,341,188.04692082111438
condition,post_go,torus_geometry_15,0.15751390029518345,0.09320811321702899,0.15362269156394,0.09370045992412482,341,188.04692082111438
condition,pre_go,all_band_power,0.2279366388359248,0.13951312316239872,0.22006193050886325,0.14173642982868034,341,188.04692082111438
condition,pre_go,alpha,0.18041227965279963,0.11686350148082582,0.16160023020198838,0.11868155188535731,341,188.04692082111438
condition,pre_go,average_psd,0.17859070803333146,0.11834528885909562,0.1606046496406149,0.11977449749648343,341,188.04692082111438
condition,pre_go,beta,0.1714542672231352,0.11324415234267345,0.15321668420831536,0.11250047050855282,341,188.04692082111438
condition,pre_go,delta,0.16632522075111705,0.11204311819257874,0.14452812348353486,0.11140702034598912,341,188.04692082111438
condition,pre_go,low_gamma,0.1590251982706073,0.10430256759403908,0.13896648411105592,0.10273976690192163,341,188.04692082111438
condition,pre_go,theta,0.1754204555487428,0.11563025518746292,0.1560866194128814,0.1156227552719977,341,188.04692082111438
condition,pre_go,torus_geometry_15,0.18347173290848962,0.11099994737912072,0.1796454107164081,0.11185234623297247,341,188.04692082111438
delay,movement,all_band_power,0.565567102220642,0.06059637153235724,0.5651623781240608,0.060685949980830836,341,200.07624633431084
delay,movement,alpha,0.5150779906547558,0.05616372608676135,0.5140565257865372,0.056713015483426374,341,200.07624633431084
delay,movement,average_psd,0.524444247570961,0.06021135346308284,0.5232745424535464,0.060967868402116654,341,200.07624633431084
delay,movement,beta,0.534524845214853,0.05527471830966983,0.5333974119743566,0.05590578080030722,341,200.07624633431084
delay,movement,delta,0.5293242859694206,0.06185572238354376,0.5281445483608089,0.062417854032861625,341,200.07624633431084
delay,movement,low_gamma,0.5266676440542469,0.05842936247430443,0.5256492609687654,0.05886307563762152,341,200.07624633431084
delay,movement,theta,0.5449622691020176,0.064101031400362,0.5438993326682576,0.06483138577007759,341,200.07624633431084
delay,movement,torus_geometry_15,0.5456231509165607,0.061038998854226006,0.545046688827921,0.061147801801273945,341,200.07624633431084
delay,peri_go,all_band_power,0.5985058770147238,0.07137023123053694,0.5980822071436462,0.07147733405345993,341,200.08797653958945
delay,peri_go,alpha,0.5296762865809413,0.059964372851763405,0.5288608893926974,0.060418934733010514,341,200.08797653958945
delay,peri_go,average_psd,0.5477601196474547,0.06661732352930291,0.5467840312417945,0.0671834712450431,341,200.08797653958945
delay,peri_go,beta,0.5370026522855927,0.06777809107999708,0.5360646647214807,0.06819158726767315,341,200.08797653958945
delay,peri_go,delta,0.5554184114858267,0.06800963478542975,0.5543562776620746,0.06856415031726498,341,200.08797653958945
delay,peri_go,low_gamma,0.5357386236385351,0.06803706137201114,0.5345901870621567,0.0685266402945165,341,200.08797653958945
delay,peri_go,theta,0.5527785570842533,0.06673738288311357,0.5518101937977598,0.06756121323830554,341,200.08797653958945
delay,peri_go,torus_geometry_15,0.5676081312627475,0.07865673894333255,0.5670493638181041,0.0787926352194198,341,200.08797653958945
delay,post_go,all_band_power,0.5653221937811186,0.05914801684292756,0.5649032271851255,0.059189692920133194,341,200.08797653958945
delay,post_go,alpha,0.5123647590268293,0.05302867293286889,0.5111881093171446,0.053653564491269866,341,200.08797653958945
delay,post_go,average_psd,0.5219265775823685,0.05798695089123144,0.520650976497703,0.05892181022136397,341,200.08797653958945
delay,post_go,beta,0.5406756293941163,0.05796180518505017,0.5397099300024659,0.05841722575453985,341,200.08797653958945
delay,post_go,delta,0.5324190899719758,0.06301539135957615,0.5314018858274447,0.06349773298121844,341,200.08797653958945
delay,post_go,low_gamma,0.5252742927357296,0.05627269686943254,0.5241445363414239,0.057018418052328594,341,200.08797653958945
delay,post_go,theta,0.5426200529415468,0.06228349133349891,0.5418018855514616,0.06289450651992735,341,200.08797653958945
