lfp_uid,monkey,session_id,lfp_id,epoch,target,feature_set,status,accuracy,f1,n_classes,n_trials_balanced,per_class_n
monkeyM_session-o080326006-9_lfp-1,M,o080326006-9,1,peri_go,condition,torus_geometry_15,ok,0.35,0.34090909090909094,4,40,10
monkeyM_session-o080326006-9_lfp-1,M,o080326006-9,1,movement,direction,delta,ok,0.675,0.6731615336266499,2,40,20
monkeyM_session-o080326006-9_lfp-1,M,o080326006-9,1,movement,direction,theta,ok,0.6,0.6,2,40,20
monkeyM_session-o080326006-9_lfp-1,M,o080326006-9,1,movement,direction,alpha,ok,0.575,0.5747342088805503,2,40,20
monkeyM_session-o080326006-9_lfp-1,M,o080326006-9,1,movement,direction,beta,ok,0.575,0.5747342088805503,2,40,20
monkeyM_session-o080326006-9_lfp-1,M,o080326006-9,1,movement,direction,low_gamma,ok,0.65,0.6491228070175439,2,40,20
monkeyM_session-o080326006-9_lfp-1,M,o080326006-9,1,movement,direction,average_psd,ok,0.625,0.6247654784240151,2,40,20
monkeyM_session-o080326006-9_lfp-1,M,o080326006-9,1,movement,direction,all_band_power,ok,0.5,0.5,2,40,20
monkeyM_session-o080326006-9_lfp-1,M,o080326006-9,1,movement,direction,torus_geometry_15,ok,0.55,0.5488721804511278,2,40,20
monkeyM_session-o080326006-9_lfp-1,M,o080326006-9,1,movement,delay,delta,ok,0.65,0.6491228070175439,2,40,20
monkeyM_session-o080326006-9_lfp-1,M,o080326006-9,1,movement,delay,theta,ok,0.475,0.474671669793621,2,40,20
monkeyM_session-o080326006-9_lfp-1,M,o080326006-9,1,movement,delay,alpha,ok,0.575,0.5747342088805503,2,40,20
monkeyM_session-o080326006-9_lfp-1,M,o080326006-9,1,movement,delay,beta,ok,0.475,0.4666666666666667,2,40,20
monkeyM_session-o080326006-9_lfp-1,M,o080326006-9,1,movement,delay,low_gamma,ok,0.55,0.5488721804511278,2,40,20
monkeyM_session-o080326006-9_lfp-1,M,o080326006-9,1,movement,delay,average_psd,ok,0.3,0.2982456140350877,2,40,20
monkeyM_session-o080326006-9_lfp-1,M,o080326006-9,1,movement,delay,all_band_power,ok,0.6,0.5989974937343359,2,40,20
monkeyM_session-o080326006-9_lfp-1,M,o080326006-9,1,movement,delay,torus_geometry_15,ok,0.575,0.5725958516656191,2,40,20
