lfp_uid,monkey,session_id,lfp_id,epoch_for_selection,status,n_trials_used,n_samples_per_epoch,torus_tau,torus_tau_ms,tau_method,robust_peak_count,selected_mode_count_K,torus_embedding_dim,embedding_dim_method,included_peak_frequencies_hz,dominant_peak_hz,embedding_adjustment,torus_param_source,torus_param_id
monkeyM_session-o080416002-18_lfp-1,M,o080416002-18,1,movement,ok,289,1000,60,60.0,ami_first_local_minimum,3,3,7,psd_peak_count,"5.0, 22.0, 37.0",5.0,,pertrace_unsupervised_movement_signal,pertrace_tau60_embed7
monkeyM_session-o080416002-18_lfp-2,M,o080416002-18,2,movement,ok,289,1000,52,52.0,ami_first_local_minimum,4,4,9,psd_peak_count,"5.0, 21.0, 33.0, 47.0",5.0,,pertrace_unsupervised_movement_signal,pertrace_tau52_embed9
monkeyM_session-o080417003-14_lfp-1,M,o080417003-14,1,movement,ok,259,1000,10,10.0,ami_first_local_minimum,3,3,7,psd_peak_count,"17.0, 33.0, 47.0",17.0,,pertrace_unsupervised_movement_signal,pertrace_tau10_embed7
monkeyM_session-o080417003-14_lfp-4,M,o080417003-14,4,movement,ok,259,1000,11,11.0,ami_first_local_minimum,4,4,9,psd_peak_count,"5.0, 17.0, 33.0, 47.0",5.0,,pertrace_unsupervised_movement_signal,pertrace_tau11_embed9
monkeyM_session-o080422011-21_lfp-2,M,o080422011-21,2,movement,ok,263,1000,29,29.0,ami_first_local_minimum,3,3,7,psd_peak_count,"16.0, 30.0, 53.0",16.0,,pertrace_unsupervised_movement_signal,pertrace_tau29_embed7
monkeyM_session-o080423001-5_lfp-6,M,o080423001-5,6,movement,ok,214,1000,41,41.0,ami_first_local_minimum,3,3,7,psd_peak_count,"5.0, 19.0, 33.0",5.0,,pertrace_unsupervised_movement_signal,pertrace_tau41_embed7
monkeyM_session-o080423001-5_lfp-8,M,o080423001-5,8,movement,ok,214,1000,41,41.0,ami_first_local_minimum,3,3,7,psd_peak_count,"4.0, 19.0, 32.0",4.0,,pertrace_unsupervised_movement_signal,pertrace_tau41_embed7
monkeyM_session-o080424002-11_lfp-1,M,o080424002-11,1,movement,ok,241,1000,21,21.0,ami_first_local_minimum,3,3,7,psd_peak_count,"6.0, 17.0, 32.0",6.0,,pertrace_unsupervised_movement_signal,pertrace_tau21_embed7
monkeyM_session-o080424012-22_lfp-1,M,o080424012-22,1,movement,ok,284,1000,20,20.0,ami_first_local_minimum,3,3,7,psd_peak_count,"6.0, 17.0, 32.0",6.0,,pertrace_unsupervised_movement_signal,pertrace_tau20_embed7
monkeyM_session-o080425003-12_lfp-1,M,o080425003-12,1,movement,ok,241,1000,21,21.0,ami_first_local_minimum,2,2,5,psd_peak_count,"16.0, 33.0",16.0,,pertrace_unsupervised_movement_signal,pertrace_tau21_embed5
monkeyM_session-o080425013-21_lfp-1,M,o080425013-21,1,movement,ok,168,1000,21,21.0,ami_first_local_minimum,2,2,5,psd_peak_count,"16.0, 33.0",16.0,,pertrace_unsupervised_movement_signal,pertrace_tau21_embed5
monkeyM_session-o080429002-7_lfp-2,M,o080429002-7,2,movement,ok,250,1000,15,15.0,ami_first_local_minimum,3,3,7,psd_peak_count,"5.0, 19.0, 34.0",5.0,,pertrace_unsupervised_movement_signal,pertrace_tau15_embed7
monkeyM_session-o080429011-12_lfp-2,M,o080429011-12,2,movement,ok,101,1000,16,16.0,ami_first_local_minimum,3,3,7,psd_peak_count,"5.0, 18.0, 35.0",5.0,,pertrace_unsupervised_movement_signal,pertrace_tau16_embed7
monkeyM_session-o080430002-12_lfp-1,M,o080430002-12,1,movement,ok,250,1000,16,16.0,ami_first_local_minimum,3,3,7,psd_peak_count,"5.0, 16.0, 34.0",5.0,,pertrace_unsupervised_movement_signal,pertrace_tau16_embed7
monkeyM_session-o080430013-23_lfp-1,M,o080430013-23,1,movement,ok,254,1000,13,13.0,ami_first_local_minimum,3,3,7,psd_peak_count,"5.0, 17.0, 34.0",5.0,,pertrace_unsupervised_movement_signal,pertrace_tau13_embed7
monkeyM_session-o080430013-23_lfp-2,M,o080430013-23,2,movement,ok,254,1000,30,30.0,ami_first_local_minimum,4,4,9,psd_peak_count,"5.0, 17.0, 30.0, 47.0",5.0,,pertrace_unsupervised_movement_signal,pertrace_tau30_embed9
monkeyM_session-o080501001-6_lfp-1,M,o080501001-6,1,movement,ok,146,1000,11,11.0,ami_first_local_minimum,2,2,5,psd_peak_count,"15.0, 34.0",15.0,,pertrace_unsupervised_movement_signal,pertrace_tau11_embed5
monkeyM_session-o080501018-21_lfp-6,M,o080501018-21,6,movement,ok,103,1000,48,48.0,ami_first_local_minimum,3,3,7,psd_peak_count,"5.0, 17.0, 34.0",5.0,,pertrace_unsupervised_movement_signal,pertrace_tau48_embed7
monkeyM_session-o080501018-21_lfp-7,M,o080501018-21,7,movement,ok,103,1000,22,22.0,ami_first_local_minimum,3,3,7,psd_peak_count,"5.0, 17.0, 34.0",5.0,,pertrace_unsupervised_movement_signal,pertrace_tau22_embed7
monkeyM_session-o080506002-22_lfp-1,M,o080506002-22,1,movement,ok,410,1000,11,11.0,ami_first_local_minimum,1,1,3,psd_peak_count,31.0,31.0,,pertrace_unsupervised_movement_signal,pertrace_tau11_embed3
monkeyM_session-o080506002-22_lfp-2,M,o080506002-22,2,movement,ok,410,1000,11,11.0,ami_first_local_minimum,3,3,7,psd_peak_count,"5.0, 16.0, 31.0",5.0,,pertrace_unsupervised_movement_signal,pertrace_tau11_embed7
monkeyM_session-o080507002-11_lfp-1,M,o080507002-11,1,movement,ok,242,1000,17,17.0,ami_first_local_minimum,4,4,9,psd_peak_count,"5.0, 17.0, 29.0, 47.0",5.0,,pertrace_unsupervised_movement_signal,pertrace_tau17_embed9
monkeyM_session-o080507012-23_lfp-1,M,o080507012-23,1,movement,ok,233,1000,17,17.0,ami_first_local_minimum,3,3,7,psd_peak_count,"16.0, 29.0, 47.0",16.0,,pertrace_unsupervised_movement_signal,pertrace_tau17_embed7
monkeyM_session-o080507012-23_lfp-2,M,o080507012-23,2,movement,ok,233,1000,14,14.0,ami_first_local_minimum,2,2,5,psd_peak_count,"17.0, 33.0",17.0,,pertrace_unsupervised_movement_signal,pertrace_tau14_embed5
monkeyM_session-o080509001-9_lfp-1,M,o080509001-9,1,movement,ok,227,1000,40,40.0,ami_first_local_minimum,3,3,7,psd_peak_count,"5.0, 18.0, 36.0",5.0,,pertrace_unsupervised_movement_signal,pertrace_tau40_embed7
monkeyM_session-o080509010-19_lfp-1,M,o080509010-19,1,movement,ok,232,1000,33,33.0,ami_first_local_minimum,3,3,7,psd_peak_count,"5.0, 18.0, 29.0",5.0,,pertrace_unsupervised_movement_signal,pertrace_tau33_embed7
monkeyM_session-o080513001-9_lfp-1,M,o080513001-9,1,movement,ok,224,1000,13,13.0,ami_first_local_minimum,2,2,5,psd_peak_count,"16.0, 32.0",16.0,,pertrace_unsupervised_movement_signal,pertrace_tau13_embed5
monkeyM_session-o080513001-9_lfp-2,M,o080513001-9,2,movement,ok,224,1000,15,15.0,ami_first_local_minimum,1,1,3,psd_peak_count,32.0,32.0,,pertrace_unsupervised_movement_signal,pertrace_tau15_embed3
