analysis_level,analysis_label,monkey,session_id,lfp_uid,lfp_id,feature_role,feature_label,feature_set,selected_band,selected_band_label,f1
full_6_direction_lfps,Full 6-direction LFPs,M,o080425013-21,monkeyM_session-o080425013-21_lfp-1,1,best_single_band,Best single band,delta,delta,Delta (2-4 Hz),0.10862579519125837
full_6_direction_lfps,Full 6-direction LFPs,M,o080429002-7,monkeyM_session-o080429002-7_lfp-2,2,torus_features,Torus features,torus_nonlinear_15,delta,Delta (2-4 Hz),0.2341083867399657
full_6_direction_lfps,Full 6-direction LFPs,M,o080429002-7,monkeyM_session-o080429002-7_lfp-2,2,average_psd,Average PSD,average_psd,delta,Delta (2-4 Hz),0.2180206994571379
full_6_direction_lfps,Full 6-direction LFPs,M,o080429002-7,monkeyM_session-o080429002-7_lfp-2,2,best_single_band,Best single band,delta,delta,Delta (2-4 Hz),0.1546814952925281
full_6_direction_lfps,Full 6-direction LFPs,M,o080430002-12,monkeyM_session-o080430002-12_lfp-1,1,torus_features,Torus features,torus_nonlinear_15,delta,Delta (2-4 Hz),0.18329388683440614
full_6_direction_lfps,Full 6-direction LFPs,M,o080430002-12,monkeyM_session-o080430002-12_lfp-1,1,average_psd,Average PSD,average_psd,delta,Delta (2-4 Hz),0.1386854145533027
full_6_direction_lfps,Full 6-direction LFPs,M,o080430002-12,monkeyM_session-o080430002-12_lfp-1,1,best_single_band,Best single band,delta,delta,Delta (2-4 Hz),0.1376022255841097
full_6_direction_lfps,Full 6-direction LFPs,M,o080430013-23,monkeyM_session-o080430013-23_lfp-1,1,torus_features,Torus features,torus_nonlinear_15,delta,Delta (2-4 Hz),0.21769371977521648
full_6_direction_lfps,Full 6-direction LFPs,M,o080430013-23,monkeyM_session-o080430013-23_lfp-1,1,average_psd,Average PSD,average_psd,delta,Delta (2-4 Hz),0.17460305818896746
full_6_direction_lfps,Full 6-direction LFPs,M,o080430013-23,monkeyM_session-o080430013-23_lfp-1,1,best_single_band,Best single band,delta,delta,Delta (2-4 Hz),0.15693317854423347
full_6_direction_lfps,Full 6-direction LFPs,M,o080430013-23,monkeyM_session-o080430013-23_lfp-2,2,torus_features,Torus features,torus_nonlinear_15,delta,Delta (2-4 Hz),0.14444907441813423
full_6_direction_lfps,Full 6-direction LFPs,M,o080430013-23,monkeyM_session-o080430013-23_lfp-2,2,average_psd,Average PSD,average_psd,delta,Delta (2-4 Hz),0.11287432066481327
full_6_direction_lfps,Full 6-direction LFPs,M,o080430013-23,monkeyM_session-o080430013-23_lfp-2,2,best_single_band,Best single band,delta,delta,Delta (2-4 Hz),0.12541407821840359
full_6_direction_lfps,Full 6-direction LFPs,M,o080501001-6,monkeyM_session-o080501001-6_lfp-1,1,torus_features,Torus features,torus_nonlinear_15,delta,Delta (2-4 Hz),0.14574296413758772
full_6_direction_lfps,Full 6-direction LFPs,M,o080501001-6,monkeyM_session-o080501001-6_lfp-1,1,average_psd,Average PSD,average_psd,delta,Delta (2-4 Hz),0.19287096918675864
full_6_direction_lfps,Full 6-direction LFPs,M,o080501001-6,monkeyM_session-o080501001-6_lfp-1,1,best_single_band,Best single band,delta,delta,Delta (2-4 Hz),0.14536732811242614
full_6_direction_lfps,Full 6-direction LFPs,M,o080506002-22,monkeyM_session-o080506002-22_lfp-1,1,torus_features,Torus features,torus_nonlinear_15,delta,Delta (2-4 Hz),0.16052830519269745
full_6_direction_lfps,Full 6-direction LFPs,M,o080506002-22,monkeyM_session-o080506002-22_lfp-1,1,average_psd,Average PSD,average_psd,delta,Delta (2-4 Hz),0.11268688459882943
full_6_direction_lfps,Full 6-direction LFPs,M,o080506002-22,monkeyM_session-o080506002-22_lfp-1,1,best_single_band,Best single band,delta,delta,Delta (2-4 Hz),0.18890567041797482
full_6_direction_lfps,Full 6-direction LFPs,M,o080506002-22,monkeyM_session-o080506002-22_lfp-2,2,torus_features,Torus features,torus_nonlinear_15,delta,Delta (2-4 Hz),0.2076568079339015
full_6_direction_lfps,Full 6-direction LFPs,M,o080506002-22,monkeyM_session-o080506002-22_lfp-2,2,average_psd,Average PSD,average_psd,delta,Delta (2-4 Hz),0.18087681118432297
full_6_direction_lfps,Full 6-direction LFPs,M,o080506002-22,monkeyM_session-o080506002-22_lfp-2,2,best_single_band,Best single band,delta,delta,Delta (2-4 Hz),0.14549525690280904
full_6_direction_lfps,Full 6-direction LFPs,M,o080507002-11,monkeyM_session-o080507002-11_lfp-1,1,torus_features,Torus features,torus_nonlinear_15,delta,Delta (2-4 Hz),0.1931766991691298
full_6_direction_lfps,Full 6-direction LFPs,M,o080507002-11,monkeyM_session-o080507002-11_lfp-1,1,average_psd,Average PSD,average_psd,delta,Delta (2-4 Hz),0.155599327406181
full_6_direction_lfps,Full 6-direction LFPs,M,o080507002-11,monkeyM_session-o080507002-11_lfp-1,1,best_single_band,Best single band,delta,delta,Delta (2-4 Hz),0.16087583134628955
full_6_direction_lfps,Full 6-direction LFPs,M,o080507012-23,monkeyM_session-o080507012-23_lfp-1,1,torus_features,Torus features,torus_nonlinear_15,delta,Delta (2-4 Hz),0.21204938918135907
full_6_direction_lfps,Full 6-direction LFPs,M,o080507012-23,monkeyM_session-o080507012-23_lfp-1,1,average_psd,Average PSD,average_psd,delta,Delta (2-4 Hz),0.15398078414490413
full_6_direction_lfps,Full 6-direction LFPs,M,o080507012-23,monkeyM_session-o080507012-23_lfp-1,1,best_single_band,Best single band,delta,delta,Delta (2-4 Hz),0.14383685132915208
full_6_direction_lfps,Full 6-direction LFPs,M,o080507012-23,monkeyM_session-o080507012-23_lfp-2,2,torus_features,Torus features,torus_nonlinear_15,delta,Delta (2-4 Hz),0.21423648389614405
full_6_direction_lfps,Full 6-direction LFPs,M,o080507012-23,monkeyM_session-o080507012-23_lfp-2,2,average_psd,Average PSD,average_psd,delta,Delta (2-4 Hz),0.13977529100233793
full_6_direction_lfps,Full 6-direction LFPs,M,o080507012-23,monkeyM_session-o080507012-23_lfp-2,2,best_single_band,Best single band,delta,delta,Delta (2-4 Hz),0.15553103738932458
full_6_direction_lfps,Full 6-direction LFPs,M,o080509001-9,monkeyM_session-o080509001-9_lfp-1,1,torus_features,Torus features,torus_nonlinear_15,delta,Delta (2-4 Hz),0.14771448203651594
full_6_direction_lfps,Full 6-direction LFPs,M,o080509001-9,monkeyM_session-o080509001-9_lfp-1,1,average_psd,Average PSD,average_psd,delta,Delta (2-4 Hz),0.1468882001525653
full_6_direction_lfps,Full 6-direction LFPs,M,o080509001-9,monkeyM_session-o080509001-9_lfp-1,1,best_single_band,Best single band,delta,delta,Delta (2-4 Hz),0.11661161434270677
full_6_direction_lfps,Full 6-direction LFPs,M,o080509010-19,monkeyM_session-o080509010-19_lfp-1,1,torus_features,Torus features,torus_nonlinear_15,delta,Delta (2-4 Hz),0.16718623696209087
full_6_direction_lfps,Full 6-direction LFPs,M,o080509010-19,monkeyM_session-o080509010-19_lfp-1,1,average_psd,Average PSD,average_psd,delta,Delta (2-4 Hz),0.18360584852640463
full_6_direction_lfps,Full 6-direction LFPs,M,o080509010-19,monkeyM_session-o080509010-19_lfp-1,1,best_single_band,Best single band,delta,delta,Delta (2-4 Hz),0.13124855521062154
full_6_direction_lfps,Full 6-direction LFPs,M,o080513001-9,monkeyM_session-o080513001-9_lfp-1,1,torus_features,Torus features,torus_nonlinear_15,delta,Delta (2-4 Hz),0.16749833710368459
full_6_direction_lfps,Full 6-direction LFPs,M,o080513001-9,monkeyM_session-o080513001-9_lfp-1,1,average_psd,Average PSD,average_psd,delta,Delta (2-4 Hz),0.14415671270374517
full_6_direction_lfps,Full 6-direction LFPs,M,o080513001-9,monkeyM_session-o080513001-9_lfp-1,1,best_single_band,Best single band,delta,delta,Delta (2-4 Hz),0.1822787248676114
full_6_direction_lfps,Full 6-direction LFPs,M,o080513001-9,monkeyM_session-o080513001-9_lfp-2,2,torus_features,Torus features,torus_nonlinear_15,delta,Delta (2-4 Hz),0.15209636456932782
full_6_direction_lfps,Full 6-direction LFPs,M,o080513001-9,monkeyM_session-o080513001-9_lfp-2,2,average_psd,Average PSD,average_psd,delta,Delta (2-4 Hz),0.17167548571385213
full_6_direction_lfps,Full 6-direction LFPs,M,o080513001-9,monkeyM_session-o080513001-9_lfp-2,2,best_single_band,Best single band,delta,delta,Delta (2-4 Hz),0.14795321611065643
full_6_direction_lfps,Full 6-direction LFPs,M,o080513010-18,monkeyM_session-o080513010-18_lfp-1,1,torus_features,Torus features,torus_nonlinear_15,delta,Delta (2-4 Hz),0.2134822601751117
