analysis_level,analysis_label,feature_set,feature_label,mean_accuracy,std_accuracy,mean_f1,std_f1,n_lfps,mean_balanced_trials,mean_torus_fit_success,median_torus_tau_ms,median_torus_embedding_dim
monkey,Monkey M,delta,Delta (2-4 Hz),0.1736567344857692,0.03281610291711909,0.14626030572637208,0.027365355431393557,135,221.64444444444445,0.9954540070443727,17.0,7.0
monkey,Monkey M,theta,Theta (4-8 Hz),0.17490990189012642,0.02958712660943076,0.14725656023328423,0.02306412236223786,135,221.64444444444445,0.9954540070443727,17.0,7.0
monkey,Monkey M,alpha,Alpha (8-13 Hz),0.17098435873913148,0.029819160487716555,0.14218606009051765,0.023097760823109208,135,221.64444444444445,0.9954540070443727,17.0,7.0
monkey,Monkey M,relevant_band,Relevant band (13-30 Hz),0.18407193275211217,0.033902066012362966,0.15473525785540704,0.029652795830251866,135,221.64444444444445,0.9954540070443727,17.0,7.0
monkey,Monkey M,low_gamma,Low gamma (30-55 Hz),0.1809610611786256,0.03309171614062178,0.15113047607686253,0.02653571501171194,135,221.64444444444445,0.9954540070443727,17.0,7.0
monkey,Monkey M,average_psd,Average PSD,0.18118931879753042,0.029780392959941927,0.15076449678269868,0.02718898535077979,135,221.64444444444445,0.9954540070443727,17.0,7.0
monkey,Monkey M,all_band_power,All band power,0.1955462043216167,0.0381190075961113,0.18609235685892372,0.03756582796796062,135,221.64444444444445,0.9954540070443727,17.0,7.0
monkey,Monkey M,torus_features,Torus features,0.17808807814998437,0.03426154738239681,0.17528798149372582,0.03367023444709289,135,221.64444444444445,0.9954540070443727,17.0,7.0
monkey,Monkey M,torus_plus_relevant_band,Torus + Relevant band,0.18234259097573063,0.035120404061627565,0.17954658090799605,0.03469141870991533,135,221.64444444444445,0.9954540070443727,17.0,7.0
monkey,Monkey M,torus_plus_average_psd,Torus + Average PSD,0.1821559820010013,0.03495548794670393,0.1794969305009667,0.034232015195848994,135,221.64444444444445,0.9954540070443727,17.0,7.0
monkey,Monkey M,torus_plus_all_band_power,Torus + All band power,0.19341152643815165,0.035550175631047634,0.19103166990957046,0.035259993691241,135,221.64444444444445,0.9954540070443727,17.0,7.0
monkey,Monkey T,delta,Delta (2-4 Hz),0.22975746183631335,0.03481567829215254,0.1927985855352198,0.035110632192460516,102,254.58823529411765,0.9951399932253016,19.0,5.0
monkey,Monkey T,theta,Theta (4-8 Hz),0.19956163546725625,0.0352568001293572,0.16599688444734126,0.03136299305637176,102,254.58823529411765,0.9951399932253016,19.0,5.0
monkey,Monkey T,alpha,Alpha (8-13 Hz),0.18242929414157577,0.028261390883522808,0.1523141885616058,0.0232527576450413,102,254.58823529411765,0.9951399932253016,19.0,5.0
monkey,Monkey T,relevant_band,Relevant band (13-30 Hz),0.18766747878985282,0.02814461776295313,0.15890294684549525,0.025887007583442336,102,254.58823529411765,0.9951399932253016,19.0,5.0
monkey,Monkey T,low_gamma,Low gamma (30-55 Hz),0.18988586819674655,0.029839593451321263,0.15661441287033517,0.02420880815063506,102,254.58823529411765,0.9951399932253016,19.0,5.0
monkey,Monkey T,average_psd,Average PSD,0.20272689775433791,0.03497092714103566,0.1687759613405533,0.030788282586529114,102,254.58823529411765,0.9951399932253016,19.0,5.0
monkey,Monkey T,all_band_power,All band power,0.25691934414604567,0.04349485158281513,0.24530500666729863,0.04268551991305654,102,254.58823529411765,0.9951399932253016,19.0,5.0
monkey,Monkey T,torus_features,Torus features,0.19139971504466638,0.028061984139000382,0.1876869622396733,0.027717553733580074,102,254.58823529411765,0.9951399932253016,19.0,5.0
monkey,Monkey T,torus_plus_relevant_band,Torus + Relevant band,0.1970668278852018,0.028736185306850397,0.1937081718947765,0.028190905682589484,102,254.58823529411765,0.9951399932253016,19.0,5.0
monkey,Monkey T,torus_plus_average_psd,Torus + Average PSD,0.204224657523873,0.030316313437009194,0.20041779203155896,0.029746788228088888,102,254.58823529411765,0.9951399932253016,19.0,5.0
monkey,Monkey T,torus_plus_all_band_power,Torus + All band power,0.23659312067791718,0.04087142899000751,0.2335471017570768,0.04055923568913457,102,254.58823529411765,0.9951399932253016,19.0,5.0
pooled,Pooled macaques,delta,Delta (2-4 Hz),0.1978013513201806,0.043646842023241365,0.16628943880866096,0.03854847232493259,237,235.8227848101266,0.9953188618564179,18.0,7.0
pooled,Pooled macaques,theta,Theta (4-8 Hz),0.18551950874610634,0.03433133543431527,0.15532201622414424,0.028451141737229138,237,235.8227848101266,0.9953188618564179,18.0,7.0
pooled,Pooled macaques,alpha,Alpha (8-13 Hz),0.17591002714018344,0.029646951164108405,0.14654500145782143,0.023655329771388404,237,235.8227848101266,0.9953188618564179,18.0,7.0
pooled,Pooled macaques,relevant_band,Relevant band (13-30 Hz),0.18561938294557018,0.031540135276837196,0.15652894678785007,0.028112793635638813,237,235.8227848101266,0.9953188618564179,18.0,7.0
