row_index,original_trial_number,direction,h1_interval_count,longest_h1,second_longest_h1,lifetime_gap
0,159,1,174,0.6760278642177582,0.48639702796936035,0.18963083624839783
1,16,1,181,0.45545119047164917,0.40268513560295105,0.05276605486869812
2,566,1,126,1.3702449798583984,0.62412229180336,0.7461226880550385
3,673,1,138,1.0731670558452606,0.5534231662750244,0.5197438895702362
4,263,1,160,1.1266032457351685,0.8181883990764618,0.30841484665870667
5,389,1,202,0.30254413187503815,0.2089928686618805,0.09355126321315765
6,684,1,162,0.6619451642036438,0.386699840426445,0.2752453237771988
7,437,1,164,0.8845902383327484,0.3595711290836334,0.525019109249115
8,56,1,147,0.6353541910648346,0.5116064846515656,0.12374770641326904
9,82,1,133,0.5720649361610413,0.4693024754524231,0.10276246070861816
10,517,1,142,0.9472744166851044,0.5465219616889954,0.400752454996109
11,124,1,159,0.46281126141548157,0.46037358045578003,0.002437680959701538
12,526,1,192,0.484205037355423,0.39916160702705383,0.08504343032836914
13,382,1,129,0.3912156820297241,0.36009134352207184,0.031124338507652283
14,80,1,172,0.8389623761177063,0.6734522581100464,0.1655101180076599
15,366,1,147,0.40204839408397675,0.37366215884685516,0.028386235237121582
16,156,1,126,1.1599102020263672,0.5542752742767334,0.6056349277496338
17,690,1,174,0.35115939378738403,0.29405537247657776,0.057104021310806274
18,265,1,173,0.3534306585788727,0.2759481221437454,0.07748253643512726
19,445,1,182,0.39796583354473114,0.39525769650936127,0.002708137035369873
20,462,1,147,0.5580704212188721,0.3983132839202881,0.15975713729858398
21,152,1,161,0.5916735827922821,0.45224529504776,0.1394282877445221
22,188,1,152,0.5082214176654816,0.4948340058326721,0.013387411832809448
23,195,1,149,0.45120707154273987,0.3541008234024048,0.09710624814033508
24,205,1,195,0.529134213924408,0.2963630110025406,0.23277120292186737
25,262,1,162,0.5672243684530258,0.30249588191509247,0.26472848653793335
26,571,1,162,0.5750296115875244,0.40049535036087036,0.17453426122665405
27,601,1,140,0.39416803419589996,0.37091127038002014,0.023256763815879822
28,349,1,137,0.9486915767192841,0.44909536838531494,0.4995962083339691
29,236,1,174,0.5035874843597412,0.30394504964351654,0.19964243471622467
30,569,1,157,1.3431576490402222,0.6642827689647675,0.6788748800754547
31,276,1,152,0.7659508287906647,0.6111622452735901,0.15478858351707458
32,40,1,154,1.0918375849723816,0.5449232012033463,0.5469143837690353
33,98,2,132,0.9164630174636841,0.5279999226331711,0.388463094830513
34,260,2,144,0.6036127805709839,0.5657393336296082,0.03787344694137573
35,622,2,154,0.29516059160232544,0.2011152058839798,0.09404538571834564
36,198,2,129,0.5104913413524628,0.4013930559158325,0.10909828543663025
37,628,2,155,0.6759610772132874,0.48371998965740204,0.19224108755588531
38,647,2,136,0.40918222069740295,0.3888613432645798,0.02032087743282318
39,10,2,158,1.2277025282382965,0.5136765837669373,0.7140259444713593
40,412,2,169,0.7875369489192963,0.6093865633010864,0.17815038561820984
41,670,2,157,0.7562614679336548,0.477218359708786,0.2790431082248688
42,150,2,146,0.6892837584018707,0.5256384909152985,0.16364526748657227
43,521,2,151,1.290241003036499,0.5226079672574997,0.7676330357789993
44,131,2,147,0.6727443635463715,0.5044472068548203,0.1682971566915512
45,579,2,156,0.4754820168018341,0.35889439284801483,0.11658762395381927
46,419,2,159,0.6656970083713531,0.6242268979549408,0.041470110416412354
47,580,2,146,0.49795469641685486,0.35714466869831085,0.140810027718544
48,428,2,148,0.8778026700019836,0.42255058884620667,0.455252081155777
49,543,2,144,0.5408686399459839,0.4617443084716797,0.0791243314743042
50,387,2,158,1.0735624134540558,0.38553816080093384,0.688024252653122
51,158,2,141,0.8055690377950668,0.4212794005870819,0.3842896372079849
52,275,2,198,0.3346298635005951,0.32223397493362427,0.012395888566970825
53,254,2,117,1.0250362753868103,0.7183763682842255,0.30665990710258484
54,220,2,172,0.8663782179355621,0.3720852732658386,0.4942929446697235
55,589,2,147,0.8089728951454163,0.5772513747215271,0.23172152042388916
56,530,2,189,0.4386211335659027,0.3948097825050354,0.04381135106086731
57,531,2,159,0.45887449383735657,0.45136523246765137,0.0075092613697052
58,91,2,172,0.4285942167043686,0.32173317670822144,0.10686103999614716
59,96,2,145,0.4553259313106537,0.40729546546936035,0.048030465841293335
60,197,2,155,1.4517582058906555,1.4322115778923035,0.01954662799835205
61,281,2,155,0.6853950023651123,0.3833964467048645,0.3019985556602478
62,401,2,161,0.961264967918396,0.37577125430107117,0.5854937136173248
63,34,2,147,0.6052885353565216,0.5201022624969482,0.08518627285957336
64,479,2,145,0.765449196100235,0.4776536226272583,0.2877955734729767
65,117,2,160,0.6702609062194824,0.5741894245147705,0.09607148170471191
66,663,3,157,0.8910265564918518,0.8335038721561432,0.05752268433570862
67,14,3,162,0.4998546540737152,0.4262722432613373,0.07358241081237793
68,540,3,139,0.6607582569122314,0.4693644046783447,0.19139385223388672
69,128,3,152,0.49621888995170593,0.340382844209671,0.1558360457420349
70,420,3,147,0.8962308466434479,0.47316867113113403,0.42306217551231384
71,503,3,176,0.8043522238731384,0.6644474864006042,0.13990473747253418
72,636,3,148,1.012841284275055,0.6144309490919113,0.3984103351831436
73,307,3,167,0.8926550149917603,0.5439143478870392,0.34874066710472107
74,612,3,132,0.9095153212547302,0.46591754257678986,0.44359777867794037
