direction,n,longest_median,second_longest_median,gap_median,gap_q25,gap_q75
1,33,0.5720649361610413,0.40268513560295105,0.15975713729858398,0.07748253643512726,0.30841484665870667
2,33,0.6759610772132874,0.4617443084716797,0.16364526748657227,0.0791243314743042,0.30665990710258484
3,33,0.6253877878189087,0.47316867113113403,0.0939200222492218,0.040170252323150635,0.19139385223388672
4,33,0.644869938492775,0.43512682616710663,0.16183340549468994,0.045630812644958496,0.23247849941253662
5,33,0.5085722506046295,0.38119298219680786,0.11714763939380646,0.06309467554092407,0.192941814661026
6,33,0.6642343103885651,0.46798020601272583,0.1335170567035675,0.05888424813747406,0.23258337378501892
