direction,n,mean,sd,median,q25,q75
1,33,28.393939393939394,8.521808031234459,27.0,23.0,30.0
2,33,25.21212121212121,8.080677476848614,23.0,20.0,28.0
3,33,27.636363636363637,9.120095194877976,26.0,21.0,32.0
4,33,24.939393939393938,6.561913754478347,24.0,20.0,30.0
5,33,26.272727272727273,7.847263564743155,24.0,22.0,31.0
6,33,25.696969696969695,8.837013241491892,26.0,20.0,30.0
