recording,monkey,day,analysis,method,direction,f1
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,peak_frequency,1,0.2574257425742574
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,peak_frequency,2,0.0
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,peak_frequency,3,0.1481481481481481
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,peak_frequency,4,0.08
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,peak_frequency,5,0.1176470588235294
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,peak_frequency,6,0.2608695652173913
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,peak_power,1,0.1509433962264151
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,peak_power,2,0.2702702702702703
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,peak_power,3,0.0512820512820512
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,peak_power,4,0.25
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,peak_power,5,0.0689655172413793
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,peak_power,6,0.2666666666666666
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,power_frequency,1,0.2539682539682539
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,power_frequency,2,0.1694915254237288
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,power_frequency,3,0.0434782608695652
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,power_frequency,4,0.2040816326530612
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,power_frequency,5,0.125
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,power_frequency,6,0.2388059701492537
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,torus,1,0.125
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,torus,2,0.2857142857142857
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,torus,3,0.1724137931034483
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,torus,4,0.12
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,torus,5,0.2264150943396226
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,torus,6,0.1666666666666666
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,torus_all_bands,1,0.1034482758620689
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,torus_all_bands,2,0.2580645161290322
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,torus_all_bands,3,0.1935483870967742
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,torus_all_bands,4,0.1454545454545454
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,torus_all_bands,5,0.2142857142857142
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,torus_all_bands,6,0.1818181818181818
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,torus_pca,1,0.25
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,torus_pca,2,0.3013698630136986
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,torus_pca,3,0.0476190476190476
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,torus_pca,4,0.1851851851851851
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,torus_pca,5,0.1304347826086956
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,torus_pca,6,0.144927536231884
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,torus_power_frequency,1,0.1034482758620689
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,torus_power_frequency,2,0.3333333333333333
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,torus_power_frequency,3,0.2424242424242424
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,torus_power_frequency,4,0.1176470588235294
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,torus_power_frequency,5,0.1851851851851851
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,torus_power_frequency,6,0.1886792452830188
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,short,all_bands,1,0.2424242424242424
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,short,all_bands,2,0.2894736842105263
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,short,all_bands,3,0.3055555555555556
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,short,all_bands,4,0.1276595744680851
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,short,all_bands,5,0.2222222222222222
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,short,all_bands,6,0.1269841269841269
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,short,peak_frequency,1,0.1538461538461538
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,short,peak_frequency,2,0.0666666666666666
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,short,peak_frequency,3,0.2051282051282051
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,short,peak_frequency,4,0.048780487804878
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,short,peak_frequency,5,0.1176470588235294
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,short,peak_frequency,6,0.2666666666666666
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,short,peak_power,1,0.1518987341772152
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,short,peak_power,2,0.2444444444444444
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,short,peak_power,3,0.0512820512820512
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,short,peak_power,4,0.1071428571428571
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,short,peak_power,5,0.21875
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,short,peak_power,6,0.2058823529411764
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,short,power_frequency,1,0.2105263157894736
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,short,power_frequency,2,0.2058823529411764
