recording,monkey,day,analysis,method,macro_f1,n_trials
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_long,all_bands,0.2654603403647615,174
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_long,peak_frequency,0.1410427844631983,174
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_long,peak_power,0.1219809848162338,174
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_long,power_frequency,0.1398921706516643,174
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_long,torus,0.158963139811537,174
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_long,torus_all_bands,0.1891061266169304,174
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_long,torus_pca,0.1619051047715329,174
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_long,torus_power_frequency,0.1515052453566785,174
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,all_bands,0.1928345389883132,174
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,peak_frequency,0.1440150857938877,174
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,peak_power,0.1763546502811304,174
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,power_frequency,0.1724709405106438,174
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,torus,0.1827016399706705,174
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,torus_all_bands,0.1827699367743861,174
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,torus_pca,0.1765894024430851,174
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,torus_power_frequency,0.195119556818563,174
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,short,all_bands,0.219053234310793,198
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,short,peak_frequency,0.1431225398226833,198
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,short,peak_power,0.163233406664624,198
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,short,power_frequency,0.1900366499157532,198
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,short,torus,0.2234810693692272,198
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,short,torus_all_bands,0.226480215352651,198
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,short,torus_pca,0.2198931773228122,198
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,short,torus_power_frequency,0.2679193158561406,198
