recording,monkey,fold,status,K,dimension,tau_samples,condition,feature_count,n_training_trials,frequencies_hz,training_trials_per_feature,harmonic_ambiguities,geometry_evaluable
monkeyM_session-o080423001-5_lfp-8,M,1,ok,2,5,24.0,6.315407295740132,36,77,"[20.0, 36.0]",2.138888888888889,[],True
monkeyM_session-o080423001-5_lfp-8,M,2,ok,2,5,23.0,2.9712595777775994,36,77,"[20.0, 36.0]",2.138888888888889,[],True
monkeyM_session-o080423001-5_lfp-8,M,3,ok,2,5,24.0,6.315407295740132,36,77,"[20.0, 36.0]",2.138888888888889,[],True
monkeyM_session-o080423001-5_lfp-8,M,4,ok,2,5,23.0,2.9712595777775994,36,77,"[20.0, 36.0]",2.138888888888889,[],True
monkeyM_session-o080424012-22_lfp-1,M,0,ok,1,3,18.0,2.470184970755016,10,105,[32.0],10.5,[],True
monkeyM_session-o080424012-22_lfp-1,M,1,ok,1,3,17.0,4.374183643344547,10,105,[32.0],10.5,[],True
monkeyM_session-o080424012-22_lfp-1,M,2,ok,2,5,17.0,5.884150991350735,36,106,"[18.0, 32.0]",2.9444444444444446,[],True
monkeyM_session-o080424012-22_lfp-1,M,3,ok,2,5,17.0,10.847150335968914,36,106,"[20.0, 32.0]",2.9444444444444446,[],True
monkeyM_session-o080424012-22_lfp-1,M,4,ok,2,5,17.0,10.847150335968914,36,106,"[20.0, 32.0]",2.9444444444444446,[],True
monkeyM_session-o080425003-12_lfp-1,M,0,ok,2,5,20.0,6.374293835527864,36,96,"[20.0, 34.0]",2.6666666666666665,[],True
monkeyM_session-o080425003-12_lfp-1,M,1,ok,2,5,21.0,3.0823314101432646,36,96,"[20.0, 34.0]",2.6666666666666665,[],True
monkeyM_session-o080425003-12_lfp-1,M,2,ok,2,5,20.0,6.374293835527864,36,96,"[20.0, 34.0]",2.6666666666666665,[],True
monkeyM_session-o080425003-12_lfp-1,M,3,ok,2,5,19.0,22.96277919557425,36,96,"[20.0, 34.0]",2.6666666666666665,[],True
monkeyM_session-o080425003-12_lfp-1,M,4,ok,2,5,21.0,3.0823314101432646,36,96,"[20.0, 34.0]",2.6666666666666665,[],True
monkeyM_session-o080429002-7_lfp-2,M,0,ok,2,5,12.0,2.188913165001657,36,96,"[22.0, 34.0]",2.6666666666666665,[],True
monkeyM_session-o080429002-7_lfp-2,M,1,ok,2,5,12.0,2.188913165001657,36,96,"[22.0, 34.0]",2.6666666666666665,[],True
monkeyM_session-o080429002-7_lfp-2,M,2,ok,2,5,12.0,1.5368597907065302,36,96,"[20.0, 34.0]",2.6666666666666665,[],True
monkeyM_session-o080429002-7_lfp-2,M,3,ok,2,5,12.0,1.5368597907065302,36,96,"[20.0, 34.0]",2.6666666666666665,[],True
monkeyM_session-o080429002-7_lfp-2,M,4,ok,2,5,12.0,2.188913165001657,36,96,"[22.0, 34.0]",2.6666666666666665,[],True
monkeyM_session-o080430002-12_lfp-1,M,0,ok,4,9,13.0,7.928477727463751,190,96,"[6.0, 20.0, 34.0, 46.0]",0.5052631578947369,"[{""lower_hz"": 6.0, ""upper_hz"": 20.0, ""multiple"": 3}, {""lower_hz"": 6.0, ""upper_hz"": 34.0, ""multiple"": 6}, {""lower_hz"": 6.0, ""upper_hz"": 46.0, ""multiple"": 8}]",True
monkeyM_session-o080430002-12_lfp-1,M,1,ok,4,9,15.0,21.103646123864163,190,96,"[6.0, 20.0, 34.0, 46.0]",0.5052631578947369,"[{""lower_hz"": 6.0, ""upper_hz"": 20.0, ""multiple"": 3}, {""lower_hz"": 6.0, ""upper_hz"": 34.0, ""multiple"": 6}, {""lower_hz"": 6.0, ""upper_hz"": 46.0, ""multiple"": 8}]",True
monkeyM_session-o080430002-12_lfp-1,M,2,ok,4,9,14.0,5.323541677354787,190,96,"[6.0, 20.0, 34.0, 46.0]",0.5052631578947369,"[{""lower_hz"": 6.0, ""upper_hz"": 20.0, ""multiple"": 3}, {""lower_hz"": 6.0, ""upper_hz"": 34.0, ""multiple"": 6}, {""lower_hz"": 6.0, ""upper_hz"": 46.0, ""multiple"": 8}]",True
monkeyM_session-o080430002-12_lfp-1,M,3,ok,4,9,15.0,19.052461722020134,190,96,"[8.0, 20.0, 34.0, 46.0]",0.5052631578947369,"[{""lower_hz"": 8.0, ""upper_hz"": 34.0, ""multiple"": 4}, {""lower_hz"": 8.0, ""upper_hz"": 46.0, ""multiple"": 6}]",True
monkeyM_session-o080430002-12_lfp-1,M,4,ok,4,9,13.0,7.928477727463751,190,96,"[6.0, 20.0, 34.0, 46.0]",0.5052631578947369,"[{""lower_hz"": 6.0, ""upper_hz"": 20.0, ""multiple"": 3}, {""lower_hz"": 6.0, ""upper_hz"": 34.0, ""multiple"": 6}, {""lower_hz"": 6.0, ""upper_hz"": 46.0, ""multiple"": 8}]",True
monkeyM_session-o080430013-23_lfp-1,M,0,ok,1,3,12.0,1.405890884237565,10,96,[20.0],9.6,[],True
monkeyM_session-o080430013-23_lfp-1,M,1,ok,2,5,12.0,1.6748599317472852,36,96,"[20.0, 32.0]",2.6666666666666665,[],True
monkeyM_session-o080430013-23_lfp-1,M,2,ok,2,5,13.0,2.015287367881673,36,96,"[20.0, 32.0]",2.6666666666666665,[],True
monkeyM_session-o080430013-23_lfp-1,M,3,ok,2,5,13.0,2.015287367881673,36,96,"[20.0, 32.0]",2.6666666666666665,[],True
monkeyM_session-o080430013-23_lfp-1,M,4,ok,2,5,12.0,1.9669505475811548,36,96,"[20.0, 30.0]",2.6666666666666665,[],True
monkeyM_session-o080430013-23_lfp-2,M,0,ok,1,3,26.0,9.72060660495914,10,96,[20.0],9.6,[],True
monkeyM_session-o080430013-23_lfp-2,M,1,ok,1,3,20.0,1.828015532346449,10,96,[20.0],9.6,[],True
monkeyM_session-o080430013-23_lfp-2,M,2,ok,1,3,21.0,2.3373285285729897,10,96,[20.0],9.6,[],True
monkeyM_session-o080430013-23_lfp-2,M,3,ok,2,5,26.0,3.649237796036058,36,96,"[18.0, 46.0]",2.6666666666666665,[],True
monkeyM_session-o080430013-23_lfp-2,M,4,ok,1,3,33.0,1.0507675666973837,10,96,[20.0],9.6,[],True
monkeyM_session-o080506002-22_lfp-1,M,0,ok,1,3,11.0,1.0241767030985724,10,158,[30.0],15.8,[],True
monkeyM_session-o080506002-22_lfp-1,M,1,ok,1,3,11.0,1.0241767030985724,10,158,[30.0],15.8,[],True
monkeyM_session-o080506002-22_lfp-1,M,2,ok,1,3,11.0,1.0241767030985724,10,158,[30.0],15.8,[],True
