method,monkey,mean,sd,n_lfps,n_days,n_trials
peak_power,M,0.1783634657665478,0.0414201396272805,110,47,12786
peak_frequency,M,0.153413439020898,0.0376689179742873,110,47,12786
power_frequency,M,0.1865861849951144,0.0549856045892628,110,47,12786
all_bands,M,0.1857799595645962,0.0454593221968244,110,47,12786
ktorus,M,0.1801057792717249,0.0420339193068353,110,47,12786
