method,monkey,mean,sd,n_lfps,n_days,n_trials
peak_power,T,0.1693698012529,0.0334150358515924,93,30,12216
peak_frequency,T,0.1761215762265766,0.0402343280695681,93,30,12216
power_frequency,T,0.2204615261502427,0.050046971829103,93,30,12216
all_bands,T,0.1978615095844665,0.0411117259553512,93,30,12216
ktorus,T,0.1875444084748106,0.0408436265084262,93,30,12216
