time_ms,observed_lag_0,fitted_lag_0,observed_lag_1,fitted_lag_1,observed_lag_2,fitted_lag_2,observed_lag_3,fitted_lag_3,observed_lag_4,fitted_lag_4
-324.0,0.9580196738243103,0.14403812023977644,1.0888603925704956,0.7007539306313347,0.620109498500824,0.37537520723852347,0.22203734517097473,-0.2510471459707499,-0.3913630247116089,-0.36026522663895344
-323.0,0.9785977602005005,0.2633488610290813,1.075230360031128,0.5847753977808139,0.9128093123435974,0.412128065040245,0.22132301330566406,-0.40661271471863164,-0.22449859976768494,-0.31222529598084514
-322.0,0.9895415306091309,0.3805250043895344,1.0395493507385254,0.4605022186107528,1.1873552799224854,0.4413118491130629,0.19477812945842743,-0.5497496701744213,-0.05407736822962761,-0.26046047383739884
-321.0,0.9905015230178833,0.49076556964251106,0.9779555797576904,0.33226425370303764,1.4299596548080444,0.4596117191199182,0.14732776582241058,-0.6760104170241359,0.12317319214344025,-0.2073037893507269
-320.0,0.9808698296546936,0.5893753474303308,0.8885351419448853,0.20430875770029086,1.6278960704803467,0.4640944706020877,0.08520355075597763,-0.7815659929635023,0.3089861571788788,-0.15502354731580628
-319.0,0.9600709676742554,0.6719691583606615,0.7716914415359497,0.08063541359689688,1.7705527544021606,0.4523712635739361,0.01555379293859005,-0.863347389072866,0.5030053853988647,-0.10572457806405072
-318.0,0.9278730154037476,0.7346656465604309,0.6302415728569031,-0.0351540215715526,1.8503367900848389,0.4227373886950727,-0.053938545286655426,-0.9191557972369176,0.7024807929992676,-0.061258656234410014
-317.0,0.8846617341041565,0.7742620628346972,0.46923112869262695,-0.1399852447463613,1.8633259534835815,0.374282370598829,-0.11541295796632767,-0.9477373221579387,0.9022423624992371,-0.02314798448528949
-316.0,0.8316223621368408,0.788382279230312,0.2954915165901184,-0.2314148629446686,1.809617042541504,0.3069650069640936,-0.16118741035461426,-0.9488192165296202,1.094964623451233,0.007474967470062955
-315.0,0.770775556564331,0.7755914065400534,0.11699522286653519,-0.3077037248629346,1.6933515071868896,0.22164948751866181,-0.18416082859039307,-0.923106342995895,1.2717082500457764,0.029908727449929336
