recording,monkey,fold,status,K,dimension,tau_samples,condition,feature_count,n_training_trials,frequencies_hz,training_trials_per_feature,harmonic_ambiguities,geometry_evaluable
monkeyT_session-y070207004-11_lfp-2,T,3,ok,2,5,15.0,1.5195818596268869,36,125,"[6.0, 24.0]",3.4722222222222223,"[{""lower_hz"": 6.0, ""upper_hz"": 24.0, ""multiple"": 4}]",True
monkeyT_session-y070207004-11_lfp-2,T,4,ok,1,3,15.0,1.235543730059616,10,125,[24.0],12.5,[],True
monkeyT_session-y070207012-19_lfp-1,T,0,ok,2,5,14.0,1.412720184980373,36,105,"[6.0, 24.0]",2.9166666666666665,"[{""lower_hz"": 6.0, ""upper_hz"": 24.0, ""multiple"": 4}]",True
monkeyT_session-y070207012-19_lfp-1,T,1,ok,1,3,14.0,1.0197252168726616,10,105,[24.0],10.5,[],True
monkeyT_session-y070207012-19_lfp-1,T,2,ok,1,3,14.0,1.0197252168726616,10,106,[24.0],10.6,[],True
monkeyT_session-y070207012-19_lfp-1,T,3,ok,1,3,14.0,1.0197252168726616,10,106,[24.0],10.6,[],True
monkeyT_session-y070207012-19_lfp-1,T,4,ok,1,3,14.0,1.0197252168726616,10,106,[24.0],10.6,[],True
monkeyT_session-y070207012-19_lfp-2,T,0,ok,1,3,16.0,1.543256175354837,10,105,[24.0],10.5,[],True
monkeyT_session-y070207012-19_lfp-2,T,1,ok,1,3,15.0,1.235543730059616,10,105,[24.0],10.5,[],True
monkeyT_session-y070207012-19_lfp-2,T,2,ok,1,3,15.0,1.235543730059616,10,106,[24.0],10.6,[],True
monkeyT_session-y070207012-19_lfp-2,T,3,ok,1,3,15.0,1.235543730059616,10,106,[24.0],10.6,[],True
monkeyT_session-y070207012-19_lfp-2,T,4,ok,1,3,15.0,1.235543730059616,10,106,[24.0],10.6,[],True
monkeyT_session-y070208003-8_lfp-1,T,0,ok,1,3,17.0,2.006075320936564,10,105,[24.0],10.5,[],True
monkeyT_session-y070208003-8_lfp-1,T,1,ok,1,3,18.0,2.781331582683182,10,105,[24.0],10.5,[],True
monkeyT_session-y070208003-8_lfp-1,T,2,ok,1,3,17.0,2.006075320936564,10,106,[24.0],10.6,[],True
monkeyT_session-y070208003-8_lfp-1,T,3,ok,1,3,16.0,1.543256175354837,10,106,[24.0],10.6,[],True
monkeyT_session-y070208003-8_lfp-1,T,4,ok,1,3,16.0,1.543256175354837,10,106,[24.0],10.6,[],True
monkeyT_session-y070208003-8_lfp-2,T,0,ok,1,3,15.0,1.235543730059616,10,105,[24.0],10.5,[],True
monkeyT_session-y070208003-8_lfp-2,T,1,ok,1,3,15.0,1.235543730059616,10,105,[24.0],10.5,[],True
monkeyT_session-y070208003-8_lfp-2,T,2,ok,1,3,15.0,1.235543730059616,10,106,[24.0],10.6,[],True
monkeyT_session-y070208003-8_lfp-2,T,3,ok,1,3,15.0,1.235543730059616,10,106,[24.0],10.6,[],True
monkeyT_session-y070208003-8_lfp-2,T,4,ok,1,3,15.0,1.235543730059616,10,106,[24.0],10.6,[],True
monkeyT_session-y070209004-10_lfp-1,T,0,ok,1,3,21.0,48.72592025594875,10,124,[24.0],12.4,[],True
monkeyT_session-y070209004-10_lfp-1,T,1,ok,1,3,18.0,2.781331582683182,10,125,[24.0],12.5,[],True
monkeyT_session-y070209004-10_lfp-1,T,2,ok,1,3,24.0,2.470184970755016,10,125,[24.0],12.5,[],True
monkeyT_session-y070209004-10_lfp-1,T,3,ok,1,3,20.0,9.72060660495912,10,125,[24.0],12.5,[],True
monkeyT_session-y070209004-10_lfp-1,T,4,ok,1,3,19.0,4.374183643344543,10,125,[24.0],12.5,[],True
monkeyT_session-y070209004-10_lfp-2,T,0,ok,2,5,16.0,1.5817798584821443,36,124,"[6.0, 24.0]",3.4444444444444446,"[{""lower_hz"": 6.0, ""upper_hz"": 24.0, ""multiple"": 4}]",True
monkeyT_session-y070209004-10_lfp-2,T,1,ok,2,5,29.0,4.7793766704351786,36,125,"[8.0, 24.0]",3.4722222222222223,"[{""lower_hz"": 8.0, ""upper_hz"": 24.0, ""multiple"": 3}]",True
monkeyT_session-y070209004-10_lfp-2,T,2,ok,2,5,29.0,4.7793766704351786,36,125,"[8.0, 24.0]",3.4722222222222223,"[{""lower_hz"": 8.0, ""upper_hz"": 24.0, ""multiple"": 3}]",True
monkeyT_session-y070209004-10_lfp-2,T,3,ok,2,5,29.0,4.7793766704351786,36,125,"[8.0, 24.0]",3.4722222222222223,"[{""lower_hz"": 8.0, ""upper_hz"": 24.0, ""multiple"": 3}]",True
monkeyT_session-y070209004-10_lfp-2,T,4,ok,2,5,29.0,4.7793766704351786,36,125,"[8.0, 24.0]",3.4722222222222223,"[{""lower_hz"": 8.0, ""upper_hz"": 24.0, ""multiple"": 3}]",True
monkeyT_session-y070213003-8_lfp-1,T,0,ok,2,5,16.0,1.5817798584821443,36,110,"[6.0, 24.0]",3.055555555555556,"[{""lower_hz"": 6.0, ""upper_hz"": 24.0, ""multiple"": 4}]",True
monkeyT_session-y070213003-8_lfp-1,T,1,ok,1,3,16.0,1.543256175354837,10,110,[24.0],11.0,[],True
monkeyT_session-y070213003-8_lfp-1,T,2,ok,1,3,15.0,1.235543730059616,10,110,[24.0],11.0,[],True
monkeyT_session-y070213003-8_lfp-1,T,3,ok,2,5,16.0,1.5817798584821443,36,111,"[6.0, 24.0]",3.083333333333333,"[{""lower_hz"": 6.0, ""upper_hz"": 24.0, ""multiple"": 4}]",True
monkeyT_session-y070213003-8_lfp-1,T,4,ok,1,3,16.0,1.543256175354837,10,111,[24.0],11.1,[],True
monkeyT_session-y070214006-11_lfp-2,T,0,ok,1,3,17.0,2.006075320936564,10,105,[24.0],10.5,[],True
monkeyT_session-y070214006-11_lfp-2,T,1,ok,2,5,17.0,1.644560116338972,36,105,"[6.0, 24.0]",2.9166666666666665,"[{""lower_hz"": 6.0, ""upper_hz"": 24.0, ""multiple"": 4}]",True
monkeyT_session-y070214006-11_lfp-2,T,2,ok,1,3,16.0,1.543256175354837,10,106,[24.0],10.6,[],True
monkeyT_session-y070214006-11_lfp-2,T,3,ok,1,3,16.0,1.543256175354837,10,106,[24.0],10.6,[],True
monkeyT_session-y070214006-11_lfp-2,T,4,ok,1,3,15.0,1.235543730059616,10,106,[24.0],10.6,[],True
monkeyT_session-y070214012-17_lfp-2,T,0,ok,2,5,17.0,1.644560116338972,36,100,"[6.0, 24.0]",2.7777777777777777,"[{""lower_hz"": 6.0, ""upper_hz"": 24.0, ""multiple"": 4}]",True
monkeyT_session-y070214012-17_lfp-2,T,1,ok,2,5,16.0,1.5817798584821443,36,101,"[6.0, 24.0]",2.805555555555556,"[{""lower_hz"": 6.0, ""upper_hz"": 24.0, ""multiple"": 4}]",True
monkeyT_session-y070214012-17_lfp-2,T,2,ok,1,3,17.0,2.006075320936564,10,101,[24.0],10.1,[],True
monkeyT_session-y070214012-17_lfp-2,T,3,ok,1,3,17.0,2.006075320936564,10,101,[24.0],10.1,[],True
monkeyT_session-y070214012-17_lfp-2,T,4,ok,2,5,17.0,1.644560116338972,36,101,"[6.0, 24.0]",2.805555555555556,"[{""lower_hz"": 6.0, ""upper_hz"": 24.0, ""multiple"": 4}]",True
monkeyT_session-y070215005-10_lfp-1,T,0,ok,1,3,14.0,1.0197252168726616,10,100,[24.0],10.0,[],True
monkeyT_session-y070215005-10_lfp-1,T,1,ok,1,3,14.0,1.0197252168726616,10,101,[24.0],10.1,[],True
monkeyT_session-y070215005-10_lfp-1,T,2,ok,1,3,14.0,1.0197252168726616,10,101,[24.0],10.1,[],True
monkeyT_session-y070215005-10_lfp-1,T,3,ok,2,5,14.0,1.412720184980373,36,101,"[6.0, 24.0]",2.805555555555556,"[{""lower_hz"": 6.0, ""upper_hz"": 24.0, ""multiple"": 4}]",True
