monkey,method,direction,mean,std,count
M,ktorus,1,0.2087113549995197,0.1020335716059301,110
M,ktorus,2,0.1669357387335145,0.1036840584607395,110
M,ktorus,3,0.1582951282942064,0.1009797317307859,110
M,ktorus,4,0.1893960411487381,0.0958495621111723,110
M,ktorus,5,0.1683622484929451,0.1153505807358682,110
M,ktorus,6,0.1889341639614256,0.1020260148455158,110
M,power_frequency,1,0.1942640005049679,0.1288703875058304,110
M,power_frequency,2,0.1805830922116085,0.1121204184684556,110
M,power_frequency,3,0.1954167833701986,0.1189845888081172,110
M,power_frequency,4,0.21393374301768,0.1242972436795192,110
M,power_frequency,5,0.1527100014848154,0.0960321275730369,110
M,power_frequency,6,0.1826094893814159,0.1119896893542328,110
