feature,direction,position,n,mean,sd
normal_x,1,Upper right,33,-0.43165932103518345,0.005875809393516348
normal_x,2,Right,33,-0.4325457470586853,0.005361295300297924
normal_x,3,Lower right,32,-0.43005385063772184,0.0056244154993875615
normal_x,4,Lower left,33,-0.4304680763022472,0.005125099313647189
normal_x,5,Left,33,-0.43101108077386807,0.006047710070310198
normal_x,6,Upper left,33,-0.4298800664067422,0.005658311896248988
normal_y,1,Upper right,33,0.7921994174181669,0.007157053143934551
normal_y,2,Right,33,0.7909872950287986,0.0053707635916043
normal_y,3,Lower right,32,0.7942590211741205,0.006143327065292013
normal_y,4,Lower left,33,0.7926967676595121,0.0045199465398038955
normal_y,5,Left,33,0.7944921135532631,0.005125869316586919
normal_y,6,Upper left,33,0.7933345354797569,0.005357018435697103
normal_z,1,Upper right,33,-0.4312155390500531,0.007887170407365635
normal_z,2,Right,33,-0.43262346803934265,0.005012853657461995
normal_z,3,Lower right,32,-0.42905797608346524,0.007063905956067608
normal_z,4,Lower left,33,-0.43158661987628866,0.004159587262808587
normal_z,5,Left,33,-0.4276806479215496,0.006426495752510555
normal_z,6,Upper left,33,-0.43097211183585327,0.005335781842306366
u_x,1,Upper right,33,0.5605481184245009,0.00520964283428856
u_x,2,Right,33,0.5597856242827324,0.0044246861529877194
u_x,3,Lower right,32,0.5616964188194715,0.004719495736447615
u_x,4,Lower left,33,0.5610689785655659,0.003860143219940513
u_x,5,Left,33,0.5616695425966787,0.004549708539015282
u_x,6,Upper left,33,0.5615206271030845,0.0043699598770464785
u_y,1,Upper right,33,0.6101441769512502,0.009218828335543031
u_y,2,Right,33,0.611765812313166,0.006927423227718918
u_y,3,Lower right,32,0.607483697191459,0.008032011216047045
u_y,4,Lower left,33,0.6095626648954432,0.0059116522286284156
u_y,5,Left,33,0.607183775810205,0.006736503038079133
u_y,6,Upper left,33,0.6087112613426128,0.0069717818169800355
u_z,1,Upper right,33,0.5597979219555055,0.005320262151683112
u_z,2,Right,33,0.5588430120647535,0.003460777715207684
u_z,3,Lower right,32,0.5615659466028415,0.0045780506042270245
u_z,4,Lower left,33,0.5599803128454519,0.0029901918491638583
u_z,5,Left,33,0.5619402979261765,0.003828196080274013
u_z,6,Upper left,33,0.560433624633939,0.0037570007429052754
v_x,1,Upper right,33,0.7066785322546931,0.001321203362963793
v_x,2,Right,33,0.7067508007866331,0.0008374580088659282
v_x,3,Lower right,32,0.7067504085732637,0.001592091474551683
v_x,4,Lower left,33,0.7070065238031675,0.0008447770487222648
v_x,5,Left,33,0.7061864982885819,0.001386361078557421
v_x,6,Upper left,33,0.7069990017898862,0.0007607135833585736
v_y,1,Upper right,33,-6.553916871067252e-05,0.0035294388806457566
v_y,2,Right,33,-0.00044784757181944295,0.0026835928609248547
v_y,3,Lower right,32,0.000510639193651738,0.004170054025408385
v_y,4,Lower left,33,-0.0010957433298524105,0.003257857951743682
v_y,5,Left,33,0.001992669587124842,0.006151102693152972
v_y,6,Upper left,33,-0.0010787014846319277,0.003905493578337592
v_z,1,Upper right,33,-0.7075238636956993,0.0013075657512341343
v_z,2,Right,33,-0.7074565459196832,0.0008356400648381765
v_z,3,Lower right,32,-0.7074474769524088,0.001562497679307371
v_z,4,Lower left,33,-0.707197920160361,0.00084496565282741
v_z,5,Left,33,-0.7079946371935448,0.0013237978042796022
v_z,6,Upper left,33,-0.7072024649982811,0.0007663870965277912
