recording,monkey,day,method,geometry_evaluable,true_direction,predicted_direction,fraction
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,power_frequency,True,2,6,0.2121212121212121
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,power_frequency,True,3,1,0.2424242424242424
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,power_frequency,True,3,2,0.1515151515151515
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,power_frequency,True,3,3,0.2424242424242424
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,power_frequency,True,3,4,0.0
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,power_frequency,True,3,5,0.2121212121212121
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,power_frequency,True,3,6,0.1515151515151515
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,power_frequency,True,4,1,0.2727272727272727
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,power_frequency,True,4,2,0.1818181818181818
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,power_frequency,True,4,3,0.2121212121212121
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,power_frequency,True,4,4,0.0606060606060606
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,power_frequency,True,4,5,0.1212121212121212
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,power_frequency,True,4,6,0.1515151515151515
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,power_frequency,True,5,1,0.2424242424242424
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,power_frequency,True,5,2,0.1515151515151515
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,power_frequency,True,5,3,0.1818181818181818
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,power_frequency,True,5,4,0.0303030303030303
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,power_frequency,True,5,5,0.2121212121212121
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,power_frequency,True,5,6,0.1818181818181818
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,power_frequency,True,6,1,0.2424242424242424
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,power_frequency,True,6,2,0.2424242424242424
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,power_frequency,True,6,3,0.1212121212121212
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,power_frequency,True,6,4,0.0303030303030303
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,power_frequency,True,6,5,0.1515151515151515
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,power_frequency,True,6,6,0.2121212121212121
