recording,monkey,family,p,m,tau,horizon_ms,mean_nmse,outer_fold_sd,mean_persistence,valid_folds,max_condition
monkeyT_session-y070209004-10_lfp-2,T,ar,1,0,1,1,0.0214369303557963,0.0003040206517125,0.0215260406149834,5,1.0000000000000002
monkeyT_session-y070209004-10_lfp-2,T,ar,1,0,1,10,1.1744701361452765,0.0142995372331296,1.271640696507377,5,1.0000000000000002
monkeyT_session-y070209004-10_lfp-2,T,ar,2,0,1,1,0.0009259817123772,1.378258647889862e-05,0.0215260406149834,5,14.92749554123528
monkeyT_session-y070209004-10_lfp-2,T,ar,2,0,1,10,1.0733786164821295,0.0099565802245235,1.271640696507377,5,14.92749554123528
monkeyT_session-y070209004-10_lfp-2,T,ar,3,0,1,1,2.925526528818908e-05,3.863993536530132e-07,0.0215260406149834,5,148.9231883082887
monkeyT_session-y070209004-10_lfp-2,T,ar,3,0,1,10,0.4774931658331877,0.0060322201544981,1.271640696507377,5,148.9231883082887
monkeyT_session-y070209004-10_lfp-2,T,ar,4,0,1,1,7.06909655696434e-07,9.062476601750332e-09,0.0215260406149834,5,1738.3110483780447
monkeyT_session-y070209004-10_lfp-2,T,ar,4,0,1,10,0.1281930561063812,0.0015374158874975,1.271640696507377,5,1738.3110483780447
monkeyT_session-y070209004-10_lfp-2,T,ar,5,0,1,1,1.9300053940552195e-08,5.322309387839884e-10,0.0215260406149834,5,22818.750930612325
monkeyT_session-y070209004-10_lfp-2,T,ar,5,0,1,10,0.0251757970701462,0.0006353627827759,1.271640696507377,5,22818.750930612325
monkeyT_session-y070209004-10_lfp-2,T,ar,6,0,1,1,1.8108986144751334e-09,4.322997862141726e-11,0.0215260406149834,5,292459.9910585219
monkeyT_session-y070209004-10_lfp-2,T,ar,6,0,1,10,0.0119760642859621,0.0002548354160745,1.271640696507377,5,292459.9910585219
monkeyT_session-y070209004-10_lfp-2,T,ar,7,0,1,1,2.28532838518465e-10,5.500065434823989e-12,0.0215260406149834,5,1938960.1384728765
monkeyT_session-y070209004-10_lfp-2,T,ar,7,0,1,10,0.0055072152353595,0.0001380034895559,1.271640696507377,5,1938960.1384728765
monkeyT_session-y070209004-10_lfp-2,T,ar,8,0,1,1,5.2375589425596107e-11,8.002324721866942e-13,0.0215260406149834,5,10691144.58640462
monkeyT_session-y070209004-10_lfp-2,T,ar,8,0,1,10,0.0028367597179139,5.567796600407618e-05,1.271640696507377,5,10691144.58640462
monkeyT_session-y070209004-10_lfp-2,T,ar,9,0,1,1,3.2002686909522066e-11,3.908300586084714e-13,0.0215260406149834,5,43466803.46027245
monkeyT_session-y070209004-10_lfp-2,T,ar,9,0,1,10,0.0022442363724096,4.239781381457267e-05,1.271640696507377,5,43466803.46027245
monkeyT_session-y070209004-10_lfp-2,T,ar,10,0,1,1,3.207049419764658e-11,3.8815674744652533e-13,0.0215260406149834,5,94266308.19351158
monkeyT_session-y070209004-10_lfp-2,T,ar,10,0,1,10,0.002267607423073,3.586863438595482e-05,1.271640696507377,5,94266308.19351158
monkeyT_session-y070209004-10_lfp-2,T,ar,11,0,1,1,2.1899622057204943e-11,2.415086444528169e-13,0.0215260406149834,5,125851690.96270314
monkeyT_session-y070209004-10_lfp-2,T,ar,11,0,1,10,0.0019102739609624,3.65632659078604e-05,1.271640696507377,5,125851690.96270314
monkeyT_session-y070209004-10_lfp-2,T,ar,12,0,1,1,2.1625069051835474e-11,2.150282797052611e-13,0.0215260406149834,5,134000895.99160308
monkeyT_session-y070209004-10_lfp-2,T,ar,12,0,1,10,0.0018341427022161,2.8601508096312944e-05,1.271640696507377,5,134000895.99160308
monkeyT_session-y070209004-10_lfp-2,T,ar,13,0,1,1,1.774419615593113e-11,2.0058583740401618e-13,0.0215260406149834,5,138546397.76056772
monkeyT_session-y070209004-10_lfp-2,T,ar,13,0,1,10,0.0016394216886139,2.99370812657271e-05,1.271640696507377,5,138546397.76056772
monkeyT_session-y070209004-10_lfp-2,T,ar,14,0,1,1,1.7723416280246302e-11,1.9327978486118259e-13,0.0215260406149834,5,142607282.79708645
monkeyT_session-y070209004-10_lfp-2,T,ar,14,0,1,10,0.0016277968093688,2.591169527946691e-05,1.271640696507377,5,142607282.79708645
monkeyT_session-y070209004-10_lfp-2,T,ar,15,0,1,1,1.6625775541554913e-11,1.9014170563029242e-13,0.0215260406149834,5,146607042.48974472
monkeyT_session-y070209004-10_lfp-2,T,ar,15,0,1,10,0.0015280843317561,2.8666068559693384e-05,1.271640696507377,5,146607042.48974472
monkeyT_session-y070209004-10_lfp-2,T,ar,16,0,1,1,1.6633783810422303e-11,1.9427279651490197e-13,0.0215260406149834,5,150309532.09069267
monkeyT_session-y070209004-10_lfp-2,T,ar,16,0,1,10,0.0015313470970181,2.849501161760479e-05,1.271640696507377,5,150309532.09069267
monkeyT_session-y070209004-10_lfp-2,T,ar,17,0,1,1,1.6633711150784468e-11,1.957879335167585e-13,0.0215260406149834,5,153763251.24283266
monkeyT_session-y070209004-10_lfp-2,T,ar,17,0,1,10,0.0015264840510261,2.8317983826283763e-05,1.271640696507377,5,153763251.24283266
monkeyT_session-y070209004-10_lfp-2,T,ar,18,0,1,1,1.6633821596996466e-11,1.9572115796875601e-13,0.0215260406149834,5,156812452.50104296
monkeyT_session-y070209004-10_lfp-2,T,ar,18,0,1,10,0.0015296791390513,2.8162225241865607e-05,1.271640696507377,5,156812452.50104296
monkeyT_session-y070209004-10_lfp-2,T,ar,19,0,1,1,1.6356512573332798e-11,1.8948602866954494e-13,0.0215260406149834,5,159527760.57233885
monkeyT_session-y070209004-10_lfp-2,T,ar,19,0,1,10,0.0014972635874483,2.740312096026306e-05,1.271640696507377,5,159527760.57233885
monkeyT_session-y070209004-10_lfp-2,T,ar,20,0,1,1,1.615293531822471e-11,1.842070219610902e-13,0.0215260406149834,5,162173521.6221921
monkeyT_session-y070209004-10_lfp-2,T,ar,20,0,1,10,0.0015035563990978,2.7503474323890963e-05,1.271640696507377,5,162173521.6221921
