recording,monkey,day,outer_fold,pole_index,real,imaginary,magnitude,frequency_hz
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,0,0,-0.7739140015837536,0.2794999298396082,0.8228384365279275,444.84098987858994
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,0,1,-0.7739140015837536,-0.2794999298396082,0.8228384365279275,-444.84098987858994
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,0,2,0.34369429291107,0.734039170329013,0.8105179026751637,180.3053007184468
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,0,3,0.34369429291107,-0.734039170329013,0.8105179026751637,-180.3053007184468
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,0,4,0.6047245603456342,0.5549764735543804,0.8207866227492236,118.17685989248814
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,0,5,0.6047245603456342,-0.5549764735543804,0.8207866227492236,-118.17685989248814
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,0,6,0.8201044107742163,0.4088488364958266,0.91636707474424,73.60487214377692
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,0,7,0.8201044107742163,-0.4088488364958266,0.91636707474424,-73.60487214377692
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,0,8,0.9282982582606734,0.3023941355383977,0.9763093103611248,50.11965043195808
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,0,9,0.9282982582606734,-0.3023941355383977,0.9763093103611248,-50.11965043195808
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,0,10,0.9631949557301636,0.1383318374214835,0.973077705010466,22.70222940264437
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,0,11,0.9631949557301636,-0.1383318374214835,0.973077705010466,-22.70222940264437
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,0,12,0.9542739412660116,0.0,0.9542739412660116,0.0
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,0,13,0.8363738814246889,0.1844420588044374,0.856469580653872,34.54487018441341
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,0,14,0.8363738814246889,-0.1844420588044374,0.856469580653872,-34.54487018441341
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,1,0,-0.8253258330894367,0.0,0.8253258330894367,500.0
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,1,1,-0.7005323007769146,0.4314382544659471,0.8227298899690111,412.1451277377712
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,1,2,-0.7005323007769146,-0.4314382544659471,0.8227298899690111,-412.1451277377712
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,1,3,0.2606747258345044,0.7837096998775115,0.825925060989793,198.89451913510172
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,1,4,0.2606747258345044,-0.7837096998775115,0.825925060989793,-198.89451913510172
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,1,5,0.5559522694394996,0.6365059734982706,0.8451170215975484,135.7350273574058
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,1,6,0.5559522694394996,-0.6365059734982706,0.8451170215975484,-135.7350273574058
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,1,7,0.7825421497442828,0.4236330852272594,0.889852351250234,78.96977587687232
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,1,8,0.7825421497442828,-0.4236330852272594,0.889852351250234,-78.96977587687232
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,1,9,0.9268866050737868,0.2988576217266463,0.9738760992699826,49.64157373384481
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,1,10,0.9268866050737868,-0.2988576217266463,0.9738760992699826,-49.64157373384481
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,1,11,0.81136707733379,0.3097335071189901,0.8684764703855862,58.038871838411055
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,1,12,0.81136707733379,-0.3097335071189901,0.8684764703855862,-58.038871838411055
