recording,family,monkey,n_valid_folds,modal_p,p_agreement,modal_m,m_agreement,modal_tau,tau_agreement,boundary_folds
monkeyT_session-y070316009-12_lfp-7,ar,T,5,15,0.8,0,1.0,1,1.0,0
monkeyT_session-y070316009-12_lfp-7,embedding,T,5,0,1.0,9,1.0,1,1.0,5
