method,dimensions,n_trials,macro_f1,ci_low,ci_high,accuracy
relevant_band,1,198,0.1391208258482827,0.1045354764004428,0.1766289913175399,0.1969696969696969
geometry_relevant_band,15,198,0.2273780696320793,0.1747803186599305,0.2825348551181899,0.2424242424242424
average_psd,1,198,0.1688760247898408,0.1209275960931326,0.2158696766535738,0.207070707070707
geometry_average_psd,15,198,0.2327080767246184,0.1771817244772625,0.2891528407459313,0.2424242424242424
all_bands,5,198,0.2259662857377129,0.1694062137067388,0.2817671544657079,0.2373737373737373
geometry,14,198,0.2279214439950145,0.1760383475794237,0.2805144865868539,0.2474747474747475
