row_index,raw_trial_index,original_trial_number,direction,heldout_fold_zero_based,delay,R1,R2,mse,mean_error,frac_inside,normal_x,normal_y,normal_z,u_x,u_y,u_z,v_x,v_y,v_z,target_event_code,target_position,reach_side
32,10,40,1,2,short,3.7937699881678704,1.3599423545676863,0.0070932081205889,0.0122152725936968,0.8967611336032388,-0.4351565623366355,0.7879268324779237,-0.4356719785763915,0.5569252625208962,0.615768867380306,0.5573714685299256,0.7074411765096746,-9.28788516504908e-05,-0.7067722215481635,101,upper right,Rightward
33,59,98,2,3,short,4.0562398208049935,1.291771659687711,0.0081418827394487,0.0082998696955875,0.9048582995951416,-0.430491242217319,0.7949045640586028,-0.4275558728552237,0.5616771454449191,0.6067311907341357,0.5624909301270421,0.7065380914423771,0.0019990570628327,-0.707672190432705,102,right,Rightward
34,43,260,2,3,short,3.9953775291268623,1.1842436689326037,0.0063506994064847,0.0068905179032505,0.917004048582996,-0.4265784550475988,0.7976330563000368,-0.4263945698372179,0.5650038899018929,0.6031425663167966,0.5630183381494055,0.7062587529262441,-0.0007430977398325,-0.7079534036367192,102,right,Rightward
35,35,622,2,4,short,2.5600535608715576,0.9309231173840774,0.0069715576898886,0.0132291978471368,0.8765182186234818,-0.4348154457956344,0.7890561752979269,-0.4339652985225325,0.5579369741580379,0.6143208598321624,0.5579571793986037,0.7068534932819647,0.0004831141478272,-0.7073598134159189,102,right,Rightward
36,39,198,2,3,short,3.567621031587516,1.4176677561908069,0.0096289727069783,0.0092242071251289,0.8825910931174089,-0.4432904593911974,0.7819312218899817,-0.4382660525826538,0.5514802174462132,0.6233516049660768,0.5543485783797896,0.7066563085250273,0.0040423779952586,-0.7075454196035227,102,right,Rightward
37,54,628,2,1,short,4.0391592652064965,1.810205138199482,0.0083841012926304,0.0097963145012784,0.8967611336032388,-0.4463516578877524,0.7779632803657021,-0.4422028176114338,0.549269232196228,0.6283024553551895,0.5509440399507072,0.7064513486882315,0.0030263835309333,-0.7077551362860623,102,right,Rightward
38,60,647,2,3,short,3.6946680022418303,1.2025548462289015,0.007739608652111,0.0094538582853127,0.8704453441295547,-0.4293952564495171,0.7970324089014559,-0.4246870058047406,0.5637225606181272,0.603931193586185,0.5634571750041949,0.7055753598226027,0.0025401917857528,-0.7086303401893658,102,right,Rightward
39,50,10,2,0,short,4.401213194497237,1.7049894578310676,0.0109051562881107,0.0079060300677945,0.902834008097166,-0.4389061456294567,0.7848617610641495,-0.4374396088010049,0.5546879192773254,0.619669967459093,0.5552751062644875,0.7068823859288655,0.0010711902392165,-0.7073302941448119,102,right,Rightward
40,52,412,2,0,short,4.326778372066697,1.514949914462191,0.0072856908633639,0.0081059747552805,0.8947368421052632,-0.4315577991543451,0.7925548752447628,-0.4308301703859843,0.5603853583330285,0.6098004406536491,0.5604566644662,0.7069130895343649,0.0004385252259889,-0.7073002838544638,102,right,Rightward
41,49,670,2,4,short,4.100922656180374,1.3297200689680546,0.0073791520707518,0.0092984714407657,0.9008097165991904,-0.4315200706913246,0.7927794319848513,-0.430454644314974,0.5597485567532106,0.6095072157805147,0.5614111747411009,0.7074404439974097,0.0013138239081561,-0.7067717397176307,102,right,Rightward
42,55,150,2,3,short,4.235753721224731,1.390710593067653,0.0078706816427825,0.0102196431399994,0.8663967611336032,-0.4367233881450933,0.7868121704759353,-0.4361184364802957,0.5566149855025777,0.6171925107770556,0.5561053520284438,0.7067194918502215,0.0001141563045951,-0.7074938493070473,102,right,Rightward
