recording,monkey,family,p,m,tau,horizon_ms,mean_nmse,outer_fold_sd,mean_persistence,valid_folds,max_condition
monkeyT_session-y070503001-7_lfp-6,T,ar,1,0,1,1,0.0384576209068657,0.0001311535094456,0.0387740767970286,5,1.0000000000000002
monkeyT_session-y070503001-7_lfp-6,T,ar,1,0,1,10,1.7289581792594375,0.0026792634567716,2.0173988972880297,5,1.0000000000000002
monkeyT_session-y070503001-7_lfp-6,T,ar,2,0,1,1,0.001469623262661,8.90491746587942e-06,0.0387740767970286,5,10.494082182373305
monkeyT_session-y070503001-7_lfp-6,T,ar,2,0,1,10,1.3244819703848507,0.0070945289378736,2.0173988972880297,5,10.494082182373305
monkeyT_session-y070503001-7_lfp-6,T,ar,3,0,1,1,4.214230538887535e-05,2.686343964915143e-07,0.0387740767970286,5,110.45526230693244
monkeyT_session-y070503001-7_lfp-6,T,ar,3,0,1,10,0.6242296809682439,0.0043067462264847,2.0173988972880297,5,110.45526230693244
monkeyT_session-y070503001-7_lfp-6,T,ar,4,0,1,1,6.992851747484314e-07,4.194562670853894e-09,0.0387740767970286,5,1334.6200891356043
monkeyT_session-y070503001-7_lfp-6,T,ar,4,0,1,10,0.1187905444943575,0.000857421009345,2.0173988972880297,5,1334.6200891356043
monkeyT_session-y070503001-7_lfp-6,T,ar,5,0,1,1,2.472349506577129e-08,3.0940894547366134e-11,0.0387740767970286,5,21373.09619692779
monkeyT_session-y070503001-7_lfp-6,T,ar,5,0,1,10,0.0298195308503129,7.550763176365413e-05,2.0173988972880297,5,21373.09619692779
monkeyT_session-y070503001-7_lfp-6,T,ar,6,0,1,1,2.7944249496008542e-09,1.953465124981508e-11,0.0387740767970286,5,238849.18507029035
monkeyT_session-y070503001-7_lfp-6,T,ar,6,0,1,10,0.0168128698250457,0.0001017833839737,2.0173988972880297,5,238849.18507029035
monkeyT_session-y070503001-7_lfp-6,T,ar,7,0,1,1,3.295832198302352e-10,1.7949834777594578e-12,0.0387740767970286,5,1427021.2357498042
monkeyT_session-y070503001-7_lfp-6,T,ar,7,0,1,10,0.0070873022230657,3.617522304751068e-05,2.0173988972880297,5,1427021.2357498042
monkeyT_session-y070503001-7_lfp-6,T,ar,8,0,1,1,7.755567351631897e-11,4.836655710095353e-13,0.0387740767970286,5,8055672.730957341
monkeyT_session-y070503001-7_lfp-6,T,ar,8,0,1,10,0.0041086572645094,2.756394046005552e-05,2.0173988972880297,5,8055672.730957341
monkeyT_session-y070503001-7_lfp-6,T,ar,9,0,1,1,4.005427445666736e-11,1.0046729831018208e-13,0.0387740767970286,5,31723136.78587429
monkeyT_session-y070503001-7_lfp-6,T,ar,9,0,1,10,0.0029744747893895,1.7150561622801976e-05,2.0173988972880297,5,31723136.78587429
monkeyT_session-y070503001-7_lfp-6,T,ar,10,0,1,1,3.967657437741139e-11,7.726265211372314e-14,0.0387740767970286,5,77869288.02724224
monkeyT_session-y070503001-7_lfp-6,T,ar,10,0,1,10,0.0028648359008324,1.2738376219699556e-05,2.0173988972880297,5,77869288.02724224
monkeyT_session-y070503001-7_lfp-6,T,ar,11,0,1,1,2.9418526226556836e-11,1.4060867720950386e-13,0.0387740767970286,5,107934417.29676506
monkeyT_session-y070503001-7_lfp-6,T,ar,11,0,1,10,0.0026459316284539,1.3993708356501488e-05,2.0173988972880297,5,107934417.29676506
monkeyT_session-y070503001-7_lfp-6,T,ar,12,0,1,1,2.7444698522200334e-11,1.534777578748955e-13,0.0387740767970286,5,115408777.50383404
monkeyT_session-y070503001-7_lfp-6,T,ar,12,0,1,10,0.0023693026398699,1.4830781282426948e-05,2.0173988972880297,5,115408777.50383404
monkeyT_session-y070503001-7_lfp-6,T,ar,13,0,1,1,2.4990123197102418e-11,1.560645356994702e-13,0.0387740767970286,5,118173357.62477107
monkeyT_session-y070503001-7_lfp-6,T,ar,13,0,1,10,0.0023366374830556,1.7449816931105372e-05,2.0173988972880297,5,118173357.62477107
monkeyT_session-y070503001-7_lfp-6,T,ar,14,0,1,1,2.3948189903206272e-11,1.3137557509161466e-13,0.0387740767970286,5,120068848.6938792
monkeyT_session-y070503001-7_lfp-6,T,ar,14,0,1,10,0.0022257228407836,1.479102513119868e-05,2.0173988972880297,5,120068848.6938792
