recording,monkey,session,day,lfp,raw_trials,valid_trials,go_sample_zero_based,old_converted_go_sample,start_sample,end_sample_exclusive,source_pair_index,source_sha256,n_trials,status,short_delay_ms
monkeyM_session-o080515012-24_lfp-2,M,o080515012-24,2008-05-15,2,292,292,5000,4500,4500,5000,202,3d7113ec969ba4b4129d8152b7929421f03baf241249c9ae7e4ee3258750a166,126,ok,1000
monkeyM_session-o080522005-11_lfp-1,M,o080522005-11,2008-05-22,1,236,236,5000,4500,4500,5000,239,ce1c5552193f8777ad57bc52dcb763b2776ddfdeb78963507d3c692a7f948625,108,ok,1000
monkeyM_session-o080522005-11_lfp-2,M,o080522005-11,2008-05-22,2,236,236,5000,4500,4500,5000,238,2de4ccee319414854d571f0fa96d153f18a48395f81b90b9bb55825af7d833ec,108,ok,1000
monkeyM_session-o080522012-21_lfp-1,M,o080522012-21,2008-05-22,1,282,282,5000,4500,4500,5000,248,44ffc67092ed881141968058164840fe66c1c537b1bfa30fafe967cad480acd6,144,ok,1000
monkeyM_session-o080522012-21_lfp-2,M,o080522012-21,2008-05-22,2,282,282,5000,4500,4500,5000,246,0b119eb40c43f7609f2d99362d8ee67118f017c52d8f6ec93e950eb00b12adb6,144,ok,1000
monkeyM_session-o080523010-18_lfp-4,M,o080523010-18,2008-05-23,4,187,187,5000,4500,4500,5000,255,9d924d4b64fc0c8e60ca90ca7524ce86ebd541421464c32450b1fbcd90bc024b,90,ok,1000
monkeyM_session-o080523010-18_lfp-8,M,o080523010-18,2008-05-23,8,187,187,5000,4500,4500,5000,258,e3a18bfdd5c4e4a1963cf381b0a0d05f3d185cb4caa016bf17e035476aa98761,90,ok,1000
monkeyM_session-o080527006-16_lfp-1,M,o080527006-16,2008-05-27,1,290,290,5000,4500,4500,5000,269,46dfeb23fa9b96b457dc32153cfb0154571312ddfb0f42b76f46cee03eabc483,144,ok,1000
monkeyM_session-o080527006-16_lfp-2,M,o080527006-16,2008-05-27,2,290,290,5000,4500,4500,5000,265,f0ac326bc70bd923619ecde6da831598ad59ed121f36d6029a3fb779f97eec9c,144,ok,1000
monkeyM_session-o080528006-15_lfp-2,M,o080528006-15,2008-05-28,2,242,242,5000,4500,4500,5000,285,c591c2c19f4a931cd717a320da44a4ac1967a30289e5088f65e8368f5577ab54,120,ok,1000
monkeyM_session-o080528006-15_lfp-4,M,o080528006-15,2008-05-28,4,242,242,5000,4500,4500,5000,281,c7c753d55350bc711f7637215decd435edc184af961fc69290946f4f7054ccc9,120,ok,1000
monkeyM_session-o080528016-25_lfp-2,M,o080528016-25,2008-05-28,2,192,192,5000,4500,4500,5000,296,f8abad9396b27bc650e612ad3829a5c9dc4be5f65a1fb352544de0a8b9d83a01,90,ok,1000
monkeyM_session-o080528016-25_lfp-4,M,o080528016-25,2008-05-28,4,192,192,5000,4500,4500,5000,293,4f718445f33ca2a7480b5509a06edcb6d62b4bfecb855beb30d7d4d748fdbee6,90,ok,1000
monkeyM_session-o080710006-11_lfp-5,M,o080710006-11,2008-07-10,5,239,239,5000,4500,4500,5000,312,d13be921b397848e9c3167592c3de6744a47644b9ebf68ea95c80f34358c6067,114,ok,1000
monkeyM_session-o080710006-11_lfp-6,M,o080710006-11,2008-07-10,6,239,239,5000,4500,4500,5000,311,2f91d4e899408369df92fc7149b8199f702938b7224079c58f224a8cc447d9be,114,ok,1000
monkeyM_session-o080711002-7_lfp-6,M,o080711002-7,2008-07-11,6,234,234,5000,4500,4500,5000,324,179e0dacb95d40012e1f9186f75065b3523f79a16b5f0ddb014a293325c0c287,108,ok,1000
