recording,monkey,day,outer_fold,pole_index,real,imaginary,magnitude,frequency_hz
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,0,0,-0.772912238393581,0.29700846075242926,0.8280141025472351,441.6100962330183
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,0,1,-0.772912238393581,-0.29700846075242926,0.8280141025472351,-441.6100962330183
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,0,2,0.5064957016785978,0.6572848712056505,0.8297959374055308,145.50720018500456
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,0,3,0.5064957016785978,-0.6572848712056505,0.8297959374055308,-145.50720018500456
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,0,4,0.7780189162632813,0.4366042805038031,0.8921528634812165,81.38895533928438
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,0,5,0.7780189162632813,-0.4366042805038031,0.8921528634812165,-81.38895533928438
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,0,6,0.8838238126308589,0.3498904026230551,0.9505618473413874,59.99374192917325
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,0,7,0.8838238126308589,-0.3498904026230551,0.9505618473413874,-59.99374192917325
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,0,8,0.9399104087686403,0.2403340492480541,0.9701505201460229,39.84206724414958
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,0,9,0.9399104087686403,-0.2403340492480541,0.9701505201460229,-39.84206724414958
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,0,10,0.9615704404385793,0.0,0.9615704404385793,0.0
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,0,11,0.9369610516600095,0.12717141115571545,0.9455519975882697,21.47050618612158
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,0,12,0.9369610516600095,-0.12717141115571545,0.9455519975882697,-21.47050618612158
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,0,13,0.7370785950019548,0.0,0.7370785950019548,0.0
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,1,0,-0.8259440227306172,0.0,0.8259440227306172,499.99999999999994
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,1,1,-0.6929812136249508,0.4615471164213642,0.8326155794326612,406.4865168778077
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,1,2,-0.6929812136249508,-0.4615471164213642,0.8326155794326612,-406.4865168778077
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,1,3,0.3996102083778448,0.7357117211199604,0.8372335726863077,170.80805115120648
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,1,4,0.3996102083778448,-0.7357117211199604,0.8372335726863077,-170.80805115120648
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,1,5,0.6838964362508911,0.5397293059126735,0.8712187206308446,106.33447460513584
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,1,6,0.6838964362508911,-0.5397293059126735,0.8712187206308446,-106.33447460513584
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,1,7,0.8531154860708908,0.39978966125946913,0.9421453209690815,69.74687673645613
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,1,8,0.8531154860708908,-0.39978966125946913,0.9421453209690815,-69.74687673645613
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,1,9,0.8995694910673708,0.30708268634800795,0.9505393445375723,52.3560391947212
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,1,10,0.8995694910673708,-0.30708268634800795,0.9505393445375723,-52.3560391947212
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,1,11,0.9443504952290208,0.22613727405410433,0.9710488785616911,37.40736995795613
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,1,12,0.9443504952290208,-0.22613727405410433,0.9710488785616911,-37.40736995795613
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,1,13,0.974604114295182,0.0,0.974604114295182,0.0
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,1,14,0.954562003028431,0.1127898564908659,0.9612024601263152,18.718757758692014
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,1,15,0.954562003028431,-0.1127898564908659,0.9612024601263152,-18.718757758692014
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,2,0,-0.8222131894748337,0.0,0.8222131894748337,499.99999999999994
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,2,1,-0.6894519100518608,0.4554812971166912,0.8263214557890063,407.08208359676837
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,2,2,-0.6894519100518608,-0.4554812971166912,0.8263214557890063,-407.08208359676837
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,2,3,0.40192976742587716,0.7313913921212272,0.8345543160346405,170.0260791647103
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,2,4,0.40192976742587716,-0.7313913921212272,0.8345543160346405,-170.0260791647103
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,2,5,0.6804432257747017,0.5395448622187199,0.8683960167166241,106.70001882672148
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,2,6,0.6804432257747017,-0.5395448622187199,0.8683960167166241,-106.70001882672148
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,2,7,0.8540357916604063,0.39727972533539485,0.9419173602814547,69.29686459584676
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,2,8,0.8540357916604063,-0.39727972533539485,0.9419173602814547,-69.29686459584676
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,2,9,0.8954407702718254,0.3067666263205088,0.9465304728792765,52.53002261444127
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,2,10,0.8954407702718254,-0.3067666263205088,0.9465304728792765,-52.53002261444127
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,2,11,0.944137588114331,0.22837353947841244,0.9713651521566152,37.77182463986109
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,2,12,0.944137588114331,-0.22837353947841244,0.9713651521566152,-37.77182463986109
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,2,13,0.97461323740098,0.0,0.97461323740098,0.0
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,2,14,0.9561816325923918,0.11371578843145633,0.9629198279429286,18.839329551695414
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,2,15,0.9561816325923918,-0.11371578843145633,0.9629198279429286,-18.839329551695414
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,3,0,-0.8264908908564828,0.0,0.8264908908564828,499.99999999999994
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,3,1,-0.6904325984850934,0.45855766848875257,0.8288379264854614,406.6930011398794
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,3,2,-0.6904325984850934,-0.45855766848875257,0.8288379264854614,-406.6930011398794
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,3,3,0.3974437040257582,0.7361791852365296,0.8366129873754262,171.21267034577832
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,3,4,0.3974437040257582,-0.7361791852365296,0.8366129873754262,-171.21267034577832
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,3,5,0.686789932470217,0.5425400328891319,0.8752314543192478,106.40972785162725
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,3,6,0.686789932470217,-0.5425400328891319,0.8752314543192478,-106.40972785162725
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,3,7,0.8591498848424062,0.394299705331537,0.9453098868885572,68.47878782324862
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,3,8,0.8591498848424062,-0.394299705331537,0.9453098868885572,-68.47878782324862
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,3,9,0.8946209001353487,0.30290858931035325,0.9445105443757469,51.95978630072606
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,3,10,0.8946209001353487,-0.30290858931035325,0.9445105443757469,-51.95978630072606
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,3,11,0.9434758237592709,0.22755805872548707,0.970530422042064,37.66735829887715
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,3,12,0.9434758237592709,-0.22755805872548707,0.970530422042064,-37.66735829887715
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,3,13,0.973988018622625,0.0,0.973988018622625,0.0
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,3,14,0.9538197859382883,0.11287719416658905,0.9604756347822073,18.747561786067756
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,3,15,0.9538197859382883,-0.11287719416658905,0.9604756347822073,-18.747561786067756
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,4,0,-0.8207340821562185,0.0,0.8207340821562185,499.99999999999994
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,4,1,-0.6879774663901344,0.4520671306037749,0.8232118104308993,407.4756962994155
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,4,2,-0.6879774663901344,-0.4520671306037749,0.8232118104308993,-407.4756962994155
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,4,3,0.40067336481055227,0.7319908539549698,0.8344757369404672,170.29114816207036
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,4,4,0.40067336481055227,-0.7319908539549698,0.8344757369404672,-170.29114816207036
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,4,5,0.6818212104547816,0.5416076942331418,0.8707577490201072,106.83896649795189
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,4,6,0.6818212104547816,-0.5416076942331418,0.8707577490201072,-106.83896649795189
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,4,7,0.8538478103612666,0.3968455834431305,0.9415638588842756,69.24372924162225
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,4,8,0.8538478103612666,-0.3968455834431305,0.9415638588842756,-69.24372924162225
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,4,9,0.896889965373667,0.306575798322335,0.9478398230212501,52.42084433749741
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,4,10,0.896889965373667,-0.306575798322335,0.9478398230212501,-52.42084433749741
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,4,11,0.9429206399396468,0.22690498225197858,0.9698377205465684,37.58453488072811
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,4,12,0.9429206399396468,-0.22690498225197858,0.9698377205465684,-37.58453488072811
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,4,13,0.9733763918720111,0.0,0.9733763918720111,0.0
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,4,14,0.9561910620594954,0.11405250814707624,0.9629690139236593,18.89440751142026
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,4,15,0.9561910620594954,-0.11405250814707624,0.9629690139236593,-18.89440751142026
monkeyM_session-o080416002-18_lfp-2,M,2008-04-16,0,0,-0.8126714016392216,0.19336605925488876,0.8353593477743709,462.82218013920186
monkeyM_session-o080416002-18_lfp-2,M,2008-04-16,0,1,-0.8126714016392216,-0.19336605925488876,0.8353593477743709,-462.82218013920186
monkeyM_session-o080416002-18_lfp-2,M,2008-04-16,0,2,-0.637361827946733,0.5528091157183143,0.8436990092117362,386.2877996175285
monkeyM_session-o080416002-18_lfp-2,M,2008-04-16,0,3,-0.637361827946733,-0.5528091157183143,0.8436990092117362,-386.2877996175285
monkeyM_session-o080416002-18_lfp-2,M,2008-04-16,0,4,0.24107113162291205,0.7737683910716671,0.8104522277861833,201.93148575741276
monkeyM_session-o080416002-18_lfp-2,M,2008-04-16,0,5,0.24107113162291205,-0.7737683910716671,0.8104522277861833,-201.93148575741276
monkeyM_session-o080416002-18_lfp-2,M,2008-04-16,0,6,0.5472542684699588,0.7191763117974368,0.9037155535947988,146.47452233149465
monkeyM_session-o080416002-18_lfp-2,M,2008-04-16,0,7,0.5472542684699588,-0.7191763117974368,0.9037155535947988,-146.47452233149465
monkeyM_session-o080416002-18_lfp-2,M,2008-04-16,0,8,0.7505168258539513,0.5129050582542415,0.9090363604788739,95.41332761843057
monkeyM_session-o080416002-18_lfp-2,M,2008-04-16,0,9,0.7505168258539513,-0.5129050582542415,0.9090363604788739,-95.41332761843057
monkeyM_session-o080416002-18_lfp-2,M,2008-04-16,0,10,0.8588305232225245,0.39266454542977486,0.9443385583868991,68.25077312702666
monkeyM_session-o080416002-18_lfp-2,M,2008-04-16,0,11,0.8588305232225245,-0.39266454542977486,0.9443385583868991,-68.25077312702666
monkeyM_session-o080416002-18_lfp-2,M,2008-04-16,0,12,0.9227693018758718,0.30159655021223447,0.9708056775608622,50.276071725090134
monkeyM_session-o080416002-18_lfp-2,M,2008-04-16,0,13,0.9227693018758718,-0.30159655021223447,0.9708056775608622,-50.276071725090134
monkeyM_session-o080416002-18_lfp-2,M,2008-04-16,0,14,0.9325506951356182,0.2032999431848455,0.9544535954654296,34.16194347299486
monkeyM_session-o080416002-18_lfp-2,M,2008-04-16,0,15,0.9325506951356182,-0.2032999431848455,0.9544535954654296,-34.16194347299486
monkeyM_session-o080416002-18_lfp-2,M,2008-04-16,0,16,0.9669155001598428,0.0,0.9669155001598428,0.0
monkeyM_session-o080416002-18_lfp-2,M,2008-04-16,0,17,0.94037387010133,0.10387984497767214,0.9460940956173114,17.51030050003192
monkeyM_session-o080416002-18_lfp-2,M,2008-04-16,0,18,0.94037387010133,-0.10387984497767214,0.9460940956173114,-17.51030050003192
monkeyM_session-o080416002-18_lfp-2,M,2008-04-16,1,0,-0.7361196232999825,0.0,0.7361196232999825,499.99999999999994
monkeyM_session-o080416002-18_lfp-2,M,2008-04-16,1,1,-0.6526276437360123,0.3971548366540907,0.7639730398686572,412.9930739415594
monkeyM_session-o080416002-18_lfp-2,M,2008-04-16,1,2,-0.6526276437360123,-0.3971548366540907,0.7639730398686572,-412.9930739415594
monkeyM_session-o080416002-18_lfp-2,M,2008-04-16,1,3,0.45730351490977145,0.7544381823522078,0.8822150960733639,163.27168442621442
monkeyM_session-o080416002-18_lfp-2,M,2008-04-16,1,4,0.45730351490977145,-0.7544381823522078,0.8822150960733639,-163.27168442621442
monkeyM_session-o080416002-18_lfp-2,M,2008-04-16,1,5,0.6692173760908342,0.5525004471663577,0.8678183223353413,109.8411237248947
monkeyM_session-o080416002-18_lfp-2,M,2008-04-16,1,6,0.6692173760908342,-0.5525004471663577,0.8678183223353413,-109.8411237248947
monkeyM_session-o080416002-18_lfp-2,M,2008-04-16,1,7,0.8442699483704887,0.41945838815728675,0.9427285320372014,73.3876424800189
monkeyM_session-o080416002-18_lfp-2,M,2008-04-16,1,8,0.8442699483704887,-0.41945838815728675,0.9427285320372014,-73.3876424800189
monkeyM_session-o080416002-18_lfp-2,M,2008-04-16,1,9,0.9180788818853063,0.30889193487124167,0.9686501230022497,51.654871462322085
monkeyM_session-o080416002-18_lfp-2,M,2008-04-16,1,10,0.9180788818853063,-0.30889193487124167,0.9686501230022497,-51.654871462322085
monkeyM_session-o080416002-18_lfp-2,M,2008-04-16,1,11,0.9237307018509991,0.21599133158228784,0.9486467545197365,36.557598067090865
monkeyM_session-o080416002-18_lfp-2,M,2008-04-16,1,12,0.9237307018509991,-0.21599133158228784,0.9486467545197365,-36.557598067090865
monkeyM_session-o080416002-18_lfp-2,M,2008-04-16,1,13,0.9682528378021997,0.0,0.9682528378021997,0.0
monkeyM_session-o080416002-18_lfp-2,M,2008-04-16,1,14,0.9411426879386764,0.11430100866228889,0.948058162583738,19.235034987479395
monkeyM_session-o080416002-18_lfp-2,M,2008-04-16,1,15,0.9411426879386764,-0.11430100866228889,0.948058162583738,-19.235034987479395
monkeyM_session-o080416002-18_lfp-2,M,2008-04-16,2,0,-0.7491965421008648,0.28704342755849865,0.8023025539037152,441.76781753560664
monkeyM_session-o080416002-18_lfp-2,M,2008-04-16,2,1,-0.7491965421008648,-0.28704342755849865,0.8023025539037152,-441.76781753560664
monkeyM_session-o080416002-18_lfp-2,M,2008-04-16,2,2,0.512476626800181,0.7380783930963205,0.8985499470659039,153.40623343483495
monkeyM_session-o080416002-18_lfp-2,M,2008-04-16,2,3,0.512476626800181,-0.7380783930963205,0.8985499470659039,-153.40623343483495
monkeyM_session-o080416002-18_lfp-2,M,2008-04-16,2,4,0.7595657741412221,0.4951224821528433,0.9066898243500623,91.93970705075708
