recording,monkey,day,family,horizon_ms,mse,nmse,r2,pearson,nmse_persistence,r2_persistence,pearson_persistence,nmse_improvement,persistence_skill,n_trials
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,ar,1,2.2491308812946486e-11,2.2920747950836975e-11,0.9999999999770791,0.9999999999885918,0.018966481573145313,0.9810335184268547,0.9905257929923231,0.01896648155022456,0.9999999986763548,144
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,ar,10,0.0023132829351847823,0.002395084286509783,0.9976049157134901,0.9988210931100698,1.271252479827994,-0.2712524798279941,0.3661608286211322,1.2688573955414841,0.9979926197477553,144
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,embedding,1,3.613411567191711e-11,3.670997368493047e-11,0.99999999996329,0.9999999999817253,0.018966481573145313,0.9810335184268547,0.9905257929923231,0.018966481536435337,0.9999999978751677,144
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,embedding,10,0.0028381074358145527,0.002950429044938009,0.997049570955062,0.9985478350074563,1.271252479827994,-0.2712524798279941,0.3661608286211322,1.268302050783056,0.9975319815231778,144
monkeyM_session-o080416002-18_lfp-2,M,2008-04-16,ar,1,2.9573066297631753e-11,3.591468598707704e-11,0.9999999999640852,0.9999999999821318,0.019127424137091762,0.9808725758629081,0.9904496352198239,0.019127424101177067,0.9999999979574903,144
monkeyM_session-o080416002-18_lfp-2,M,2008-04-16,ar,10,0.003275030132073558,0.004024247686724646,0.9959757523132752,0.9980223317245271,1.2188167294563559,-0.21881672945635566,0.39262965433196495,1.214792481769631,0.9965303501796495,144
monkeyM_session-o080416002-18_lfp-2,M,2008-04-16,embedding,1,5.41729530383271e-11,6.639481566881369e-11,0.9999999999336051,0.9999999999669638,0.019127424137091762,0.9808725758629081,0.9904496352198239,0.01912742407069694,0.9999999962844297,144
monkeyM_session-o080416002-18_lfp-2,M,2008-04-16,embedding,10,0.004455600443330745,0.00548433552774959,0.9945156644722503,0.9973048398556406,1.2188167294563559,-0.21881672945635566,0.39262965433196495,1.213332393928606,0.9953004708957695,144
monkeyM_session-o080417003-14_lfp-1,M,2008-04-17,ar,1,2.614050408307743e-11,2.791927579815323e-11,0.9999999999720808,0.9999999999861471,0.03432522720902841,0.9656747727909716,0.9828435815874156,0.03432522718110915,0.9999999991595114,126
monkeyM_session-o080417003-14_lfp-1,M,2008-04-17,ar,10,0.0024679440596744886,0.002698500439673024,0.9973014995603271,0.9986810090528342,2.05581678615627,-1.05581678615627,-0.03343393488194731,2.053118285716597,0.9986200581418124,126
monkeyM_session-o080417003-14_lfp-1,M,2008-04-17,embedding,1,6.223661982303665e-11,6.911654893851107e-11,0.9999999999308835,0.9999999999657156,0.03432522720902841,0.9656747727909716,0.9828435815874156,0.03432522713991187,0.999999997942819,126
monkeyM_session-o080417003-14_lfp-1,M,2008-04-17,embedding,10,0.004337405474190631,0.00483418408362934,0.9951658159163708,0.9976398115959038,2.05581678615627,-1.05581678615627,-0.03343393488194731,2.050982602072641,0.9975352604371395,126
monkeyM_session-o080417003-14_lfp-4,M,2008-04-17,ar,1,2.2762053678263322e-11,2.7470174795540276e-11,0.9999999999725298,0.9999999999863496,0.038073424093713476,0.9619265759062865,0.9809651645866151,0.03807342406624332,0.9999999992602778,126
monkeyM_session-o080417003-14_lfp-4,M,2008-04-17,ar,10,0.002112800475279875,0.002569614527105891,0.9974303854728941,0.9987348638170676,2.1098447267479967,-1.1098447267479963,-0.06100148489655227,2.1072751122208904,0.9987455535008902,126
monkeyM_session-o080417003-14_lfp-4,M,2008-04-17,embedding,1,6.227918643545312e-11,7.771417269775311e-11,0.9999999999222859,0.9999999999614467,0.038073424093713476,0.9619265759062865,0.9809651645866151,0.03807342401599931,0.9999999979322091,126
monkeyM_session-o080417003-14_lfp-4,M,2008-04-17,embedding,10,0.004212354868909048,0.00522001031620527,0.9947799896837948,0.9974315006530686,2.1098447267479967,-1.1098447267479963,-0.06100148489655227,2.104624716431791,0.9974594504680919,126
monkeyM_session-o080422011-21_lfp-2,M,2008-04-22,ar,1,2.136448657579446e-11,6.325120963510124e-11,0.9999999999367489,0.9999999999685142,0.021180499705282876,0.9788195002947171,0.989438890736318,0.021180499642031666,0.9999999968272287,120
monkeyM_session-o080422011-21_lfp-2,M,2008-04-22,ar,10,0.0016461400236878851,0.004940963248013601,0.9950590367519864,0.9975810983328101,1.273015271826208,-0.27301527182620794,0.3660347890289883,1.2680743085781943,0.9960049587835526,120
monkeyM_session-o080422011-21_lfp-2,M,2008-04-22,embedding,1,9.146670277431244e-11,2.872481977613972e-10,0.9999999997127518,0.9999999998571956,0.021180499705282876,0.9788195002947171,0.989438890736318,0.021180499418034678,0.9999999861111174,120
monkeyM_session-o080422011-21_lfp-2,M,2008-04-22,embedding,10,0.003087593473217646,0.009385771357584243,0.9906142286424157,0.9954147045240902,1.273015271826208,-0.27301527182620794,0.3660347890289883,1.2636295004686238,0.9924828916073797,120
monkeyM_session-o080423001-5_lfp-6,M,2008-04-23,ar,1,1.9903336768940616e-11,2.2477538749071964e-11,0.9999999999775224,0.9999999999888094,0.017407626278808267,0.9825923737211916,0.9913132714349254,0.01740762625633073,0.9999999985973211,96
monkeyM_session-o080423001-5_lfp-6,M,2008-04-23,ar,10,0.0018979951539515446,0.002192623405429398,0.9978073765945705,0.9989253052650883,1.255748946072784,-0.255748946072784,0.37790794390032517,1.2535563226673545,0.9981538023616526,96
monkeyM_session-o080423001-5_lfp-6,M,2008-04-23,embedding,1,3.2616077543293386e-11,3.6995374814790694e-11,0.9999999999630047,0.9999999999815782,0.017407626278808267,0.9825923737211916,0.9913132714349254,0.017407626241812895,0.999999997690841,96
