recording,monkey,day,method,geometry_evaluable,macro_f1,n_trials
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,all_bands,True,0.20402264867673672,144
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,ktorus,True,0.19940528473137167,144
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,ktorus_all_bands,True,0.18674648433828991,144
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,ktorus_power_frequency,True,0.20485497851384607,144
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,peak_frequency,True,0.1576954945375998,144
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,peak_power,True,0.15625426706442858,144
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,power_frequency,True,0.13904079151474139,144
monkeyM_session-o080416002-18_lfp-2,M,2008-04-16,all_bands,True,0.20921733020468058,144
monkeyM_session-o080416002-18_lfp-2,M,2008-04-16,ktorus,True,0.19267976069795442,144
monkeyM_session-o080416002-18_lfp-2,M,2008-04-16,ktorus_all_bands,True,0.20534132927749948,144
monkeyM_session-o080416002-18_lfp-2,M,2008-04-16,ktorus_power_frequency,True,0.16308072360218961,144
monkeyM_session-o080416002-18_lfp-2,M,2008-04-16,peak_frequency,True,0.09574476650563607,144
monkeyM_session-o080416002-18_lfp-2,M,2008-04-16,peak_power,True,0.10355760452144519,144
monkeyM_session-o080416002-18_lfp-2,M,2008-04-16,power_frequency,True,0.09333379562212514,144
monkeyM_session-o080417003-14_lfp-1,M,2008-04-17,all_bands,True,0.18305916305916306,126
monkeyM_session-o080417003-14_lfp-1,M,2008-04-17,ktorus,True,0.24072294786375883,126
monkeyM_session-o080417003-14_lfp-1,M,2008-04-17,ktorus_all_bands,True,0.20548740665019735,126
monkeyM_session-o080417003-14_lfp-1,M,2008-04-17,ktorus_power_frequency,True,0.23771529560204988,126
monkeyM_session-o080417003-14_lfp-1,M,2008-04-17,peak_frequency,True,0.15288997724088205,126
monkeyM_session-o080417003-14_lfp-1,M,2008-04-17,peak_power,True,0.16908603177066847,126
monkeyM_session-o080417003-14_lfp-1,M,2008-04-17,power_frequency,True,0.17716943910228847,126
monkeyM_session-o080417003-14_lfp-4,M,2008-04-17,all_bands,True,0.10610956503813647,126
monkeyM_session-o080417003-14_lfp-4,M,2008-04-17,ktorus,True,0.16856186449209706,126
monkeyM_session-o080417003-14_lfp-4,M,2008-04-17,ktorus_all_bands,True,0.1865343036439382,126
monkeyM_session-o080417003-14_lfp-4,M,2008-04-17,ktorus_power_frequency,True,0.17397049997573044,126
monkeyM_session-o080417003-14_lfp-4,M,2008-04-17,peak_frequency,True,0.1183339021789464,126
monkeyM_session-o080417003-14_lfp-4,M,2008-04-17,peak_power,True,0.1979053713635396,126
monkeyM_session-o080417003-14_lfp-4,M,2008-04-17,power_frequency,True,0.16848965695135787,126
monkeyM_session-o080422011-21_lfp-2,M,2008-04-22,all_bands,True,0.16650859368882623,120
monkeyM_session-o080422011-21_lfp-2,M,2008-04-22,ktorus,True,0.11831370541047959,120
monkeyM_session-o080422011-21_lfp-2,M,2008-04-22,ktorus_all_bands,True,0.10556324842039128,120
monkeyM_session-o080422011-21_lfp-2,M,2008-04-22,ktorus_power_frequency,True,0.10919850714459185,120
monkeyM_session-o080422011-21_lfp-2,M,2008-04-22,peak_frequency,True,0.16071437817127474,120
monkeyM_session-o080422011-21_lfp-2,M,2008-04-22,peak_power,True,0.15835889991920257,120
monkeyM_session-o080422011-21_lfp-2,M,2008-04-22,power_frequency,True,0.20730766475447324,120
monkeyM_session-o080423001-5_lfp-6,M,2008-04-23,all_bands,True,0.17019823364717632,96
monkeyM_session-o080423001-5_lfp-6,M,2008-04-23,ktorus,True,0.20157044299201163,96
monkeyM_session-o080423001-5_lfp-6,M,2008-04-23,ktorus_all_bands,True,0.17671156004489338,96
monkeyM_session-o080423001-5_lfp-6,M,2008-04-23,ktorus_power_frequency,True,0.1921815067648401,96
monkeyM_session-o080423001-5_lfp-6,M,2008-04-23,peak_frequency,True,0.14952712979028768,96
