day,difference,monkey,enhanced,baseline
2008-07-18,0.009216742975,M,ktorus_power_frequency,power_frequency
2008-07-22,-0.033143452154,M,ktorus_power_frequency,power_frequency
2008-07-23,-0.03592189627,M,ktorus_power_frequency,power_frequency
2008-07-24,-0.039621947774,M,ktorus_power_frequency,power_frequency
2008-07-31,0.028056017091,M,ktorus_power_frequency,power_frequency
2008-08-01,0.025503682801,M,ktorus_power_frequency,power_frequency
2008-08-08,0.001042555651,M,ktorus_power_frequency,power_frequency
2008-08-28,0.040666537012,M,ktorus_power_frequency,power_frequency
2008-08-29,0.023594341766,M,ktorus_power_frequency,power_frequency
2008-09-04,0.013702109763,M,ktorus_power_frequency,power_frequency
2008-09-05,-0.004934227266,M,ktorus_power_frequency,power_frequency
2008-09-10,0.048790874923,M,ktorus_power_frequency,power_frequency
2008-09-11,0.000447855262,M,ktorus_power_frequency,power_frequency
2008-09-17,-0.083324257991,M,ktorus_power_frequency,power_frequency
2008-09-18,-0.010607106419,M,ktorus_power_frequency,power_frequency
2008-09-19,-0.018219115334,M,ktorus_power_frequency,power_frequency
2008-09-25,-0.002337762583,M,ktorus_power_frequency,power_frequency
2008-09-26,0.000528522721,M,ktorus_power_frequency,power_frequency
2008-10-01,-0.03509894394,M,ktorus_power_frequency,power_frequency
2008-10-02,0.018987173038,M,ktorus_power_frequency,power_frequency
2008-10-03,-0.018674540862,M,ktorus_power_frequency,power_frequency
2008-10-08,-0.008495371024,M,ktorus_power_frequency,power_frequency
2008-10-28,-0.082873326052,M,ktorus_power_frequency,power_frequency
2008-10-31,-0.012561947362,M,ktorus_power_frequency,power_frequency
2008-11-07,-0.003472099149,M,ktorus_power_frequency,power_frequency
2008-11-13,0.065563083861,M,ktorus_power_frequency,power_frequency
2008-11-27,0.013905454042,M,ktorus_power_frequency,power_frequency
2008-12-02,-0.00320914957,M,ktorus_power_frequency,power_frequency
2008-04-16,-0.010576082633,M,ktorus_all_bands,all_bands
2008-04-17,0.051426491098,M,ktorus_all_bands,all_bands
2008-04-22,-0.060945345268,M,ktorus_all_bands,all_bands
2008-04-23,0.041013855427,M,ktorus_all_bands,all_bands
2008-04-24,-0.076853367218,M,ktorus_all_bands,all_bands
2008-04-25,0.013945223155,M,ktorus_all_bands,all_bands
2008-04-29,0.022151564948,M,ktorus_all_bands,all_bands
2008-04-30,0.07913735516,M,ktorus_all_bands,all_bands
2008-05-06,0.019973546922,M,ktorus_all_bands,all_bands
2008-05-07,0.031017411269,M,ktorus_all_bands,all_bands
2008-05-09,0.018919875984,M,ktorus_all_bands,all_bands
2008-05-13,-0.01182214308,M,ktorus_all_bands,all_bands
2008-05-15,0.038507546086,M,ktorus_all_bands,all_bands
2008-05-22,0.012271984884,M,ktorus_all_bands,all_bands
2008-05-23,0.021888232641,M,ktorus_all_bands,all_bands
2008-05-27,0.013146415618,M,ktorus_all_bands,all_bands
2008-05-28,-0.0227235368,M,ktorus_all_bands,all_bands
2008-07-10,-0.008530919974,M,ktorus_all_bands,all_bands
