recording,monkey,day,method,geometry_evaluable,direction,f1
monkeyM_session-o080416002-18_lfp-2,M,2008-04-16,ktorus_all_bands,True,3,0.17777777777777778
monkeyM_session-o080416002-18_lfp-2,M,2008-04-16,ktorus_all_bands,True,4,0.13636363636363635
monkeyM_session-o080416002-18_lfp-2,M,2008-04-16,ktorus_all_bands,True,5,0.2553191489361702
monkeyM_session-o080416002-18_lfp-2,M,2008-04-16,ktorus_all_bands,True,6,0.23076923076923078
monkeyM_session-o080416002-18_lfp-2,M,2008-04-16,ktorus_power_frequency,True,1,0.24561403508771928
monkeyM_session-o080416002-18_lfp-2,M,2008-04-16,ktorus_power_frequency,True,2,0.18604651162790697
monkeyM_session-o080416002-18_lfp-2,M,2008-04-16,ktorus_power_frequency,True,3,0.09302325581395349
monkeyM_session-o080416002-18_lfp-2,M,2008-04-16,ktorus_power_frequency,True,4,0.16
monkeyM_session-o080416002-18_lfp-2,M,2008-04-16,ktorus_power_frequency,True,5,0.14285714285714285
monkeyM_session-o080416002-18_lfp-2,M,2008-04-16,ktorus_power_frequency,True,6,0.1509433962264151
monkeyM_session-o080416002-18_lfp-2,M,2008-04-16,peak_frequency,True,1,0.225
monkeyM_session-o080416002-18_lfp-2,M,2008-04-16,peak_frequency,True,2,0.12
monkeyM_session-o080416002-18_lfp-2,M,2008-04-16,peak_frequency,True,3,0.0
monkeyM_session-o080416002-18_lfp-2,M,2008-04-16,peak_frequency,True,4,0.17391304347826086
monkeyM_session-o080416002-18_lfp-2,M,2008-04-16,peak_frequency,True,5,0.0
monkeyM_session-o080416002-18_lfp-2,M,2008-04-16,peak_frequency,True,6,0.05555555555555555
monkeyM_session-o080416002-18_lfp-2,M,2008-04-16,peak_power,True,1,0.05
monkeyM_session-o080416002-18_lfp-2,M,2008-04-16,peak_power,True,2,0.2647058823529412
monkeyM_session-o080416002-18_lfp-2,M,2008-04-16,peak_power,True,3,0.041666666666666664
monkeyM_session-o080416002-18_lfp-2,M,2008-04-16,peak_power,True,4,0.05128205128205128
monkeyM_session-o080416002-18_lfp-2,M,2008-04-16,peak_power,True,5,0.1702127659574468
monkeyM_session-o080416002-18_lfp-2,M,2008-04-16,peak_power,True,6,0.043478260869565216
monkeyM_session-o080416002-18_lfp-2,M,2008-04-16,power_frequency,True,1,0.15789473684210525
monkeyM_session-o080416002-18_lfp-2,M,2008-04-16,power_frequency,True,2,0.2545454545454545
monkeyM_session-o080416002-18_lfp-2,M,2008-04-16,power_frequency,True,3,0.08695652173913043
monkeyM_session-o080416002-18_lfp-2,M,2008-04-16,power_frequency,True,4,0.06060606060606061
monkeyM_session-o080416002-18_lfp-2,M,2008-04-16,power_frequency,True,5,0.0
monkeyM_session-o080416002-18_lfp-2,M,2008-04-16,power_frequency,True,6,0.0
monkeyM_session-o080417003-14_lfp-1,M,2008-04-17,all_bands,True,1,0.26666666666666666
monkeyM_session-o080417003-14_lfp-1,M,2008-04-17,all_bands,True,2,0.12121212121212122
monkeyM_session-o080417003-14_lfp-1,M,2008-04-17,all_bands,True,3,0.14285714285714285
