monkey,method,mean,std,count
M,all_bands,0.1848321807219937,0.04560570116495434,115
M,peak_frequency,0.15361289954968893,0.0380082207933659,115
M,peak_power,0.17820288705304455,0.04274822109869244,115
M,power_frequency,0.18610546768144112,0.05522024162275193,115
T,all_bands,0.19914699573684272,0.04184663497244539,95
T,peak_frequency,0.17736521428601296,0.040721627832845074,95
T,peak_power,0.17075986963506856,0.03452944939495989,95
T,power_frequency,0.2210601604319194,0.04969833283512982,95
