monkey,family,enhanced,baseline,n_lfps,n_days,n_animals,mean_difference,ci_low,ci_high,day_mean_difference,statistic,p_raw,p_holm
M,standalone,ktorus,power_frequency,110,47,1,-0.006480405723389506,-0.017352350280743962,0.004156441019131016,-0.006876935538765958,492.0,0.4527978869787006,0.946609377861023
M,standalone,ktorus,all_bands,110,47,1,-0.005674180292871376,-0.016168649020087286,0.004857561851885662,-0.006237991534638299,438.0,0.18592287647075523,0.9296143823537761
M,additive,ktorus_power_frequency,power_frequency,110,47,1,0.0032993109071071647,-0.0051027686478134675,0.012309748473503,0.0015684047397872345,468.0,0.31529447229364393,0.946609377861023
M,additive,ktorus_all_bands,all_bands,110,47,1,0.008713326178278117,0.0004872165779990386,0.01701919723829148,0.007939826168829787,402.0,0.0875328672199771,0.5884583480656147
T,standalone,ktorus,power_frequency,93,30,1,-0.0329171176754321,-0.04514991279093024,-0.018472777987856,-0.025276719062933335,70.0,0.00046010687947273254,0.0036808550357818604
T,standalone,ktorus,all_bands,93,30,1,-0.010317101109655877,-0.019753052201870566,-8.313615430726096e-05,-0.011897383523933332,148.0,0.08406547829508781,0.5884583480656147
T,additive,ktorus_power_frequency,power_frequency,93,30,1,0.0016444711883356745,-0.01046880573520408,0.014328638911849791,0.006474066178966666,174.0,0.23665234446525574,0.946609377861023
T,additive,ktorus_all_bands,all_bands,93,30,1,0.009248171808465357,-0.0005154864880471255,0.019572313319915338,0.004668938876366668,191.0,0.40449450351297855,0.946609377861023
